aspect,aspect_vecs,cluster_main_vecs
道路,"[-0.1738 -0.0401  0.1779 -0.0027 -0.0144 -0.2178 -0.0099  0.2406 -0.0974
  0.2074 -0.0011  0.0826  0.0635  0.2124 -0.4908  0.3381  0.2234  0.0043
 -0.2262  0.0639  0.2363 -0.2613 -0.2508 -0.0401  0.1572  0.1963  0.0182
 -0.0056  0.2884 -0.4278 -0.182  -0.2179 -0.0518 -0.0326  0.0488  0.1572
  0.0569  0.1782  0.172  -0.0756 -0.0857 -0.1344  0.0201 -0.0668 -0.0143
 -0.0993  0.344   0.0029 -0.3177  0.2709 -0.2309  0.0818 -0.2083  0.1232
 -0.1744  0.097   0.1681 -0.1647  0.2484  0.0019 -0.1351  0.0016 -0.1128
  0.0713  0.1502  0.134  -0.027  -0.1309  0.0376  0.2716  0.158  -0.0067
 -0.0066  0.0292  0.2591 -0.0456 -0.1318 -0.1882 -0.3691  0.0276 -0.0146
 -0.3525 -0.0248  0.1462 -0.0521  0.3626 -0.0397  0.1588 -0.0728 -0.2155
 -0.2704 -0.1144  0.1264  0.2795 -0.1051  0.0201 -0.1917 -0.2441 -0.0109
 -0.234  -0.223   0.4127  0.0646  0.1371 -0.1387  0.2658 -0.3305 -0.0161
 -0.0425  0.0888 -0.3044 -0.0642 -0.1694 -0.0022  0.0466 -0.2302 -0.2009
 -0.0517  0.197  -0.2504  0.0123  0.0653 -0.0456  0.1594 -0.07    0.1002
  0.0891  0.2747 -0.2682  0.1522 -0.0324  0.0038  0.195  -0.2739  0.2133
  0.5959 -0.0091  0.2059 -0.1161 -0.2595 -0.2587  0.098  -0.0031 -0.1141
  0.4009  0.1885  0.0298 -0.0442  0.0815  0.0548  0.2459 -0.1725 -0.0521
  0.1498  0.671  -0.1187 -0.2431  0.2327 -0.0122  0.1527 -0.1665 -0.1032
 -0.1127 -0.0032 -0.0687 -0.2843 -0.2551  0.0771 -0.1499 -0.2964  0.0319
  0.1595 -0.057  -0.0643 -0.1976  0.1557 -0.0342 -0.1551  0.1072  0.101
 -0.1193  0.1836  0.0387  0.0527  0.1284  0.2805  0.1305 -0.0242  0.2473
  0.2256 -0.2702 -0.2191  0.542   0.2831  0.1457  0.3321  0.2237  0.0662
  0.3899  0.0863 -0.1964  0.2334  0.0228  0.1327  0.2402  0.0272  0.215
 -0.1937  0.192  -0.0764 -0.2241  0.2691  0.011   0.3316  0.0551 -0.1868
 -0.1902 -0.9409  0.0805  0.0073  0.1959 -0.0615 -0.208  -0.3997 -0.1526
 -0.2208 -0.1181  0.218   0.129   0.1416 -0.027   0.0253 -0.2248 -0.2288
  0.1303 -0.0359 -0.3894 -0.1897  0.0111  0.0026  0.0872 -0.0407  0.2061
 -0.4328  0.1534 -0.2092  0.1544  0.009   0.1869 -0.3432  0.0268 -0.4711
 -0.3472  0.1368  0.0311  0.3501 -0.0785  0.0919 -0.1493 -0.0389  0.301
  0.0205  0.0994  0.2128 -0.2897 -0.0588  0.2182 -0.1022 -0.0282  0.0713
 -0.0259 -0.1377 -0.0663 -0.0892 -0.2357  0.2557 -0.1635  0.1577 -0.3025
  0.3128 -0.3637 -0.0332 -0.0354  0.009   0.2737 -0.7212 -0.0777  0.2551
 -0.233   0.2572 -0.0869  0.2695  0.1016  0.2102 -0.1817 -0.0042 -0.0605
  0.1033  0.2329  0.0847]","[-6.98666691e-02 -9.79333296e-02  8.39833324e-01  1.66533334e-01
  1.07566663e-01 -5.70999986e-02 -1.45433330e-01  3.99033330e-01
 -2.39733337e-01  4.46666669e-01  4.47999996e-02 -5.14333285e-02
  4.43333512e-03  2.67000000e-01 -7.49233335e-01  1.37166668e-01
  2.47566668e-01  1.50333288e-02 -4.61666663e-01 -1.43466663e-01
  1.84400000e-01 -3.65333371e-02 -4.90633338e-01 -8.26666846e-03
  1.60200000e-01  2.21166675e-01  9.78666665e-02 -4.03334107e-03
  3.40166673e-01 -4.37033330e-01 -8.33333159e-03 -5.41833327e-01
 -3.52566661e-01  1.54133335e-01  8.76666643e-02  2.27899992e-01
  3.57633324e-01  1.55400001e-01  1.52900003e-01 -1.05233335e-01
 -3.28533333e-01 -8.04333364e-02  4.93999999e-02 -2.26500005e-01
 -2.16333307e-02  2.54433337e-01  1.80666673e-01  3.07666676e-02
 -6.33333344e-02  3.45700004e-01 -2.16566673e-01 -6.38000003e-02
 -1.82133334e-01  4.20999999e-01  5.63000018e-02  2.24666668e-01
 -7.36666657e-02 -4.43033344e-01  3.46333329e-01  1.83166667e-01
  6.62666609e-02  8.45333384e-02 -6.76666660e-02  2.21000003e-02
  1.07433330e-01 -1.21866661e-01 -2.49799996e-01  2.20000107e-03
 -1.53499994e-01  5.61099990e-01  2.45866666e-01  2.61100004e-01
  8.55666697e-02  4.62333405e-02  3.18000000e-01 -2.35833333e-01
 -3.63000005e-01  2.09000043e-02 -4.12233330e-01 -3.35666705e-02
 -1.75666665e-01 -5.47000021e-02 -1.66799999e-01 -1.81333323e-02
 -1.48100002e-01  3.30433336e-01 -3.23199999e-01  1.20166670e-01
  6.78333332e-02  5.16666615e-02 -2.16899996e-01 -1.46833332e-01
  1.49399996e-01  2.98333334e-01 -5.78333313e-02  1.93333191e-03
 -3.88499995e-01 -2.66599995e-01 -8.74666686e-02 -3.01966663e-01
 -1.38866664e-01  6.43933330e-01  8.56000011e-02  3.41666645e-02
  1.00200002e-01  4.93366665e-01 -3.16400006e-01  1.14799998e-01
 -2.24666667e-01 -3.99666702e-02 -3.98099994e-01 -1.65900000e-01
 -3.07000168e-02 -1.39666665e-02 -3.25333352e-02  3.83999987e-02
 -5.14966667e-01 -2.16233336e-01  1.17366665e-01 -5.89666714e-02
 -2.37000020e-02 -7.22333342e-02 -3.58333351e-02 -2.83366665e-01
  1.82666589e-02  7.08333308e-02  2.21666666e-02  3.65866656e-01
 -4.84233343e-01 -1.45666649e-02 -7.07000022e-02 -5.26333293e-02
  3.86766667e-01 -1.00033332e-01  1.06366673e-01  1.88833339e-01
 -1.34900002e-01  1.78400002e-01 -2.10866671e-01 -4.38833326e-01
 -3.98100004e-01  9.18666658e-02 -2.47733327e-01 -1.04666668e-01
  4.75700001e-01  2.58500000e-01 -2.91333317e-02  2.99333346e-02
  6.29666662e-02  4.66333358e-02  4.40033328e-01 -1.38133342e-01
 -6.60333422e-02  6.83333377e-02  6.14266659e-01 -1.46466661e-01
 -2.19533335e-01 -2.11699996e-01  7.62999946e-02  4.08666669e-02
 -3.21666691e-02 -6.42333310e-02  3.45999959e-02 -2.46200009e-01
 -3.61999994e-02 -3.05699998e-01 -3.55866668e-01  1.57833337e-01
 -2.54833326e-01  9.05999957e-02  1.70799999e-01  2.22899993e-01
 -2.42866666e-01 -6.33329153e-04 -6.31000064e-02 -9.08666636e-02
  5.33999937e-02 -1.42266667e-01 -2.93433331e-01  2.11966667e-01
 -1.05933333e-01  8.52999936e-02  2.01266663e-01  1.25633334e-01
 -1.20600001e-01 -7.04000009e-02  2.51233338e-01 -2.21100006e-01
 -4.06666708e-02  2.46066666e-01 -3.70066673e-01 -3.63700000e-01
  6.44433330e-01  3.84700013e-01  8.36666624e-02  3.41466668e-01
  1.66633332e-01 -8.74999985e-02  2.74799998e-01  2.16433330e-01
 -1.29999993e-01 -1.94000018e-02  3.62333314e-02  1.44366664e-01
  2.96666551e-03  9.37333326e-02  5.62666683e-02 -8.55333321e-02
 -1.13733338e-01 -1.20233338e-01 -3.26533333e-01  4.52633343e-01
 -2.55200004e-01  3.76700002e-01  4.66533344e-01 -3.05800001e-01
 -1.10200003e-01 -1.66110003e+00  6.46333310e-02 -1.58333331e-01
  5.16999972e-02  7.03333318e-03 -4.34666686e-02 -3.05433331e-01
 -1.65300003e-01 -3.91166672e-01 -2.78133341e-01  3.22833334e-01
  2.61666663e-01  2.53566669e-01 -1.50666685e-02  2.05533336e-01
 -4.57766676e-01 -1.87733336e-01 -4.03333331e-02  1.93999975e-02
 -7.55799999e-01 -1.14400004e-01  8.20000283e-03 -6.75333363e-02
  5.45333366e-02  1.32666677e-02  2.20466666e-01 -7.88066655e-01
  4.44133341e-01 -4.27066670e-01  1.89900004e-01 -9.56333317e-02
 -1.08400000e-01 -4.93099988e-01  2.02000001e-02 -8.13200002e-01
 -5.88966668e-01  6.47333339e-02  1.15066665e-01  8.44600004e-01
 -6.83999931e-02  1.53600000e-01 -2.03333261e-02 -5.88999949e-02
  3.00466667e-01  3.61666664e-02 -4.29666688e-02 -1.89666661e-02
 -3.09200004e-01 -2.80066668e-01 -1.34933345e-01  3.97333351e-02
  5.69333322e-02  1.60333241e-02 -3.63333306e-02 -1.50199999e-01
 -3.47333327e-02 -4.99333329e-02 -1.28533334e-01  1.49033331e-01
 -2.61999975e-02  1.48999989e-02 -3.67033339e-01  2.19366662e-01
 -1.64833335e-01 -3.45333332e-02 -1.02466668e-01  4.14666679e-02
 -1.14766670e-01 -8.28066667e-01  1.28366667e-01  6.73666676e-02
 -2.75999998e-01  2.48933334e-01 -1.81000068e-02  2.81866663e-01
 -2.42333362e-02 -2.51666717e-02 -1.34866667e-01 -2.16499997e-01
 -2.96666671e-01  2.40699998e-01  1.33966661e-01 -5.83666638e-02]"
道標,"[-0.271  -0.2554  0.4646 -0.0612 -0.1328 -0.1598 -0.3038 -0.0038 -0.1736
  0.2257  0.1195  0.1296 -0.1213  0.2721 -0.226   0.3184 -0.1316 -0.0306
 -0.0448 -0.3134  0.1555  0.1825 -0.2091 -0.138  -0.0563  0.1763 -0.111
 -0.2571 -0.0731 -0.112   0.1297  0.133  -0.1382  0.0917  0.1441  0.2267
 -0.0169 -0.3098  0.0574  0.3181 -0.1248  0.0697 -0.3449  0.1853  0.1523
 -0.0629  0.1757  0.3356 -0.1453  0.1775  0.0851 -0.0212  0.1877 -0.0063
 -0.3388  0.0707  0.0162 -0.3925  0.324   0.0201 -0.0037  0.053  -0.4005
  0.2651  0.0535  0.1622 -0.0015  0.1522 -0.0009  0.1637 -0.025  -0.2889
  0.4671 -0.3032  0.005  -0.4113 -0.3084 -0.3029  0.0399 -0.0346 -0.1986
  0.0431 -0.1876 -0.0708 -0.0416 -0.0564 -0.0117  0.0485 -0.1303 -0.2684
 -0.3097 -0.2107 -0.1112  0.1669 -0.0478  0.0602  0.0144 -0.3535 -0.2233
  0.0656 -0.0403  0.4536 -0.114  -0.1086 -0.034   0.0563 -0.015   0.0015
 -0.2948  0.0571 -0.5695 -0.1038  0.0788  0.1609  0.3113  0.219  -0.2754
 -0.1706  0.3255  0.1217  0.0265 -0.0461 -0.0488  0.0102  0.1149  0.0622
 -0.0903  0.546   0.0939  0.0198 -0.0135  0.2847 -0.2379 -0.0801 -0.1628
  0.3058 -0.0711  0.1481  0.1227 -0.1391 -0.2856 -0.1784  0.1693 -0.1926
  0.1454  0.1907 -0.073   0.1213 -0.2728  0.4872  0.0603  0.3304 -0.1887
  0.1833  0.2299 -0.2275 -0.0502 -0.0721  0.0742 -0.0634  0.0335 -0.0526
  0.4019 -0.1601 -0.2074  0.343   0.2399  0.4729 -0.3355 -0.0275 -0.1421
  0.1354  0.2666  0.142   0.3479  0.0591  0.0382 -0.0057 -0.0645 -0.0594
  0.2922 -0.0926 -0.161  -0.0888 -0.2289 -0.1646  0.1263  0.2963 -0.1292
 -0.0553 -0.0741  0.2409  0.1682 -0.0517 -0.0019 -0.1849  0.1849 -0.0891
 -0.0638  0.3053 -0.1846  0.1469  0.4348  0.1597  0.1652  0.0413  0.4324
 -0.4747 -0.0434  0.2272 -0.0239  0.0381 -0.0451 -0.0794  0.1156 -0.4483
 -0.071  -0.8452 -0.02    0.067  -0.1524 -0.1807  0.2488 -0.0203 -0.1129
 -0.1706  0.334   0.1206  0.3176  0.2418  0.0198 -0.0961 -0.3103 -0.1241
  0.3275  0.2646 -0.5041  0.1787  0.2952  0.0695 -0.0249  0.5668 -0.0941
 -0.229   0.2135 -0.2794  0.0963  0.1978  0.0287 -0.4372  0.3808 -0.2286
 -0.1457 -0.1302 -0.1609  0.0564 -0.1186  0.1433  0.0849 -0.1477  0.1523
  0.0592 -0.0517  0.0183 -0.1416 -0.2248  0.0882  0.0666  0.2438 -0.0789
  0.0797 -0.364  -0.2607  0.0163 -0.1777  0.0801 -0.1224  0.0333 -0.132
  0.3144  0.1152 -0.1859 -0.1218 -0.2429  0.2626 -0.2267  0.2187  0.0316
  0.0445 -0.0759  0.0122  0.0709 -0.3713  0.1038  0.1477 -0.1693  0.161
  0.0755 -0.2825 -0.2494]","[-3.66714265e-02 -9.34571425e-02  2.98457141e-01  3.30857140e-02
  2.09285690e-02 -5.69999830e-03 -4.59285694e-02  1.04599998e-01
 -1.77857141e-02  9.29571450e-02  7.19428571e-02  1.19371427e-01
  6.50999996e-02  1.12371429e-01 -1.62257142e-01  2.49785715e-01
 -9.54857137e-02  1.48571432e-02 -2.08571431e-01 -1.21614285e-01
  1.62714265e-02  2.46000011e-02 -2.09400000e-01 -1.22957141e-01
 -5.91999990e-02 -1.64714302e-02 -6.38857154e-02  8.61428864e-03
  4.99285712e-02 -8.11714275e-02 -7.68857154e-02  1.10857153e-02
 -8.18857128e-02 -1.66428568e-02  8.30000054e-03  7.50428567e-02
 -9.27857136e-02 -7.18285736e-02  2.80285714e-02  8.63428584e-02
  6.21285709e-02  5.02571421e-02 -9.69857141e-02  9.31428453e-03
 -5.18571319e-03  1.05285719e-02  7.61571409e-02  1.84957142e-01
 -1.02371427e-01  2.13385712e-01 -7.47142871e-02  1.61714301e-02
  5.76857153e-02 -5.71458534e-05 -1.48342860e-01  2.81142849e-02
  3.77142897e-03 -2.53099996e-01  1.14685715e-01 -1.13428578e-02
  3.00857132e-02  5.71857132e-02 -9.71142857e-02  1.28328568e-01
 -2.41857142e-02  1.23585715e-01 -2.11428462e-03  3.23714277e-02
  3.81571422e-02  8.44285690e-02  1.76285716e-02 -4.34857117e-02
  1.04599998e-01 -1.65571429e-02  1.22557147e-01 -1.15514286e-01
 -1.09114287e-01 -1.31428577e-02 -1.41571457e-02  7.02857115e-03
 -4.92285706e-02  3.47142858e-02 -1.10085714e-01  4.78142862e-02
 -7.54142856e-02 -1.25571449e-02 -1.45000008e-02  3.89999999e-02
 -9.34571443e-02 -3.49857149e-02 -9.11142894e-02 -1.05428583e-02
 -1.82999995e-02  1.03942855e-01  1.58114286e-01 -1.44999998e-02
 -9.29714290e-02 -7.23857155e-02 -8.01285681e-02  2.75142861e-02
 -3.20428557e-02  2.78528565e-01 -2.65428573e-02 -7.27285729e-02
  1.03200002e-01  1.39528571e-01 -1.09571420e-02 -1.59285711e-02
 -5.12714306e-02  6.90857140e-02 -2.49442859e-01 -8.61428568e-02
 -1.34999993e-02  3.83571408e-02 -2.76714287e-02  1.38428573e-01
 -1.01228573e-01  4.67142915e-03  1.19700003e-01  5.45571426e-02
  4.55857130e-02 -3.52285715e-02  7.28285730e-02 -4.07571432e-02
  1.01228571e-01  7.50000003e-03  3.72857175e-03  2.27200000e-01
  4.54285688e-03  3.27571458e-02 -5.52000012e-02  6.32857148e-02
  9.05285701e-02 -1.70285715e-01 -1.56857145e-02  8.20714262e-02
  3.73142862e-02  1.97571431e-02  6.80714303e-02 -1.54142843e-02
 -1.20514285e-01 -1.20771428e-01 -5.90142827e-02 -1.02299998e-01
  1.84914290e-01  9.48428565e-02 -3.88714251e-02 -4.41571421e-02
 -6.93999965e-02  1.84142856e-01  7.07857128e-02  1.45228569e-01
 -1.31571445e-02  6.19714263e-02  2.55957141e-01 -1.55228571e-01
 -8.42999976e-02  2.06000009e-02  3.89428591e-02 -1.28757143e-01
  7.59857166e-02 -6.06428581e-02  1.57814284e-01  2.32142862e-02
 -8.91857142e-02  2.55571412e-02  7.14265874e-05  2.28028577e-01
 -6.04000009e-02  4.53571438e-02 -1.77571438e-02  4.35571431e-02
  7.25714290e-02  1.93985715e-01  8.61428206e-03  6.09714277e-02
  4.27142869e-02 -2.77428573e-02 -5.46428567e-02 -4.30285715e-02
  4.38999987e-02 -2.06285718e-02 -9.08714277e-02  2.47285715e-02
  1.72714277e-02 -4.29000008e-02  5.97571457e-02  1.38157142e-01
 -5.90000012e-02 -9.71428465e-03 -1.78285725e-02  8.33714277e-02
  6.07857132e-02  5.36714295e-02  1.06342859e-01 -4.80142844e-02
  6.24142860e-02 -1.64142866e-02  2.95714483e-03  6.90857149e-02
 -3.90999988e-02  1.26842858e-01  1.51257141e-01  8.52000003e-02
 -8.58571354e-03  2.41142852e-02  8.02142828e-02 -1.11928571e-01
  2.49571438e-02  4.90714242e-02 -7.34857125e-02 -1.89714293e-02
 -1.79371425e-01 -1.63857139e-02  2.09571438e-02 -1.82800002e-01
 -2.02000024e-02 -7.77528571e-01 -2.53000004e-02 -3.68142862e-02
  5.01714274e-02 -1.07385714e-01  1.55857150e-02  4.08428577e-02
 -3.07285706e-02 -1.50500000e-01  1.40199998e-01  7.99714287e-02
  2.02028573e-01  1.12485715e-01 -4.53285735e-02 -7.76714275e-02
 -2.45799999e-01 -4.67142754e-03  6.95857097e-02  1.15857156e-02
 -2.82428575e-01  8.18285692e-02  1.72885711e-01  1.37285686e-02
 -1.41285716e-02  1.09999997e-01  5.95428547e-02 -2.05085711e-01
  7.42857132e-03 -2.12899998e-01  1.81428476e-03  2.78428557e-02
  1.09285712e-01 -5.57714349e-02 -2.61999990e-02 -2.05271428e-01
 -3.99571423e-02 -6.42142844e-02 -2.53714286e-02  6.11857168e-02
 -7.17714285e-02  7.34857141e-02 -1.28714261e-02  1.34714283e-02
 -2.49285720e-02  7.38714273e-02 -1.20657141e-01 -5.55428586e-02
 -2.30571435e-02 -1.58128572e-01 -1.36571415e-02  1.16000003e-02
 -2.42142851e-02 -6.84857166e-02  1.75571436e-02 -4.28285684e-02
  1.22571450e-02 -1.03585716e-01 -1.33114287e-01  2.83142860e-02
  4.72142872e-02  8.32857351e-03  8.30000011e-02  3.86571400e-02
  4.60428574e-02  1.96285704e-02 -7.49285711e-02 -1.33228575e-01
  4.86142850e-02 -2.12700000e-01  3.84000000e-02  1.54757144e-01
  3.45000010e-02 -3.57143102e-03 -2.93142843e-02  7.07285702e-02
 -2.17585719e-01  3.18285716e-02  7.55857104e-02  2.44285732e-03
  3.49714274e-02  6.10857116e-02 -7.05714286e-02 -1.19685714e-01]"
