aspect,aspect_vecs,cluster_main_vecs
自然人,"[ 0.2719     -0.062       0.4041      0.1257      0.0499      0.2543
  0.273       0.1898     -0.2637      0.23089999  0.3382      0.3428
  0.10880001 -0.10339999 -1.0173      0.14649999  0.10630001  0.1777
 -0.16800001  0.10789999 -0.417       0.5899     -0.0656     -0.1761
  0.0573     -0.16180001  0.1745      0.1087     -0.0747      0.17289999
 -0.1787      0.2767     -0.22749999 -0.04169999 -0.09229999  0.1761
 -0.0502      0.1215     -0.0316     -0.1273      0.1035      0.0934
  0.0373      0.0945      0.0066     -0.0125     -0.1967     -0.1111
 -0.21000001  0.007       0.0741     -0.24309999  0.1537     -0.1038
 -0.10250001  0.3595      0.1988     -0.3048     -0.1064     -0.29569998
 -0.10740001  0.028       0.0106      0.0035      0.1221     -0.0017
  0.1592      0.1785     -0.3722      0.19909999  0.2167     -0.03380001
  0.1767      0.40649998  0.2446     -0.1924     -0.1006     -0.18670002
 -0.1363      0.0354      0.07870001  0.3462     -0.231       0.0429
 -0.0198     -0.18820001 -0.1233      0.2503     -0.1054     -0.1328
 -0.3644     -0.1643      0.01949999 -0.0301     -0.3019      0.0037
 -0.36360002  0.22       -0.0379      0.3213      0.2175      0.85429996
  0.0255      0.0478     -0.1834      0.9397     -0.0425      0.0254
 -0.1293      0.16880001 -0.24909998 -0.1756     -0.0562     -0.0745
 -0.1315      0.22819999  0.0588     -0.0207      0.3371     -0.0648
  0.036      -0.0083      0.393      -0.3326      0.11300001 -0.1054
  0.0481      0.13929999 -0.24880001 -0.1814     -0.21180001  0.0159
  0.21010001 -0.0897      0.0278     -0.4659      0.0943     -0.1167
 -0.0045      0.7733     -0.0405      0.0746      0.1897      0.0216
  0.3972     -0.1471     -0.0347      0.2356      0.0292      0.2104
  0.1833      0.0712     -0.0025     -0.078       0.20250002 -0.15489998
  0.4341     -0.2956      0.0085     -0.63030005 -0.0969     -0.0129
  0.0065      0.79719996  0.0503     -0.0341     -0.25620002 -0.0249
  0.2814      0.0651      0.05710001  0.15600002 -0.0142      0.22960001
  0.21149999 -0.19829999  0.1342     -0.0784     -0.1443      0.33380002
 -0.0805      0.0673     -0.1467      0.0488      0.0828     -0.2067
 -0.1302      0.0428      0.1455     -0.0322      0.1127     -0.22960001
  0.45379996  0.03489999  0.6565      0.0192     -0.0989      0.0456
  0.0713      0.1339      0.3654     -0.0611     -0.0245      0.2775
 -0.3166     -0.2681      0.0625     -0.1534     -0.1497     -0.1606
 -0.2158      0.59099996 -0.1864     -0.0855      0.20920001  0.0293
  0.09810001 -1.3034999  -0.29259998 -0.4907      0.0654     -0.0539
  0.0822     -0.27019998 -0.1125     -0.148       0.0368     -0.2073
  0.1345      0.3338     -0.064      -0.4033     -0.49730003 -0.2051
 -0.0576      0.2101     -0.6383      0.1262     -0.2568     -0.0045
  0.0976     -0.0091      0.0423     -0.4989      0.198      -0.2811
 -0.2971      0.3748      0.4709     -0.78139997  0.2124     -0.5728
 -0.1135     -0.028       0.0563      0.6271     -0.04189999  0.0919
 -0.0927      0.3039      0.0879      0.0544     -0.1767     -0.136
 -0.153      -0.3097     -0.01339999  0.0665     -0.08       -0.17500001
 -0.0875      0.15419999  0.2824      0.02589999 -0.2037      0.5683
  0.0212      0.1427      0.1713      0.062       0.1295     -0.0196
  0.1379     -0.2544      0.2722      0.058      -0.1414      0.0633
  0.0616     -0.2937     -0.4389     -0.18789999 -0.1447     -0.15340002
 -0.00920001 -0.0293      0.0764      0.0667      0.36130002 -0.3345    ]","[ 1.33250000e-01 -3.56000005e-02  3.66025008e-01  8.84250011e-02
 -2.49999575e-05  7.87249996e-02  1.26050001e-01  6.77499995e-02
 -6.14750013e-02  1.57224996e-01  1.83700003e-01  1.27374999e-01
 -3.53499986e-02 -3.68499989e-02 -3.19775002e-01  3.61499996e-02
  4.46500024e-02  9.13999993e-02 -9.17750029e-02  2.91749975e-02
 -7.69500025e-02  2.15024997e-01 -2.43999995e-02 -6.21250018e-02
  3.23250000e-02 -4.45000455e-03  9.72750001e-02  1.26000000e-02
  2.34249998e-02  9.75500010e-02 -2.04375004e-01  8.47499992e-02
 -1.69249973e-02 -1.95499994e-02  4.21250015e-02  1.33250000e-02
 -3.56500010e-02  2.93250006e-02 -1.94799997e-01  1.63999982e-02
  2.29000007e-02 -1.73750006e-02  1.75500000e-02  5.37750000e-02
  5.35749989e-02 -1.48250004e-02 -6.03750013e-02 -3.76250008e-02
 -1.45500004e-02 -3.15999999e-02  1.71499988e-02 -9.82249981e-02
  6.90749995e-02 -5.08750008e-02 -3.36500015e-02  1.65000001e-01
  9.53250002e-02 -1.31800001e-01 -3.63750007e-02 -5.70249986e-02
 -1.07250016e-02  1.44250002e-02  4.12749993e-02  5.54499999e-02
  7.46749993e-02  5.39500006e-02  5.27499913e-03  6.28249990e-02
 -1.36450000e-01  9.82499977e-02  2.01250017e-02 -1.82500132e-03
  4.67249972e-02  8.81749969e-02  9.56249991e-02 -1.29375000e-01
 -4.33749994e-02 -3.50000244e-03 -4.04499997e-02  2.43250008e-02
  2.71750007e-02  5.58500020e-02 -1.40275001e-01  1.30250003e-02
 -3.22499999e-02 -4.05000020e-02 -6.70750011e-02  7.45250005e-02
 -1.20000001e-02 -5.35749993e-02 -6.84749975e-02 -5.10000009e-02
  1.19999964e-02  2.05499995e-02 -6.79999981e-02  2.04999996e-02
 -9.23500005e-02  4.80000000e-02  5.63500007e-02  4.87249978e-02
  1.40275002e-01  3.23299991e-01  2.27750009e-02  2.82750018e-02
 -6.47750022e-02  3.71399993e-01  1.14275001e-01 -2.72750002e-02
 -2.45999986e-02  5.07250028e-02 -1.18949997e-01  1.87749969e-02
  8.52499974e-02 -3.61000003e-02 -5.92999998e-02  7.24999988e-02
  7.94000002e-02  4.75000043e-03  1.23825002e-01 -5.69000011e-02
  7.05999979e-02  1.21500003e-02  1.25499998e-01 -1.43975003e-01
  1.56725001e-01 -5.20000006e-02 -1.35749998e-02  3.49749997e-02
  1.12974994e-01 -7.00250008e-02 -1.19250002e-01 -4.08000005e-02
  2.77000032e-02 -2.39250001e-02  4.90750000e-02 -4.50049993e-01
  5.59999933e-03 -2.55250007e-02  1.32749998e-02  1.86474998e-01
 -8.37500021e-03  2.92500006e-02  5.01500020e-02  4.89999959e-03
  2.40200002e-01 -4.60499984e-02  2.39999988e-02  2.93499986e-02
  4.79499997e-02  1.19175001e-01  9.28999996e-02  7.11749983e-02
 -6.83000023e-02 -8.87750015e-02 -1.76999965e-02 -2.19999719e-03
  3.97500023e-02 -4.35250038e-02  5.84999967e-03 -2.36825004e-01
 -6.37500081e-03 -4.95999996e-02  7.80499992e-02  2.17424999e-01
 -3.09999892e-03  1.77500014e-02 -1.06350001e-01 -1.19000003e-02
  7.36499992e-02  4.02499922e-03  6.92000031e-02 -2.07999963e-02
  1.51250000e-02  7.91750010e-02  1.89999994e-02 -4.17499980e-02
  2.45749999e-02 -1.60749993e-02 -3.01749997e-02  1.03450001e-01
 -1.46999992e-02 -5.24999923e-04 -2.23174999e-01  3.47499992e-03
  5.35000009e-02 -6.55499981e-02 -1.13025004e-01  2.61299995e-01
  2.54999981e-02 -3.17249997e-02 -4.86000013e-02 -7.62500009e-02
  1.13449994e-01  9.57499875e-03  3.92425008e-01  2.72499991e-03
  3.92250009e-02 -5.14999940e-03  3.62249995e-02 -7.64999911e-03
  1.18949999e-01  6.66250035e-02 -1.90000031e-02  2.08500000e-02
 -5.13249980e-02 -1.69149999e-01  5.52749992e-02 -1.24999927e-03
 -3.70500023e-02 -6.91749994e-02 -7.70999976e-02  2.24174994e-01
 -1.34949999e-01 -1.33174996e-01 -9.45750047e-02 -5.42999990e-02
 -1.81499971e-02 -6.18625000e-01 -6.15499979e-02 -1.28900001e-01
  7.77749980e-02 -2.27750000e-02 -2.35999997e-02 -9.55999992e-02
 -5.70000003e-02  5.62499929e-03 -4.62500099e-03 -3.96250004e-02
  4.61249989e-02  6.13999963e-02  1.87499989e-02 -1.83750000e-01
 -3.28525003e-01 -1.12449998e-01 -8.99999961e-03  8.42499998e-02
 -3.75824999e-01 -1.71249998e-02 -7.01499991e-02 -1.07000000e-02
  4.36250009e-02  1.11750003e-02 -5.19750011e-02 -1.13075003e-01
  6.79250001e-02 -1.30199999e-01 -1.80200003e-01  2.09349999e-01
  1.06175000e-01 -2.65674995e-01  7.34499998e-02 -2.33024999e-01
 -3.25499999e-02  1.42250005e-02  8.76750015e-02  2.01499998e-01
  1.05924999e-01  5.30250007e-02 -3.62999998e-02  9.22249993e-02
 -2.68750007e-02 -6.04000017e-02 -6.70500000e-02 -8.15000015e-02
 -9.22749992e-02 -9.98249985e-02 -5.43999951e-02  6.00750018e-02
 -3.75749986e-02  2.74999975e-02 -8.99999999e-02 -1.62499934e-03
  6.80500013e-02 -7.95000233e-03 -6.21750014e-02  1.79724997e-01
  2.11000014e-02  7.08750021e-02 -1.09999813e-03  5.58500006e-02
  2.21999995e-01 -3.19999997e-02  5.71000017e-02 -9.81750023e-02
  1.40999993e-02  9.41749983e-02 -1.10999997e-01 -1.07749999e-02
 -2.77499994e-03 -2.97499914e-03 -1.23675000e-01 -7.19249982e-02
 -1.18450005e-01 -4.33750041e-02  1.57424998e-01 -2.40499986e-02
 -4.09749998e-02  3.52500146e-03  8.55250042e-02 -1.77050000e-01]"
キャンプ,"[-8.300e-03 -1.121e-01  9.220e-02  5.950e-02 -3.500e-03 -2.300e-03
 -4.000e-03  3.430e-02  2.560e-02  4.830e-02  1.230e-02  3.260e-02
  7.720e-02  9.100e-02 -7.500e-02  6.020e-02  1.240e-02  9.840e-02
 -5.980e-02  3.130e-02 -3.380e-02 -1.100e-02 -5.120e-02 -1.827e-01
  4.980e-02 -9.850e-02 -1.350e-02  5.590e-02 -6.000e-03  5.490e-02
 -1.540e-02 -3.770e-02 -2.630e-02 -3.070e-02  3.020e-02 -2.900e-02
 -1.360e-02  2.890e-02 -1.880e-02 -4.020e-02 -1.610e-02  1.476e-01
  5.700e-02 -1.420e-02 -6.010e-02 -1.290e-02  6.510e-02 -2.420e-02
 -2.010e-02  9.720e-02  7.120e-02 -1.103e-01 -2.140e-02 -1.560e-02
  3.000e-02 -5.050e-02 -3.430e-02 -8.290e-02 -4.940e-02 -1.000e-02
 -2.430e-02 -5.050e-02 -7.310e-02  8.320e-02  1.586e-01  2.790e-02
  6.420e-02  1.790e-02  1.131e-01  2.300e-02  3.790e-02 -1.000e-03
  7.280e-02 -4.910e-02 -1.820e-02 -5.580e-02  3.900e-03 -9.400e-03
 -1.131e-01  5.600e-02 -7.610e-02  9.000e-02  3.360e-02  8.400e-02
  3.370e-02  6.100e-02 -2.590e-02  7.700e-02 -7.320e-02 -3.680e-02
 -7.510e-02  2.360e-02 -4.730e-02  9.170e-02  2.390e-02 -6.480e-02
 -6.710e-02 -7.200e-03 -1.177e-01 -1.850e-02  4.200e-02  9.160e-02
 -5.570e-02 -1.230e-02  1.990e-02  1.310e-01  7.900e-03 -5.920e-02
 -4.940e-02  7.650e-02 -2.620e-02 -8.060e-02  5.620e-02 -5.990e-02
 -2.600e-03  5.190e-02 -6.600e-03  6.680e-02  4.320e-02  7.120e-02
 -1.615e-01  7.020e-02  9.740e-02  2.460e-02 -6.760e-02 -1.240e-02
 -5.050e-02  1.210e-02 -3.400e-03  8.600e-03  4.530e-02 -3.890e-02
  9.880e-02  3.300e-03 -3.670e-02  1.926e-01 -2.940e-02 -6.010e-02
 -2.000e-02  6.710e-02 -6.350e-02  9.310e-02 -3.000e-02  5.100e-03
  9.430e-02  6.090e-02  1.000e-04 -7.080e-02  1.410e-02 -3.960e-02
  6.360e-02  5.730e-02  4.810e-02  2.000e-04  2.054e-01  8.850e-02
  2.990e-02  2.470e-02 -3.880e-02 -5.590e-02  4.700e-03 -7.100e-03
 -4.010e-02  8.000e-03  3.310e-02 -9.640e-02 -1.710e-01  7.510e-02
  3.170e-02  2.170e-02  1.070e-01  3.440e-02 -1.026e-01  2.420e-02
 -7.300e-03 -3.600e-03  8.440e-02 -8.400e-03 -7.950e-02  7.000e-02
 -2.540e-02  5.480e-02 -2.200e-02  7.700e-03 -1.079e-01 -4.860e-02
  6.840e-02  5.270e-02  1.940e-02  2.700e-02 -2.360e-02  1.850e-02
  9.790e-02  8.590e-02  2.180e-02 -7.660e-02  3.820e-02  8.900e-03
  1.700e-03 -8.970e-02  6.890e-02 -3.620e-02 -1.400e-02  4.270e-02
 -8.610e-02  3.200e-03 -4.630e-02 -2.460e-02 -8.180e-02 -2.010e-02
 -6.800e-03  1.570e-02 -1.940e-02  3.490e-02 -1.740e-02 -6.420e-02
  8.100e-02 -2.451e-01  8.800e-03 -1.469e-01 -2.720e-02  8.640e-02
  7.280e-02  9.020e-02 -8.000e-04 -1.430e-02 -1.210e-02 -9.630e-02
  7.860e-02 -6.490e-02 -3.420e-02 -1.150e-02 -1.095e-01 -1.430e-02
 -2.420e-02 -7.470e-02 -1.406e-01 -3.880e-02 -7.040e-02 -2.940e-02
  1.910e-02 -4.950e-02  1.620e-02 -1.101e-01 -2.470e-02 -5.710e-02
 -6.270e-02 -1.330e-02  1.040e-02  4.920e-02  5.060e-02 -1.381e-01
 -2.700e-02  2.100e-02  3.150e-02  1.000e-02 -4.880e-02 -2.280e-02
  2.130e-02 -1.213e-01  3.720e-02 -5.530e-02 -1.268e-01  4.710e-02
 -6.300e-03 -7.460e-02 -8.900e-03 -6.830e-02  8.200e-03 -4.920e-02
  1.640e-02 -5.810e-02 -6.580e-02  2.150e-02  7.000e-03 -9.800e-02
  7.070e-02 -1.300e-02 -1.130e-02 -1.292e-01  7.600e-03  4.470e-02
 -3.380e-02  5.100e-02  9.390e-02 -8.850e-02 -5.630e-02 -6.060e-02
  7.700e-02  8.080e-02  1.080e-02 -1.200e-02 -5.350e-02  8.270e-02
 -2.127e-01 -4.900e-02  1.056e-01  2.060e-02  9.170e-02 -3.810e-02]","[ 1.22363634e-02 -4.87818184e-02  1.32763636e-01  2.29272733e-02
  4.26363629e-02 -2.02636368e-02 -7.12727258e-03 -3.77999997e-02
 -7.10909090e-03  1.67909088e-02  6.98000008e-02  3.30818185e-02
  2.47636362e-02  1.72999989e-02 -9.02818199e-02  2.14999999e-02
  2.22545448e-02  3.03818191e-02 -6.17454550e-02  1.33636370e-02
  6.08181883e-03  6.26363681e-03 -8.07999998e-02 -6.20818178e-02
  3.12727330e-03 -7.34909087e-02  2.17090905e-02  6.12818177e-02
  2.78181885e-03  8.72727337e-03 -1.55636352e-02 -4.44181811e-02
  1.44727273e-02 -3.07272781e-03  1.06727271e-02  5.61909085e-02
 -1.79181819e-02  6.68181818e-03  4.74363638e-02  1.38727268e-02
 -2.04090900e-02  4.35454558e-02  1.27272725e-02  4.75909099e-02
 -5.39727292e-02 -5.02545458e-02  2.14545464e-02 -1.11818175e-02
 -2.69454543e-02  2.56363645e-03  3.29000000e-02 -5.66909099e-02
 -1.50545454e-02  1.61181825e-02  4.09090930e-03  4.34545447e-03
 -3.33636308e-03 -1.07145453e-01  2.30636351e-02  1.16818179e-02
  8.00000588e-04 -3.45363631e-02 -2.65545458e-02  2.50090905e-02
  4.59090913e-02  1.76909102e-02  2.61363634e-02  1.61818193e-02
  1.25090900e-02  3.06181825e-02  2.76454548e-02  6.35454511e-03
 -8.99090912e-03 -1.17636367e-02  4.82727277e-03 -8.80363650e-02
 -1.46000002e-02 -1.51454554e-02 -5.36181823e-02  3.31454548e-02
 -2.40545459e-02  4.80545461e-02 -2.07636366e-02  3.59454544e-02
  3.35272735e-02  2.22363639e-02 -2.89727268e-02  5.60908959e-03
 -1.26181821e-02 -2.00000925e-04  2.18181820e-03  3.77090914e-02
 -2.35272725e-02  6.78090904e-02  3.57636359e-02  3.89727294e-02
 -1.08245455e-01  3.55454542e-02 -1.94727273e-02 -1.97090912e-02
 -2.41818062e-03  1.01727272e-01 -9.91818214e-03  2.57181811e-02
  1.06090913e-02  1.28509090e-01  1.60181818e-02 -2.27090911e-02
 -2.44636360e-02  1.82363632e-02 -6.60545458e-02  9.45454472e-03
  5.52636354e-02 -2.26181816e-02  2.85545450e-02  1.91818112e-03
 -2.75909098e-02  1.83999985e-02  4.64272728e-02  1.09999994e-02
 -7.72727285e-02  1.49363638e-02  3.01090912e-02  2.31818182e-02
 -5.60181821e-02 -1.09909094e-02 -3.74545500e-03 -3.91272726e-02
  1.30181823e-02  2.36272723e-02  3.05363629e-02 -2.30363630e-02
  6.86363681e-03 -1.03363637e-02 -3.24727278e-02  8.81636365e-02
 -2.03363633e-02 -1.84818183e-02  9.56363705e-03  2.28727280e-02
 -3.90090920e-02  4.97090899e-02  7.90000072e-03  7.75454511e-03
  1.16954546e-01  3.89181816e-02 -7.63636406e-04 -3.67818179e-02
 -2.13999994e-02 -2.49272729e-02  4.99909094e-02 -8.21818140e-03
  3.64545457e-02  3.25454542e-02  1.40190909e-01 -3.54545448e-03
  2.96090916e-02  3.14363634e-02 -2.09091401e-04 -2.60454543e-02
  9.63637055e-04 -2.60272728e-02 -3.74727272e-02 -4.04727270e-02
  2.63454545e-02 -8.48545474e-02 -9.06909081e-02  1.98545449e-02
  1.57727274e-02  2.31454552e-02  3.76454550e-02  2.48454549e-02
 -3.16454542e-02  4.21090896e-02 -3.07272722e-02 -2.08181808e-03
  3.91272727e-02 -1.17181822e-02 -3.77272732e-02  2.33545463e-02
 -2.93818180e-02 -1.42181835e-02 -3.99999994e-02  1.01272724e-02
 -4.93909097e-02  2.32727288e-02 -1.86545450e-02  7.18181820e-02
  1.48545456e-02 -1.95000006e-02  2.58727273e-02  5.05454521e-03
  8.15000007e-02  4.40818188e-02  4.32000000e-02 -1.96545458e-02
 -2.34727282e-02 -7.22727262e-03  4.57727265e-02  4.75454517e-03
 -1.28454540e-02  1.09909086e-02 -5.25454618e-03  1.64272737e-02
 -4.22909089e-02 -1.22454548e-02 -1.54454551e-02  5.02545453e-02
  3.48181752e-03 -9.12727245e-03 -1.63545453e-02 -4.20363642e-02
  1.59454544e-02  3.37272779e-03 -4.46363670e-03 -4.06454539e-02
 -9.49090914e-03 -3.40763633e-01 -2.24545490e-03 -4.58181812e-02
 -6.26090916e-02  2.97818183e-02  4.38727269e-02  6.31818222e-03
 -2.74181818e-02  1.16181822e-02 -3.56545452e-02 -2.63181811e-02
 -2.94545489e-03 -6.29090920e-02  4.69363641e-02  7.58181862e-03
 -1.24709091e-01 -5.16818193e-02 -1.70818184e-02 -5.04090907e-02
 -1.39590909e-01 -1.38636367e-02  2.40818189e-02 -1.93727267e-02
 -1.70000038e-03 -4.93363639e-02 -2.90909003e-03 -1.44290910e-01
  2.41090906e-02 -8.02818180e-02 -6.92909097e-02 -1.62090915e-02
 -1.16545459e-02 -3.83818166e-02 -2.18090916e-02 -1.33681817e-01
 -1.02727318e-03  5.25454519e-03  3.08090917e-02  1.06727268e-02
 -4.10545465e-02 -1.13545459e-02  3.78727285e-02  2.27272729e-02
  2.94545450e-02  2.29999994e-02 -5.07181818e-02  1.96181819e-02
  2.10909084e-03  5.12727204e-03  1.05445454e-01 -4.46000014e-02
 -2.17636355e-02  6.10000055e-03 -1.82363630e-02 -4.25909086e-02
 -1.91545457e-02  7.09090784e-04  1.34636358e-02 -3.21545454e-02
 -7.74545495e-03  1.82272719e-02 -4.99999989e-03 -7.80818187e-02
  5.39181801e-02  8.59090923e-03 -1.35454552e-02  4.30999993e-02
  1.58090913e-02 -9.59181800e-02 -7.82181817e-02 -1.73909095e-02
  2.27909088e-02  3.88727281e-02  2.66999997e-02 -3.05727279e-02
 -5.74000009e-02  3.15909087e-02 -8.54909077e-02 -6.61363633e-02
  4.27636346e-02 -3.79272718e-02  4.08727274e-02 -3.23454547e-02]"
昆虫,"[ 0.4888 -0.1642  0.0645  0.1552 -0.0276  0.1162  0.0762  0.2734  0.4042
  0.4019  0.0568  0.0677  0.126  -0.1547 -0.467   0.2699  0.3726 -0.1714
 -0.3057 -0.1971  0.0862  0.033  -0.3096  0.1709  0.0617  0.0558  0.383
 -0.2894 -0.0867 -0.1272  0.106  -0.2707 -0.3394 -0.1464 -0.2787  0.2428
  0.0057 -0.0148  0.0794 -0.1796  0.172  -0.1132  0.2143  0.2161 -0.1025
 -0.1532  0.0141  0.0456 -0.2261 -0.1155  0.1499 -0.2498  0.2194 -0.126
  0.2226  0.2499 -0.0651 -0.1385  0.3989  0.0597 -0.2117  0.2135 -0.1582
  0.1598  0.1694 -0.2168 -0.1116 -0.082  -0.198   0.0029 -0.0852  0.0193
  0.1231  0.0456 -0.0608 -0.2943 -0.2114  0.0811 -0.176   0.1656  0.2091
 -0.1171 -0.0688 -0.1272  0.1171 -0.0287 -0.2674  0.1358  0.284  -0.0121
 -0.1051 -0.1774 -0.1599  0.1105 -0.3941 -0.1681 -0.2117  0.3049 -0.2124
  0.1453 -0.0848  0.3629  0.1892 -0.1719  0.2182  0.4945 -0.1844  0.183
  0.0269 -0.0122 -0.1159 -0.2006 -0.0163 -0.0718  0.124   0.12   -0.2802
  0.2807 -0.0387 -0.1174  0.1164  0.2095  0.0679 -0.0314  0.0376  0.0948
  0.1053 -0.2407 -0.2728  0.2765  0.0727 -0.2498  0.1409  0.0744 -0.0275
  0.1893 -0.0729 -0.0021 -0.0531  0.1402  0.3376 -0.0522  0.063   0.1578
 -0.052   0.0855 -0.242   0.3218 -0.0569  0.064   0.2403  0.0472 -0.1873
  0.3164  0.3908  0.0879  0.0146 -0.0437  0.4522  0.1681  0.1931  0.0383
  0.0874  0.1383 -0.1414 -0.0548  0.0832 -0.2038 -0.1116  0.0033  0.1413
 -0.0612 -0.1081 -0.0744 -0.1682  0.3503  0.2913 -0.1671  0.3172  0.3094
 -0.0415 -0.1494  0.3878  0.115  -0.0166 -0.3216  0.1357 -0.1272 -0.0611
  0.0299  0.0592 -0.38    0.0793 -0.2652  0.2329 -0.3618 -0.192  -0.0153
  0.0295 -0.4334  0.1577  0.4284  0.0621  0.0418 -0.1252  0.1875 -0.3499
 -0.0889 -0.0972  0.1151 -0.2748  0.0549 -0.1772 -0.0901  0.1216  0.1439
 -0.1637 -1.0106 -0.0037  0.0432  0.0221 -0.1208  0.0548 -0.0498 -0.3938
 -0.2431 -0.1393 -0.246  -0.1748  0.022  -0.2688  0.1169 -0.3609 -0.2121
  0.1946  0.0965 -0.4773  0.0487  0.412   0.3534 -0.0704  0.2326  0.1299
 -0.3019  0.13   -0.1939 -0.0722  0.0484 -0.2812  0.0539  0.4144 -0.6369
  0.1909  0.2709  0.2577  0.2521 -0.0875  0.2171  0.3068 -0.0252  0.0448
 -0.162  -0.0885  0.1374 -0.1498 -0.026   0.226   0.1002 -0.439  -0.2005
 -0.093  -0.0377  0.0129 -0.1321 -0.2995  0.5354  0.0991 -0.1563  0.015
 -0.3429 -0.3539 -0.2967 -0.0594 -0.2025 -0.0359 -0.228  -0.3171 -0.2041
  0.0943  0.0234  0.1443 -0.1183 -0.2318  0.0888 -0.2357 -0.2084  0.0646
  0.0165  0.0284 -0.3038]","[ 0.0935     -0.1627      0.1383      0.18529999 -0.0431     -0.044
  0.27770001 -0.0186      0.0876      0.4032      0.0913     -0.0761
  0.1129     -0.2559     -0.27340001  0.1446     -0.0248     -0.15090001
 -0.43470001 -0.0664     -0.034       0.2458     -0.1489      0.1446
  0.0358      0.1122      0.0058     -0.24240001 -0.0221     -0.1945
  0.0255     -0.1217      0.0559      0.13860001 -0.2068      0.3107
  0.0289      0.1204      0.1663      0.32820001 -0.1928      0.1375
  0.29840001  0.23899999 -0.0809     -0.0594     -0.0684     -0.23370001
 -0.087       0.0362     -0.0532     -0.1285      0.25670001  0.18179999
  0.19769999  0.0996     -0.21520001  0.0357      0.30540001  0.0875
 -0.2026      0.35330001 -0.1251      0.1566      0.1558     -0.28659999
 -0.1064     -0.1063     -0.0135      0.0194      0.2568      0.0954
  0.1848     -0.0495      0.1301     -0.2683     -0.22570001 -0.0725
 -0.0462      0.2251      0.1763      0.0136     -0.115      -0.0117
  0.1639     -0.0787     -0.0628      0.3222      0.31900001  0.17839999
 -0.2291     -0.0984     -0.0212      0.1048     -0.2358     -0.123
 -0.084      -0.0739      0.0206      0.0581     -0.0187      0.3766
 -0.0632     -0.3484      0.0654      0.31349999 -0.0387      0.13869999
 -0.0023      0.0103     -0.191      -0.0299      0.47799999 -0.0694
 -0.0325     -0.0145     -0.3132      0.1148     -0.15700001  0.1719
  0.2057      0.1193     -0.22229999  0.12800001  0.3283      0.259
 -0.1044     -0.368      -0.3136      0.29589999  0.0297     -0.37040001
  0.18000001 -0.19949999 -0.25850001 -0.18790001 -0.1592      0.29010001
 -0.0671      0.15449999  0.28709999  0.0368     -0.1017      0.0696
  0.1053     -0.038      -0.0267      0.1557      0.26429999  0.089
  0.32170001  0.1693     -0.25150001  0.0277     -0.15800001 -0.12819999
 -0.28060001 -0.13699999  0.3563      0.38029999  0.15189999  0.0425
 -0.0262     -0.24770001 -0.0464     -0.0175      0.155       0.027
  0.0109     -0.0895      0.199      -0.2863     -0.17990001 -0.1885
 -0.2394      0.1594      0.46610001 -0.14569999  0.41060001  0.37459999
 -0.0411      0.0903      0.35280001  0.0663     -0.0805     -0.3073
  0.22490001 -0.1972     -0.0699      0.1346     -0.1451     -0.088
 -0.13689999 -0.0717      0.0751     -0.4355      0.1167      0.0012
 -0.0271     -0.1295      0.0896      0.2608      0.0398      0.0973
 -0.36950001 -0.0669     -0.2385      0.0275     -0.0804      0.21699999
 -0.25940001  0.2094     -0.249      -0.20020001  0.19400001  0.0851
 -0.26910001 -0.82959998 -0.0991      0.1109     -0.003      -0.1293
  0.27849999  0.47659999 -0.278      -0.2105     -0.1964     -0.27669999
 -0.37650001 -0.1019     -0.0811      0.0477     -0.3251     -0.0457
  0.1451     -0.2137     -0.51490003 -0.0803      0.389      -0.0491
 -0.0091      0.1112      0.0538     -0.37650001  0.37689999 -0.19159999
 -0.1365      0.2157     -0.1226     -0.15710001  0.26480001 -0.60549998
  0.0732      0.1886      0.2309      0.204       0.0311      0.18279999
  0.0521     -0.0027     -0.0528     -0.2969     -0.0606     -0.0513
  0.0805     -0.0813     -0.2111      0.1311     -0.1392     -0.37560001
 -0.20999999  0.1211     -0.1904      0.0353     -0.29440001  0.0784
  0.2617     -0.1018      0.0488     -0.1261     -0.21969999 -0.0973
 -0.0307     -0.26930001  0.0859     -0.33919999 -0.0986     -0.20829999
 -0.0498      0.0058     -0.0476     -0.0825     -0.1098     -0.3924
  0.1248      0.1312      0.014       0.0585     -0.0306     -0.58459997]"
