aspect,aspect_vecs,cluster_main_vecs
雰囲気,"[-6.230e-02  2.420e-02  3.532e-01 -3.000e-03  1.690e-02  7.220e-02
  2.349e-01 -3.580e-02 -1.630e-01  1.837e-01  1.401e-01  4.140e-02
 -8.170e-02 -1.499e-01 -9.740e-02  9.230e-02 -6.200e-03 -4.790e-02
 -4.930e-02 -1.250e-02 -6.840e-02 -1.650e-02  2.600e-02 -4.980e-02
 -3.280e-02 -9.320e-02  1.460e-01  4.130e-02 -3.400e-02  7.700e-02
 -7.720e-02 -3.740e-02 -1.910e-02  3.180e-02  6.720e-02 -4.590e-02
  2.360e-02 -1.330e-02 -7.060e-02  5.480e-02  1.166e-01  1.179e-01
  1.900e-03  5.110e-02 -3.530e-02 -1.448e-01  1.665e-01 -9.390e-02
 -6.800e-02  9.840e-02 -7.430e-02 -6.000e-02  1.400e-01 -5.850e-02
  2.690e-02  1.320e-02  3.330e-02 -9.200e-02 -5.890e-02  1.688e-01
  1.000e-04 -4.900e-03  9.800e-02  3.230e-02 -1.530e-02  1.079e-01
 -4.690e-02 -1.400e-03 -4.850e-02  1.558e-01  6.700e-03 -9.590e-02
 -5.760e-02  9.910e-02 -2.700e-03 -1.302e-01 -2.130e-02  7.730e-02
 -4.880e-02 -5.950e-02  3.180e-02  1.104e-01 -4.890e-02 -8.700e-02
 -2.200e-03  1.820e-02  2.330e-02  9.190e-02 -3.310e-02 -2.640e-02
 -1.660e-02  5.200e-03  1.030e-02  8.520e-02  8.430e-02  6.610e-02
  4.670e-02 -4.900e-02  3.080e-02  1.680e-02 -9.300e-02  2.196e-01
  4.910e-02 -5.040e-02  2.160e-02  7.800e-03 -3.250e-02 -1.800e-03
 -1.510e-02 -2.470e-02 -2.985e-01 -1.003e-01 -1.134e-01 -1.054e-01
  3.900e-02  8.080e-02  4.770e-02  4.980e-02  8.620e-02  1.900e-03
 -6.960e-02 -6.180e-02  9.050e-02 -4.730e-02  7.100e-02 -2.040e-02
 -8.330e-02 -7.200e-02  8.760e-02  5.000e-04  2.280e-02 -4.550e-02
  1.655e-01  3.170e-02  1.210e-02 -7.410e-02  9.360e-02 -3.310e-02
  1.057e-01  1.170e-02 -1.200e-03 -2.450e-02  1.149e-01 -3.380e-02
  2.220e-02 -1.246e-01 -1.408e-01 -3.180e-02  1.684e-01 -2.132e-01
 -2.820e-02  7.190e-02 -3.780e-02 -1.636e-01 -2.520e-02  1.047e-01
 -7.900e-03 -2.750e-02  4.760e-02 -2.440e-02 -1.269e-01 -8.580e-02
 -5.200e-03  1.080e-01  1.860e-01  1.370e-02  1.200e-03 -1.434e-01
 -1.260e-02  4.890e-02  7.870e-02  8.350e-02 -7.100e-03 -8.430e-02
  6.160e-02  2.920e-02 -3.280e-02 -6.300e-02  7.190e-02 -3.680e-02
  1.620e-02 -8.200e-02 -3.590e-02  1.667e-01  1.900e-03 -8.610e-02
 -3.810e-02  1.867e-01  1.860e-02 -7.190e-02  3.550e-02  4.220e-02
  1.863e-01  3.400e-03  4.000e-03  7.290e-02  4.500e-02 -3.790e-02
  6.540e-02  2.010e-02 -1.150e-02 -5.140e-02 -5.190e-02 -3.750e-02
 -4.450e-02 -1.050e-02  1.839e-01  1.166e-01  2.800e-02 -8.150e-02
  3.780e-02  2.083e-01 -1.200e-02 -1.703e-01  9.690e-02 -9.100e-03
  6.330e-02 -3.231e-01 -1.220e-02 -3.020e-02  1.540e-02  2.000e-02
 -1.058e-01 -5.710e-02  2.520e-02  8.100e-03  6.920e-02 -6.240e-02
  9.740e-02 -8.800e-03  7.860e-02  8.570e-02 -2.162e-01  6.370e-02
  1.690e-02 -2.600e-02 -2.562e-01 -9.580e-02  7.310e-02 -6.400e-02
  1.710e-02 -5.250e-02  5.200e-02 -1.170e-01  1.373e-01 -4.120e-02
 -1.503e-01  2.860e-02  2.380e-01 -3.576e-01  2.680e-02 -1.870e-01
  5.830e-02  1.400e-03  6.020e-02 -1.730e-02 -1.921e-01  7.070e-02
  5.090e-02 -2.450e-02 -1.116e-01 -1.424e-01 -1.700e-03  7.580e-02
 -2.910e-02 -1.976e-01  2.830e-02  8.100e-02 -2.110e-02 -4.180e-02
  1.733e-01  1.700e-02 -5.040e-02  8.000e-02  7.170e-02  7.400e-03
  1.132e-01 -7.540e-02 -4.100e-02  2.930e-02  1.946e-01  6.390e-02
  7.200e-02 -7.200e-03 -1.639e-01  4.260e-02 -4.740e-02 -6.140e-02
  5.630e-02  1.560e-01 -7.870e-02 -1.130e-02 -4.640e-02  1.416e-01
  6.070e-02  1.800e-02  7.520e-02  6.000e-04 -8.290e-02  5.700e-03]","[ 0.02406667 -0.02398889  0.31384444  0.11801111  0.00178889 -0.05411111
  0.12461111 -0.01286667 -0.15676667  0.18005556  0.15981111  0.09865556
 -0.0376     -0.11485556 -0.11587778  0.10612222 -0.05621111  0.06416667
 -0.12311111 -0.03758889 -0.05027778  0.1364     -0.06083333 -0.01447778
 -0.04202222 -0.03503333 -0.04886667  0.0707      0.01878889 -0.00492222
 -0.05738889  0.04974444 -0.08806667 -0.03888889  0.00267778  0.04776667
 -0.06081111  0.04886667 -0.00637778  0.12692222  0.02005555  0.05684444
 -0.0235      0.03811111 -0.05334445 -0.00128889  0.0341     -0.02457778
  0.00326667  0.03852222 -0.00367778 -0.03274444  0.16145556 -0.08844445
  0.00582222  0.07426667  0.08388889 -0.0195      0.012       0.05952222
  0.00574444 -0.02668889 -0.06125556  0.07244444  0.01813333 -0.02908889
  0.05627778 -0.048      -0.10102222  0.08354444  0.0244     -0.03407777
  0.02747778  0.10642222  0.05408889 -0.08221111 -0.08911111 -0.0618
 -0.08298889  0.00467778  0.0796      0.1067     -0.1207     -0.01054445
 -0.07368889  0.06616667  0.00704445 -0.02192222 -0.03306667 -0.11572222
 -0.10635556  0.04852222  0.03338889  0.0883     -0.07097778 -0.02533333
 -0.09745556 -0.08124444 -0.04052222  0.05782222  0.06523333  0.25726666
  0.01495556 -0.02428889  0.00465555  0.1925      0.08003333  0.07473333
 -0.00251111 -0.00958889 -0.21896667 -0.08537778  0.00353334  0.006
  0.01958889  0.08395555 -0.03862222  0.02954444  0.05806667 -0.02424444
  0.0175     -0.03128889  0.14511111 -0.1245     -0.05296667 -0.01676667
  0.0249      0.08414444 -0.02323333  0.00546667 -0.01301111 -0.02197778
  0.08521111 -0.03685556  0.04283333 -0.16984444  0.02504444  0.09391111
  0.05257778  0.08076667 -0.03542222 -0.0744      0.05632222 -0.05093333
  0.17396667 -0.01345556  0.00212222 -0.00361111 -0.05822222 -0.00616667
  0.0473      0.04296666  0.02914444 -0.04844445  0.05141111 -0.04082222
  0.07168889  0.01112222  0.06418889 -0.06135556 -0.01216667 -0.07057778
  0.01232222 -0.06164445  0.08375556  0.03048889 -0.02623334 -0.01777778
  0.03465555  0.04314445 -0.03414445  0.02158889 -0.03014444  0.01635556
  0.01741111 -0.0135      0.03508889 -0.10451111  0.06063333  0.01944444
 -0.0247      0.01562222 -0.02918889  0.01912222 -0.02832222 -0.01005556
 -0.02728889  0.10484444  0.02401111 -0.01844445 -0.0147     -0.02576667
  0.22447778  0.02845555  0.10343333  0.05551111  0.02384445 -0.03338889
  0.03634444  0.03018889  0.05696667  0.07981111 -0.08402222 -0.00393333
 -0.05606667 -0.08548889  0.06688889 -0.04211111 -0.0318     -0.02904445
 -0.14167778  0.2353     -0.07754444 -0.09391111  0.0636     -0.05071111
 -0.04186666 -0.60713333 -0.02995556 -0.05485556  0.03128889 -0.02158889
 -0.00913333 -0.00318889  0.00154445 -0.02552222  0.0536     -0.08498889
  0.12197778  0.07658889  0.00815555 -0.06718889 -0.28637777 -0.02245555
 -0.00834444  0.09896667 -0.36231111  0.08224445  0.05016667  0.02367778
  0.00965556  0.0369     -0.01546667 -0.16396666  0.06678889 -0.09896667
 -0.09827778  0.093       0.09535555 -0.25533334  0.01443333 -0.3283
 -0.0091     -0.03763333  0.1065      0.15487778 -0.08188889  0.05965555
  0.03091111  0.02194444 -0.07533333 -0.07664444  0.01711111  0.08576667
 -0.07601111 -0.07224445 -0.06727778  0.05042222 -0.0337     -0.00564444
  0.01595555  0.01598889  0.0142      0.05303333 -0.02338889  0.02563333
  0.10094445 -0.04027778  0.02527778  0.05988889  0.1679     -0.0265
  0.02725556 -0.03875556 -0.05552222  0.02711111 -0.04781111  0.0141
  0.0257      0.05326667 -0.04645555 -0.07575556 -0.1054      0.14332222
  0.05926667 -0.04216667  0.01473333  0.02695556  0.0188     -0.08367778]"
花,"[-6.710e-02  3.385e-01  2.953e-01  3.022e-01  2.323e-01 -1.198e-01
 -8.360e-02 -1.838e-01 -1.420e-01  2.098e-01  1.069e-01 -1.955e-01
 -9.680e-02 -1.883e-01 -2.961e-01  2.507e-01 -9.190e-02  2.596e-01
 -2.903e-01 -7.600e-02  2.215e-01  2.247e-01 -2.484e-01  8.350e-02
 -1.641e-01 -1.167e-01  9.880e-02 -1.811e-01  1.436e-01 -1.920e-01
  1.257e-01 -1.405e-01 -1.332e-01 -7.430e-02  9.260e-02  1.885e-01
 -1.030e-02 -5.590e-02  1.212e-01  1.632e-01  1.420e-02 -2.549e-01
  2.146e-01 -2.300e-01  1.508e-01  3.531e-01  1.643e-01  1.433e-01
  2.103e-01  4.530e-02  1.776e-01  8.940e-02  1.004e-01 -1.940e-01
 -6.700e-03  1.544e-01 -8.720e-02  2.240e-02  6.810e-02 -2.200e-02
  1.012e-01  1.699e-01  7.270e-02  1.248e-01 -9.820e-02 -3.280e-01
 -2.160e-02 -2.743e-01 -1.736e-01  9.680e-02 -7.660e-02 -5.920e-02
  1.745e-01 -3.510e-02 -3.080e-02 -3.368e-01 -1.440e-02  1.082e-01
 -1.172e-01  4.900e-03  2.200e-03 -4.700e-03 -1.549e-01  9.970e-02
  3.700e-03 -4.840e-02 -3.136e-01 -1.752e-01  9.650e-02 -4.500e-03
 -5.440e-02  2.815e-01  1.252e-01 -5.270e-02 -3.155e-01 -8.600e-02
 -2.167e-01 -3.896e-01 -2.199e-01  2.112e-01  1.530e-01  2.721e-01
 -6.390e-02 -5.470e-02 -6.580e-02  3.755e-01  2.330e-02  1.862e-01
  5.480e-02 -9.160e-02 -2.272e-01 -3.970e-02 -7.960e-02 -2.008e-01
 -5.660e-02 -2.100e-03 -2.409e-01  6.330e-02 -1.234e-01 -1.721e-01
 -2.970e-02 -6.060e-02  1.951e-01 -1.702e-01 -1.100e-02  1.780e-01
  2.640e-02  9.690e-02 -2.284e-01  8.190e-02 -2.000e-02 -1.560e-02
  1.296e-01  1.450e-02  1.454e-01 -8.640e-02 -1.515e-01 -6.300e-02
  4.020e-02  2.040e-02  4.430e-02 -6.740e-02 -1.920e-02 -3.284e-01
  1.082e-01 -7.830e-02  2.013e-01  8.180e-02 -6.410e-02 -5.340e-02
  1.405e-01  6.030e-02 -8.300e-02  1.696e-01 -1.066e-01 -2.845e-01
  9.830e-02  5.780e-02 -7.070e-02 -2.208e-01 -3.840e-02 -1.222e-01
  2.735e-01 -2.175e-01  1.765e-01 -2.950e-02  1.423e-01 -5.900e-02
  1.721e-01 -1.120e-02 -1.506e-01 -3.327e-01  3.000e-03 -1.174e-01
 -8.390e-02 -1.260e-02  1.130e-01  3.520e-02 -1.100e-02 -2.311e-01
 -2.401e-01 -1.852e-01  3.064e-01  1.919e-01 -8.710e-02 -4.220e-02
 -1.980e-02 -2.334e-01 -1.215e-01  1.837e-01  1.987e-01 -1.567e-01
  1.240e-01  1.295e-01 -3.860e-02  8.920e-02  1.427e-01 -3.600e-02
  1.324e-01 -3.650e-02  3.044e-01  1.296e-01 -1.525e-01 -3.620e-02
 -3.730e-01 -3.830e-02 -8.350e-02 -3.150e-02  7.580e-02  1.529e-01
  3.860e-02  2.066e-01 -3.740e-02 -2.890e-02  1.894e-01 -1.273e-01
 -3.836e-01 -7.389e-01  1.170e-02  2.040e-01 -8.880e-02  5.270e-02
  2.090e-02  7.200e-03 -4.590e-02 -6.250e-02 -1.321e-01 -1.775e-01
  6.980e-02  5.790e-02 -7.760e-02 -1.392e-01 -3.292e-01  1.761e-01
  1.552e-01  4.030e-02 -3.393e-01  2.370e-01  6.600e-03  1.170e-01
 -8.670e-02  2.850e-01  2.714e-01 -2.500e-01 -3.490e-02 -4.490e-02
 -9.180e-02  3.602e-01 -1.411e-01 -2.924e-01  1.639e-01 -4.294e-01
  2.761e-01 -2.098e-01  9.590e-02  3.146e-01 -1.270e-02  4.000e-04
  1.961e-01  1.320e-02 -2.270e-01 -5.620e-02 -6.640e-02  4.224e-01
 -1.003e-01  3.300e-03 -2.292e-01  1.283e-01 -8.750e-02  1.870e-02
 -5.810e-02  1.265e-01  8.030e-02  6.140e-02 -3.360e-02 -8.200e-03
  2.495e-01 -2.400e-01 -3.424e-01  2.485e-01 -4.320e-02 -4.390e-02
  1.156e-01 -6.190e-02  3.290e-02  4.600e-02 -9.930e-02 -5.980e-02
 -2.200e-02  1.437e-01 -2.090e-02 -1.159e-01 -2.802e-01 -4.380e-02
 -1.487e-01 -1.723e-01 -8.730e-02  3.190e-02 -2.236e-01 -1.473e-01]","[-1.98000004e-01  1.43199997e-01  1.03612500e+00  4.98200001e-01
  5.97749980e-02  1.47212496e-01  2.60587496e-01 -3.55725000e-01
 -3.67787507e-01  6.03625001e-01  1.39825003e-01  1.51349999e-01
 -8.04374986e-02 -3.43374934e-02 -4.47474997e-01  1.10562499e-01
 -2.84749994e-02 -8.13874988e-02 -5.62975004e-01  4.07375010e-02
  2.91512493e-01  4.15524999e-01 -5.23724995e-01  1.74500000e-01
  3.06587503e-01 -2.06512497e-01 -1.18275004e-01 -2.60637494e-01
 -1.08124995e-01 -4.27250004e-02  3.00749974e-02 -2.80474999e-01
 -1.44362500e-01 -3.33274996e-01 -1.28650001e-01 -3.50002418e-04
  3.96499985e-02 -2.23249989e-02  4.10900001e-01 -1.12825000e-01
 -5.33249973e-02 -1.20762508e-01 -9.01750001e-02  3.90250027e-02
 -1.61875003e-01  6.33037495e-01 -1.34249998e-01 -8.37500067e-03
  1.79712501e-01 -8.31000033e-02  1.91562496e-01 -1.17387499e-01
  5.93874985e-02 -9.15875045e-02  2.48750014e-02  2.36950004e-01
  2.36375015e-02 -1.50775004e-01  7.39374958e-02  5.76624987e-02
  5.08749997e-02 -1.78525002e-01  7.76125015e-02  1.18112495e-01
 -3.95250018e-02 -6.32750001e-02 -3.34749996e-02 -1.25612507e-01
 -1.75949996e-01  2.04262499e-01  2.47262500e-01  4.50001498e-04
  1.35112500e-01  3.96749987e-02 -3.74874988e-02 -3.68262500e-01
 -2.13237501e-01 -1.72562501e-01 -3.44749987e-02 -8.06500001e-02
  1.97900005e-01  1.22999997e-01 -2.37487502e-01 -4.01000023e-02
 -6.64499970e-02  7.22000020e-02  6.91750055e-02 -5.00499986e-02
 -2.72962505e-01 -1.06862499e-01 -1.78425001e-01 -1.21874978e-02
 -2.99999993e-02  3.93837501e-01 -3.17375007e-02 -1.38687499e-01
 -5.43500000e-01 -1.59675002e-01 -2.57649999e-01  1.69337502e-01
  4.19500022e-02  5.22125001e-01 -3.50750015e-02  2.09237502e-01
  1.51137500e-01  6.90900002e-01  9.25625035e-02  2.02999999e-01
 -3.19874955e-02 -1.29837501e-01 -3.31687492e-01  1.53999949e-02
 -1.73925001e-01  5.12375048e-02  2.13099999e-01  5.58924997e-01
 -3.44649998e-01  2.06462495e-01  1.06737499e-01 -9.05625005e-02
  1.24962498e-01 -1.39175004e-01  3.00174996e-01  4.08124956e-02
 -1.40687501e-01  8.02249978e-02 -1.32000001e-01  6.98625017e-02
 -2.73112498e-01 -1.28249996e-02 -6.33500001e-02  5.18250028e-02
  1.06550000e-01 -4.51625016e-02 -8.07625016e-02 -4.38224998e-01
  6.09499961e-02  3.98249972e-02  3.68749923e-02  1.02749934e-02
 -2.33050001e-01 -2.23037500e-01  4.37249984e-02  1.04875001e-01
  5.90224999e-01 -1.95362497e-01  4.27499891e-03  6.32375022e-02
 -2.87049995e-01 -2.43474998e-01  1.10462496e-01  8.75999909e-02
  1.10812496e-01  1.70524998e-01  1.36625001e-02 -3.96237502e-01
 -2.06762498e-01  1.85450003e-01  6.71750001e-02  1.19150003e-01
  2.47299993e-01 -1.64375000e-01  5.32500014e-02 -2.15600001e-01
  4.31762500e-01 -2.99375004e-02 -1.36474998e-01 -4.92624954e-02
 -9.02500055e-02 -5.80249985e-02  6.49499994e-02 -2.95562504e-01
 -2.25649995e-01  1.98012501e-01 -2.32125001e-01  1.89874970e-02
  2.27612494e-01  4.49375038e-02  1.51762493e-01 -1.27050002e-01
  4.85000107e-03 -5.44775001e-01  3.48937497e-01  1.89362500e-01
 -2.54087501e-01 -8.74992693e-05 -7.37749981e-02 -1.08812503e-01
  2.03962500e-01 -9.14750041e-02  9.18749529e-03 -1.10337500e-01
  2.63800001e-01  8.62625025e-02  2.62150002e-01 -7.16249988e-03
  3.38275000e-01  4.62500033e-02 -1.06162500e-01 -6.69750003e-02
 -1.21987501e-01  8.71375001e-02 -1.50900003e-01 -3.66624989e-02
  3.36125027e-02 -1.74999979e-04  4.72499961e-02 -1.30274996e-01
  8.37875019e-02  2.01550001e-01  7.29375049e-02  1.21824993e-01
 -3.03037499e-01  7.54749997e-02  3.33325000e-01 -2.33774997e-01
 -2.47799998e-01 -2.07053751e+00  7.17500248e-03 -3.07750022e-02
 -1.09875007e-02  1.39562499e-01  1.62124999e-01 -8.41124996e-02
 -2.38837499e-01 -4.47949999e-01  1.52000046e-02 -1.00949997e-01
  3.05787496e-01 -5.25875021e-02  5.17124962e-02 -9.25374998e-02
 -7.69937496e-01  2.83662508e-01  2.48562502e-01  1.25287499e-01
 -9.54075004e-01  2.31575000e-01 -2.03387506e-01 -6.54750033e-02
  9.71124982e-02  2.49724998e-01  2.21637506e-01 -8.25587498e-01
  4.84000009e-02 -4.61274999e-01 -2.03099998e-01  2.36824999e-01
 -4.93000031e-02 -2.57762504e-01  2.02550003e-01 -1.12506248e+00
  8.54375047e-02 -4.33374951e-02  1.23750002e-01  5.18487500e-01
 -1.01449997e-01  5.72999962e-02  2.65025000e-01  1.44074998e-01
 -8.60999967e-02 -2.50137500e-01 -5.44749976e-02  3.28625002e-01
  3.06749991e-02  3.97500128e-03 -1.68462509e-01 -8.44125012e-02
 -1.23462500e-01 -9.17499989e-02 -2.74049998e-01  5.25624993e-02
  1.75499999e-01 -7.07499805e-03 -8.93749762e-03 -1.33125033e-02
  1.87225004e-01 -2.58800001e-01  4.36999947e-02  1.19200000e-01
  1.57712498e-01 -8.17875029e-02  3.01249968e-02 -1.84049998e-01
  1.41237498e-01 -7.53749977e-02 -4.04750034e-02 -3.87875003e-02
  1.26562497e-01 -1.51712496e-01 -7.47499804e-03 -1.34662504e-01
 -1.70175006e-01  2.17787503e-01 -3.12900004e-01 -1.43687499e-01
 -3.14687501e-01  1.32437500e-01  4.44250018e-02 -1.18250002e-01]"
