aspect,aspect_vecs,cluster_main_vecs
狩り,"[-2.980e-02 -4.145e-01  6.259e-01  2.368e-01 -1.280e-01 -6.680e-02
  6.450e-02  2.840e-01 -1.947e-01  2.800e-01  8.210e-02  2.470e-01
  1.013e-01 -3.189e-01  9.670e-02  6.860e-02 -3.158e-01  4.255e-01
 -2.649e-01  2.910e-02 -9.990e-02 -1.167e-01 -1.101e-01  1.699e-01
  3.505e-01 -1.734e-01  5.140e-02  1.516e-01  1.198e-01 -4.000e-03
 -9.370e-02 -2.726e-01  2.630e-02 -2.275e-01 -1.900e-01 -3.820e-02
 -2.360e-02 -2.190e-01  3.138e-01 -1.628e-01 -4.630e-02 -1.182e-01
 -2.379e-01 -1.045e-01  4.610e-02 -2.377e-01 -2.400e-03  2.603e-01
 -9.600e-03 -1.974e-01  1.938e-01 -7.480e-02  1.035e-01  3.970e-02
  1.147e-01  1.500e-01 -1.770e-02 -2.230e-01 -2.072e-01  2.382e-01
  1.162e-01  1.417e-01  3.830e-02  1.262e-01  4.751e-01 -3.572e-01
 -5.950e-02  2.108e-01  4.978e-01 -3.040e-01  1.753e-01  4.111e-01
  3.544e-01  4.199e-01 -1.589e-01 -6.452e-01  1.935e-01  4.200e-03
  1.830e-01  1.645e-01  1.345e-01 -1.909e-01  1.836e-01 -6.270e-02
  1.284e-01  7.330e-02 -3.988e-01 -5.694e-01  1.590e-01  5.680e-02
 -2.087e-01  2.890e-02 -1.260e-01  4.950e-02  2.478e-01 -1.963e-01
  6.070e-02  4.966e-01 -3.880e-01  1.473e-01  1.519e-01  6.468e-01
  3.420e-02  9.280e-02  5.630e-02 -2.243e-01  2.545e-01  1.460e-02
  1.147e-01  4.659e-01 -4.483e-01 -1.850e-01 -8.020e-02 -1.293e-01
  1.940e-02 -2.070e-01 -8.970e-02  3.928e-01  1.890e-01 -4.780e-02
  9.700e-02  1.157e-01 -2.550e-01  8.280e-02 -7.600e-02 -4.090e-02
 -4.480e-02  1.286e-01 -1.415e-01  2.061e-01 -5.270e-02 -1.821e-01
 -1.192e-01 -1.321e-01  1.716e-01  4.515e-01  1.485e-01  1.043e-01
 -2.991e-01  4.160e-02 -6.390e-02 -3.124e-01 -1.165e-01  7.660e-02
  6.230e-02 -6.870e-02 -3.303e-01  9.400e-03 -9.270e-02  9.580e-02
  1.210e-02  5.790e-02 -2.400e-03 -3.905e-01  2.317e-01 -2.299e-01
  1.052e-01  1.670e-01  7.510e-02 -2.606e-01  1.970e-02 -5.730e-02
  1.338e-01 -1.079e-01  5.270e-02  8.010e-02  1.205e-01  2.381e-01
 -2.340e-02  1.557e-01  1.446e-01 -3.107e-01 -1.153e-01 -9.300e-02
  1.220e-01 -4.790e-02 -2.331e-01  1.450e-01 -3.120e-02  2.861e-01
 -9.290e-02 -1.535e-01  1.836e-01 -3.000e-04 -1.549e-01  3.610e-02
 -1.770e-02 -1.541e-01 -2.120e-01 -1.207e-01 -3.100e-03 -4.118e-01
  3.644e-01  1.630e-01  1.922e-01  3.180e-02 -2.475e-01 -1.211e-01
 -8.400e-02 -1.528e-01  2.531e-01  8.280e-02 -5.120e-02  1.301e-01
 -4.113e-01 -1.363e-01 -2.700e-02 -2.850e-02 -5.500e-03  2.720e-02
 -2.723e-01  7.620e-02 -8.160e-02  2.000e-01  8.890e-02  1.147e-01
 -2.020e-02 -8.329e-01  2.422e-01 -1.961e-01  9.900e-03  1.969e-01
 -7.240e-02  4.290e-02  2.307e-01 -2.675e-01  2.331e-01 -3.005e-01
 -1.166e-01 -6.850e-02  2.616e-01  3.940e-02 -4.436e-01 -2.130e-02
 -1.893e-01  4.197e-01 -5.541e-01  1.695e-01  8.950e-02 -3.231e-01
 -3.720e-02 -1.493e-01 -3.254e-01 -3.865e-01 -2.200e-01 -5.856e-01
 -3.404e-01 -1.400e-02  1.152e-01  5.736e-01  1.689e-01 -5.353e-01
 -2.079e-01  4.196e-01 -2.100e-02  1.040e-02  1.411e-01  2.814e-01
  5.120e-02 -2.183e-01  9.210e-02  1.778e-01 -1.971e-01  1.349e-01
 -1.568e-01 -1.226e-01  1.160e-01 -2.280e-02 -5.730e-02 -4.232e-01
 -2.015e-01  3.493e-01  5.840e-02  1.915e-01  2.180e-02 -5.544e-01
 -4.131e-01 -3.805e-01  5.860e-02  3.590e-02  4.216e-01  7.130e-02
  2.279e-01 -1.058e-01 -2.637e-01 -2.918e-01  6.060e-02 -2.430e-02
 -9.530e-02  5.900e-02 -7.600e-03  9.750e-02  6.340e-02  8.920e-02
 -2.409e-01 -2.988e-01  1.240e-02  1.883e-01  2.624e-01 -3.507e-01]","[-0.00618334 -0.41623333  0.60218332  0.29675    -0.00371667  0.02671667
 -0.2869      0.17271667  0.09215     0.3828      0.06778333  0.18278332
 -0.0117     -0.04661666 -0.15205    -0.42565001 -0.14696667  0.63608333
 -0.62711667 -0.17928334  0.03718333  0.26431666 -0.74238333  0.14713333
  0.16719999 -0.05918333 -0.27345     0.3825     -0.1413     -0.20405
  0.1305     -0.05798333  0.23638334 -0.3107     -0.37243333 -0.26433333
 -0.25808333 -0.14851666  0.31558333 -0.06433334 -0.29750001 -0.22166667
 -0.06731667  0.09034999  0.13101667  0.173      -0.31368334  0.30083334
  0.11013333 -0.21518333  0.15926667  0.01053334  0.24193334  0.01371667
 -0.04236667  0.13438333 -0.1138     -0.15915     0.01986667  0.10025
  0.06265     0.24505    -0.05186667  0.00411667  0.50151667 -0.16171667
 -0.1049      0.28891667 -0.04281667 -0.17516666  0.20235     0.12101666
  0.10988334  0.3147      0.14606667 -0.47936667  0.35336666  0.10068333
  0.33566666 -0.01993333  0.49371667 -0.02625    -0.08436667 -0.2031
 -0.00491667 -0.07961667 -0.20714999 -0.5452      0.1196      0.077
 -0.02388334 -0.06818333 -0.00483333  0.23723334 -0.20121667 -0.18093334
 -0.41578334  0.37826667 -0.39288334  0.08275     0.13364999  0.36259999
  0.32083334  0.05723333 -0.13825     0.46161668  0.22158333 -0.0147
  0.28681666  0.32583334 -0.27361667 -0.0775      0.05653333  0.00853333
 -0.00916667  0.11178333 -0.2938      0.54958334 -0.10091668  0.0923
  0.0979     -0.07966667 -0.25615     0.33996666 -0.00811666 -0.14421667
  0.33966666  0.16181667 -0.15888333  0.19841667 -0.38049999  0.07873334
 -0.123      -0.35575     0.11163333  0.07076667  0.06148333  0.03588333
 -0.02406668  0.1676     -0.16136667 -0.04838334 -0.19398333 -0.09703333
  0.36555001  0.1416     -0.08028334 -0.0449     -0.00801666 -0.01971667
 -0.16073333 -0.08433333  0.23218334 -0.52753334  0.37363334 -0.40493334
 -0.14455    -0.15265     0.10495    -0.49683334 -0.17425    -0.26023334
  0.25308333  0.11575     0.07051667 -0.09766667  0.02096667  0.41861667
  0.34056666  0.07663333  0.10356667 -0.38906667 -0.2187      0.10745
 -0.01265     0.22328334 -0.04318333  0.06096666 -0.21678333  0.25055
 -0.24411667 -0.20253333  0.29205    -0.19875    -0.0361      0.30388332
  0.0757     -0.01751667 -0.43811667 -0.18853333 -0.17726667 -0.3069
  0.19531667  0.37676667  0.00393334 -0.13506667  0.0506     -0.34553333
 -0.0077     -0.42025     0.23513334  0.01325    -0.09801667  0.33723333
 -0.18166666 -0.01088333  0.1904     -0.13195     0.23658333 -0.22463333
  0.14735     0.11338333 -0.15118333 -0.11468334  0.35441667 -0.10978334
  0.0019     -1.77446668  0.27101666 -0.07476666  0.1862      0.16428333
  0.07523333 -0.04593333  0.13785    -0.35861667  0.26291667 -0.28375
 -0.02971667  0.0175     -0.07091667 -0.03481667 -0.65876666 -0.46408334
 -0.13656666  0.14598333 -0.67153332  0.17048333  0.25845    -0.23101666
 -0.08541667  0.01938333 -0.00975    -0.62388333 -0.21528333 -0.42095001
 -0.25560001  0.02148333 -0.28226667  0.34346666  0.10598333 -0.80778335
 -0.17115     0.18196667  0.17583333  0.07383333 -0.09508333  0.14255
 -0.01268333 -0.30886666  0.07668333  0.06178333 -0.12678333  0.43185
 -0.12098333 -0.24609999 -0.00666667 -0.26901667 -0.11506667 -0.09496667
 -0.28598334  0.49763333  0.15325     0.30898333 -0.0999     -0.59551669
 -0.48888334 -0.30293333 -0.13256666  0.0676      0.14223334  0.06886667
  0.11248333  0.10585    -0.35110001 -0.33581667  0.00291667  0.21191666
 -0.08628333 -0.13501667 -0.202      -0.00398333  0.34496667 -0.09216667
 -0.34523333  0.10991667 -0.14996666  0.05585     0.11078333 -0.19025   ]"
農家,"[ 0.0989  0.0676  0.2247  0.2353  0.0504 -0.1163 -0.1153  0.0723 -0.12
  0.1704  0.0155  0.0089  0.277  -0.2198 -0.5306  0.1994  0.0141  0.0013
 -0.195  -0.3222  0.1266  0.3996 -0.3441 -0.0755 -0.1234 -0.1311  0.0045
  0.3152  0.1304 -0.378  -0.0057  0.2238 -0.1264 -0.2662 -0.1083 -0.0671
 -0.3527 -0.0259  0.3396  0.0646 -0.032   0.3617  0.2814 -0.0571  0.0447
 -0.074  -0.1262  0.0936  0.0465 -0.2094 -0.2341  0.0234 -0.1021  0.1127
  0.0336  0.2114  0.1402 -0.2177 -0.1106 -0.0702 -0.1373  0.2327 -0.1044
  0.1476  0.261  -0.0771 -0.1597 -0.1405 -0.0277  0.0686 -0.0347  0.0901
  0.0899 -0.177  -0.0489 -0.2815  0.2795  0.0407  0.1273 -0.2602  0.1108
 -0.1499 -0.1122  0.2325  0.0474 -0.1603 -0.4916 -0.1606  0.3731  0.2056
  0.0887 -0.1146  0.2132  0.0315 -0.1375  0.0669 -0.2048  0.0767 -0.4606
 -0.0051 -0.3119  0.4001 -0.1232  0.3292  0.1196  0.3834 -0.2399  0.1489
 -0.1861  0.0465 -0.2055 -0.032   0.0962 -0.1931 -0.0347 -0.028  -0.0118
  0.1049  0.1072  0.1552 -0.0537 -0.0279  0.1242  0.0114  0.1389  0.2597
  0.1639  0.0371 -0.2802  0.147   0.0231  0.0152  0.123  -0.4394 -0.1786
  0.3342 -0.0332 -0.1806 -0.1126  0.1453 -0.0627  0.3171 -0.1527 -0.3639
  0.4016  0.0913 -0.0092  0.0661  0.0328  0.049  -0.0793 -0.0762  0.329
 -0.4282  0.2936 -0.0916 -0.0395 -0.0621  0.0013 -0.4614  0.1822 -0.0051
  0.3401  0.2078  0.1101 -0.3775 -0.4017  0.0166  0.3133  0.2891  0.0522
  0.0088 -0.0183 -0.0033  0.1683 -0.0468 -0.2175  0.0267  0.4328  0.0438
 -0.2666  0.2741 -0.0289 -0.2284  0.2902  0.2324  0.3009 -0.0359 -0.1124
  0.0791  0.0415 -0.0735  0.2978  0.2934  0.1785  0.08   -0.1328 -0.3185
 -0.1361 -0.1859  0.1068 -0.1396  0.1971 -0.1487  0.0673 -0.0391  0.3039
 -0.1663  0.1594 -0.1442 -0.148  -0.0078 -0.176   0.156  -0.2011 -0.1211
 -0.0322 -0.8708 -0.0938 -0.0534  0.201  -0.4198 -0.0036  0.1293  0.0218
 -0.4743  0.2465 -0.0816  0.0095 -0.0223 -0.2525  0.0215 -0.2752  0.1465
 -0.4468  0.0654 -0.3817  0.0093  0.2236 -0.0773  0.3483 -0.4733  0.3028
 -0.4434 -0.1707 -0.3217 -0.2615  0.2758 -0.1538 -0.1457  0.1531 -0.4412
 -0.1137  0.2176 -0.1134  0.0288 -0.3205  0.3947  0.035  -0.3704  0.0413
 -0.0965 -0.0528 -0.1489 -0.0497  0.0389  0.3725 -0.0731 -0.197   0.0212
 -0.1689  0.2979 -0.0578 -0.3688 -0.2879 -0.0675  0.0766  0.1423 -0.1426
 -0.1979 -0.2534  0.1974 -0.0341 -0.2537 -0.1177 -0.2698 -0.1433  0.0405
  0.1252 -0.0965 -0.2809  0.3982 -0.3483 -0.1169 -0.1388  0.2127 -0.1247
 -0.0315  0.0916 -0.1757]","[ 1.00481453e-02 -3.40703707e-02  5.16385182e-01  1.41885185e-01
  8.02222205e-03 -4.22592660e-03 -7.33333331e-02  8.72259267e-02
 -6.86555552e-02  1.41929628e-01  1.03900001e-01  1.07992591e-01
 -6.72333329e-02 -2.70925925e-02 -1.01214818e-01  7.91111002e-03
 -5.41814825e-02  6.81370378e-02 -2.72925926e-01 -5.42888885e-02
  2.41740741e-02  1.37155553e-01 -2.30344446e-01 -4.33370361e-02
  7.59999871e-03  1.29629640e-02  1.70740737e-02  9.34888895e-02
 -3.07444467e-02 -4.85592586e-02 -2.50111133e-02  4.88740758e-02
  2.62592691e-03 -5.27666667e-02 -2.56111117e-02 -1.32370389e-02
 -7.73592587e-02 -2.16407414e-02  1.20577777e-01  7.69518535e-02
 -4.43296298e-02  8.45370372e-02  5.76037033e-02  1.91407396e-02
 -3.00074061e-02 -8.48925887e-02 -8.00629637e-02  3.31888885e-02
  1.10518521e-02 -7.30111096e-02  8.42592626e-03 -4.34073988e-03
  4.82111121e-02  1.64066668e-01  1.53444439e-02  7.90888875e-02
  5.48481493e-02 -1.71781480e-01  8.16666671e-03  3.16740740e-02
 -3.87222228e-02 -2.80851843e-02 -5.15888883e-02  1.16429630e-01
  1.94144442e-01 -6.94851841e-02  7.51851782e-04  7.22222188e-03
 -1.42496295e-01  4.44443448e-04 -3.54073941e-03  1.84518535e-02
  2.38888774e-03  2.52777780e-02  5.37555559e-02 -2.00740740e-01
  1.11711112e-01  4.91518511e-02 -2.02407408e-02 -6.50666664e-02
  1.77577776e-01  2.11629638e-02 -1.06366666e-01 -1.15222225e-02
  1.07814804e-02  1.24444457e-03 -6.13851857e-02  8.04814746e-03
  8.20148151e-02 -1.16777791e-02  4.84444445e-02 -3.12888897e-02
  6.70888886e-02  9.47000000e-02 -5.91407414e-02 -1.53333311e-02
 -2.51955556e-01  6.08740736e-02 -6.51111103e-02 -7.38666658e-02
 -1.26629630e-01  2.48411106e-01  4.72111122e-02  9.71148148e-02
 -2.26703717e-02  2.91633335e-01  9.52333316e-02 -2.55074082e-02
  9.82962997e-03 -3.69481494e-02 -1.98407406e-01 -4.17481482e-02
  3.77148149e-02  1.70814827e-02  4.95407409e-02  9.43592593e-02
 -7.44074085e-02  1.34622222e-01  7.59740718e-02 -6.15925897e-03
  8.06296290e-03 -7.62000014e-02 -3.96407421e-02  7.94444364e-03
  1.23111088e-02  9.77407425e-03  1.91703703e-02  4.74888886e-02
  7.77444440e-02  5.55592594e-02 -5.87851841e-02 -1.74407423e-02
  4.11481482e-02 -1.82211110e-01 -1.24037042e-02 -1.62062961e-01
  1.39777785e-02  6.42481471e-02 -1.84851859e-02  6.20962968e-02
 -8.19703710e-02  8.79925927e-02 -5.68518532e-03 -5.87777770e-02
  3.73548147e-01  8.24444382e-03 -1.57888893e-02 -5.84370372e-02
 -5.09629632e-02  1.39740753e-02  1.07111114e-02 -3.40592580e-02
  3.76703702e-02 -8.81703725e-02  1.96896296e-01 -1.12948149e-01
  6.64074169e-03 -9.35925847e-03  7.70888895e-02 -1.24759260e-01
 -3.65518533e-02 -9.50814815e-02  2.31555560e-02 -1.07977776e-01
  5.07629629e-02 -5.08777770e-02 -1.43951850e-01  1.49111114e-02
  8.73185185e-02 -3.22629645e-02  1.11111105e-02 -9.80888880e-02
 -1.18162963e-01  8.11666677e-02 -3.70703696e-02  1.20407397e-02
 -2.31555534e-02 -1.70703703e-02  3.86296291e-02  7.61074066e-02
 -8.13592611e-02  3.80074072e-02 -1.25240740e-01 -6.54814781e-03
 -4.85184051e-04  7.96148126e-02 -4.70888872e-02  2.31159259e-01
 -7.50370381e-02 -4.87555537e-02 -5.01185173e-02 -9.00592599e-02
  1.67148147e-01  1.31696295e-01  6.79259223e-02 -9.35296304e-02
  3.00814813e-02 -1.33077778e-01  3.59518533e-02 -6.52111106e-02
 -1.22518519e-02  7.29296310e-02 -1.44370374e-02  1.05114815e-01
 -4.69185195e-02 -1.08111111e-01  6.49296296e-02 -4.75851849e-02
  2.98888899e-02 -5.50814809e-02  2.89851839e-02 -3.01444419e-02
 -8.91222231e-02  2.90666665e-02  5.48814809e-02 -1.04877778e-01
 -3.27592604e-02 -1.01065927e+00  2.21962969e-02 -7.13444460e-02
  1.04955557e-01 -5.04111115e-02 -1.31037044e-02  2.73333355e-03
 -9.69259228e-03 -1.47525926e-01  7.71740759e-02 -7.32740716e-02
  3.72148150e-02 -1.09751853e-01  4.71592595e-02 -6.86925906e-02
 -4.20037035e-01 -1.34140739e-01 -8.77777813e-03 -3.69074080e-02
 -4.39648150e-01  1.11533334e-01  1.90722222e-01  1.31518525e-02
  2.60000013e-02 -5.02259259e-02  9.82037015e-02 -2.98799998e-01
 -4.60222203e-02 -2.65211113e-01 -1.08459258e-01  3.75222203e-02
 -9.93148138e-02 -1.12296294e-01  3.07777828e-03 -4.69077781e-01
 -1.53351853e-01  6.57740750e-02  9.97666667e-02  7.74037039e-02
 -1.08059258e-01  8.97111113e-02  4.16222217e-02 -2.75185188e-02
  3.55629637e-02 -2.84629630e-02 -1.85185184e-02  1.00777778e-01
 -2.57037049e-02  4.97370373e-02  2.88592624e-02 -6.18444452e-02
 -2.27444435e-02 -2.75925928e-02 -5.94148149e-02  9.93148153e-02
  1.26107406e-01  1.14514814e-01 -1.65185177e-02 -9.02555566e-02
 -1.42518526e-02  7.43111127e-02 -4.99222231e-02 -1.10814814e-02
  1.36892590e-01  7.62259254e-02 -3.92481466e-02  2.09074085e-02
  3.04148140e-02 -1.46166668e-01 -3.52074075e-02  5.65074090e-02
  5.42851857e-02  1.75666661e-02 -1.48625928e-01  1.14666673e-02
 -1.73148163e-02  8.63407399e-02 -5.94111120e-02 -1.72296304e-02
 -7.37777806e-03  3.96777776e-02  5.61666667e-02 -9.50296285e-02]"
