cluster-0000-0000,お土産,お土産屋,おみやげ,お土産屋さん
cluster-0000-0001,売店,ショップ,店員,店内,店,本店,出店,お店,洋服屋,本屋,店舗
cluster-0000-0002-0000,商品,新商品
cluster-0000-0002-0001,限定商品
cluster-0000-0002-0002,雑貨
cluster-0000-0003,ショッピングモール,買い物,ショッピング
cluster-0000-0004,ファッション,おしゃれな店,おしゃれ
cluster-0001,マルセイバターサンド,バターサンド,じゃがバター
cluster-0002,ラベンダーソフトクリーム,ソフトクリーム,クリーム
cluster-0003,お菓子,スイーツ,お菓子作り体験,チョコレート
cluster-0004-0000,ケーキ,パンケーキ
cluster-0004-0001,パフェ
cluster-0004-0002,サクサクパイ
cluster-0005,コーヒー,カフェ
cluster-0006,喫茶,お茶
cluster-0007-0000-0000-0000-0000,お酒
cluster-0007-0000-0000-0000-0001,寿司
cluster-0007-0001-0000-0000-0000,ジュース
cluster-0007-0001-0000-0000-0001,チーズ
cluster-0007-0001-0001,アップルワイン
cluster-0008,美味しい,美味しいもの,グルメ
cluster-0009-0000-0000,とうきび
cluster-0009-0000-0001,海産物
cluster-0010-0000,ニッカウイスキー,ニッカウイスキー余市工場,ウイスキー,ウイスキー蒸留所見学,ウイスキーの試飲,蒸留所
cluster-0010-0001,有料試飲,無料試飲コーナー,試飲
cluster-0010-0002-0000,無料,無料コーヒーサービス
cluster-0010-0002-0001,無料シャトルバス
cluster-0011-0000,船舶,ボート,スワンボート,船,遊覧船
cluster-0011-0001-0000,湖,湖畔
cluster-0011-0001-0001,湖面
cluster-0011-0001-0002-0000-0000,青い湖
cluster-0011-0001-0002-0000-0001,屈斜路湖
cluster-0011-0002-0000,広大,広さ
cluster-0011-0002-0001,敷地
cluster-0011-0003,島,中島
cluster-0011-0004-0000-0000-0000,池
cluster-0011-0004-0000-0000-0001,川
cluster-0011-0005-0000-0000-0000,道
cluster-0011-0005-0000-0000-0001,海
cluster-0012-0000-0000,摩周ブルー,ブルー
cluster-0012-0000-0001,青,色,青色,水の色
cluster-0012-0001-0000,木々,ツリー,木
cluster-0012-0001-0001,新緑,紅葉,緑
cluster-0013-0000,ラベンダー畑,ラベンダー,ライラック
cluster-0013-0001-0000-0000-0000,メロン
cluster-0013-0001-0000-0000-0001,レーズン
cluster-0013-0001-0001,リス
cluster-0014-0000-0000-0000-0000,他の花
cluster-0014-0000-0000-0000-0001,バラ
cluster-0014-0001,桜,お花見
cluster-0014-0002,花,花火
cluster-0015,花畑,六花亭,庭園,花壇,庭
cluster-0016,夜景,昼間の景色,雪景色,夕方の景色
cluster-0017,早朝,夕方,夕暮れ,夕方から夜
cluster-0018-0000,自然環境,自然の景観,自然
cluster-0018-0001,景色,眺め,眺望,外観,周りの景色,景観
cluster-0019-0000,雪像,雪
cluster-0019-0001,冬,夏
cluster-0019-0002-0000-0000-0000,夜
cluster-0019-0002-0000-0000-0001,雨
cluster-0020-0000-0000-0000-0000,晴れた日
cluster-0020-0000-0000-0000-0001,曇り
cluster-0020-0001,天気,天候,風
cluster-0021,シーズン,季節
cluster-0022,防寒,寒さ
