cluster-0000-0000,寺院,寺院観光,寺院の建物,寺院建築,大きな寺院
cluster-0000-0001,知恩院,知恩寺
cluster-0000-0002-0000,蓮華王院,桂昌院
cluster-0000-0002-0001,宝泉院
cluster-0000-0002-0002,随心院
cluster-0000-0003-0000,建礼門院,門跡寺院
cluster-0000-0003-0001,勝林院・勝林寺
cluster-0000-0004-0000,三千院,三宝院
cluster-0000-0004-0001-0000-0000-0000-0000,往生極楽院
cluster-0000-0004-0001-0000-0000-0000-0001,大仙院
cluster-0000-0004-0001-0001,寂光院
cluster-0001,念仏寺,南禅寺
cluster-0002,西本願寺,本願寺
cluster-0003,東寺,東本願寺
cluster-0004-0000,清水寺,相国寺,高台寺,天龍寺,浄瑠璃寺,高山寺,慈照寺,神護寺
cluster-0004-0001,お寺,あじさい寺,成相寺,寺,苔寺
cluster-0005-0000,壬生塚,壬生寺
cluster-0005-0001,龍安寺,龍安寺の庭園
cluster-0005-0002,鞍馬寺,鞍馬の火祭り
cluster-0006,銀閣寺,銀閣
cluster-0007,金閣寺,金閣
cluster-0008,五重塔,仏塔,多宝塔,仏堂,三重塔,文殊塔
cluster-0009-0000,本殿,殿,御殿,社殿,宸殿,権殿
cluster-0009-0001,奥宮,奥の院
cluster-0009-0002,宮殿,宮内庁,宮
cluster-0009-0003-0000,御苑,神苑
cluster-0009-0003-0001-0000-0000,御土居
cluster-0009-0003-0001-0000-0001,高桐院
cluster-0009-0004,御神体,御神木
cluster-0009-0005,平安神宮,天満宮,神宮
cluster-0009-0006-0000,御所,御室御所,京都御所,嵯峨御所
cluster-0009-0006-0001,烏丸御池,烏丸線駅
cluster-0009-0006-0002-0000-0000,本丸
cluster-0009-0006-0002-0000-0001,二の丸御殿
cluster-0010-0000,平等院,平等院鳳凰堂
cluster-0010-0001-0000-0000-0000,一保堂
cluster-0010-0001-0000-0000-0001,鳳凰堂
cluster-0011,堂内,堂
cluster-0012,本堂,お堂
cluster-0013-0000,法堂の雲龍図,法堂の天井画
cluster-0013-0001,書院前庭,書院
cluster-0013-0002,法堂,講堂
cluster-0013-0003,三十三間堂,五大堂
cluster-0014-0000-0000,鈴虫寺,鈴虫
cluster-0014-0000-0001,諸行無常の鐘,風鈴,鐘楼,鐘
cluster-0014-0001,山門,蛤御門,門,唐門,楼門,勅使門前
cluster-0014-0002,御朱印,御朱印帳
cluster-0014-0003,朱色,朱色の門
cluster-0014-0004-0000,仁王,仁王門
cluster-0014-0004-0001-0000-0000-0000-0000,十二神将
cluster-0014-0004-0001-0000-0000-0000-0001,四天王
cluster-0014-0004-0001-0001,魔王尊
cluster-0015-0000,僧侶,お坊さんの説明,お坊さん,お坊さんの話,和尚の説法
cluster-0015-0001,臨済宗,真言宗,浄土真宗大谷派,天台宗,浄土宗,浄土真宗本願寺派
cluster-0015-0002,法然院,法然上人,法然
cluster-0015-0003-0000,禅,禅寺
cluster-0015-0003-0001,友禅染
cluster-0016,弁天山展望台,弁財天,弁天,毘沙門天
cluster-0017-0000-0000,千灯供養
cluster-0017-0000-0001,雲中供養菩薩像
cluster-0018-0000-0000,吉祥天
cluster-0018-0000-0001,善財童子像
cluster-0019,嵯峨天皇,嵯峨
cluster-0020,義経,源義経
cluster-0021,薬師,薬師如来
cluster-0022,弥勒菩薩,文殊菩薩
cluster-0023,五大虚空蔵菩薩
cluster-0024-0000-0000-0000-0000,如来
cluster-0024-0000-0000-0000-0001,和気清麻呂
cluster-0024-0001-0000-0000-0000,千利休
cluster-0024-0001-0000-0000-0001,一休さん
cluster-0024-0002-0000-0000-0000,聖徳太子
cluster-0024-0002-0000-0000-0001,明恵上人
cluster-0024-0002-0001,菅原道真
cluster-0025-0000,千体千手観音,千手観音像,千手観音,観音様,観音,不空羂索観音,馬頭観音
cluster-0025-0001,阿弥陀仏,阿弥陀,阿弥陀如来,見返り仏像,見返り阿弥陀,九体阿弥陀如来像
cluster-0025-0002-0000,アフロ地蔵,アフロ仏像
cluster-0025-0002-0001,無縁仏,仏教関連,仏教
cluster-0025-0002-0002-0000,仏像,菩薩像
cluster-0025-0002-0002-0001,仏教美術
cluster-0025-0002-0002-0002,本尊
cluster-0025-0002-0002-0003,宗教彫刻
cluster-0025-0002-0002-0004,紫式部の像
cluster-0026,地蔵,お地蔵さん,わらべ地蔵,お地蔵,地蔵菩薩,幸福地蔵,お地蔵様
cluster-0027,足腰,足腰の神社,足腰の神様,足腰の守護神,足腰守り
cluster-0028,縁結び,縁結びの神様,縁日,悪縁切り,縁切り縁結び碑,縁切りの石,縁切り神社,良縁,縁切り,縁側,縁,縁結び・恋愛スポット
cluster-0029,風神雷神像,神様,学問の神様,天神,天神さん,風神雷神,風神雷神図,風神雷神図屏風,お酒の神様,水の神,天神様
cluster-0030,合格祈願,祈祷,祈願,子宝祈願,安産祈願,願い事
cluster-0031-0000,おみくじ,うさぎおみくじ,扇子おみくじ
cluster-0031-0001-0000-0000-0000,陰陽師
cluster-0031-0001-0000-0000-0001,占い
cluster-0032,お札,十円玉,お札とお守り
cluster-0033,お守り,御守り
cluster-0034,厄除けの桃,厄除け
cluster-0035,幻想的,幻想的な,神秘,不思議,神秘的
cluster-0036,神職者,神職
cluster-0037,住職の話,住職
cluster-0038-0000,神聖さ,神聖な場所,神聖
cluster-0038-0001-0000-0000-0000,神道
cluster-0038-0001-0000-0000-0001,神話
cluster-0038-0001-0001,信仰
cluster-0039-0000,夜間拝観,夜間特別拝観
cluster-0039-0001,拝観時間,拝観料
cluster-0039-0002,拝観,拝観・参拝,参観・拝観,特別拝観・参拝・拝願
cluster-0039-0003,参拝,参拝者,お参り,初詣,参拝・拝観
cluster-0039-0004-0000,神社,神社仏閣,神社・神宮,神社・宮殿,神社建築,寺社仏閣,最古の神社建築,神社の構造,神社施設,神社・寺院の建物
cluster-0039-0004-0001,伏見稲荷,伏見稲荷大社,稲荷山,お稲荷さん,稲荷神社
cluster-0039-0004-0002-0000,伊勢神宮,元伊勢籠神社
cluster-0039-0004-0002-0001,宇治上神社,宇佐神宮
cluster-0039-0004-0002-0002-0000,河合神社,真名井神社,静かな神社,野宮神社,芸能神社
cluster-0039-0004-0002-0002-0001,上賀茂神社,由岐神社
cluster-0039-0004-0002-0002-0002,籠神社,下鴨神社
cluster-0040,ワンカップ,カップ作り,茶碗,湯呑み,湯飲み,お茶碗
cluster-0041,丼物,丼もの
cluster-0042,お皿,皿
cluster-0043-0000-0000,パン,パン屋
cluster-0043-0000-0001,餅屋,走井餅,焼き餅
cluster-0043-0001,みたらし団子,みたらし団子作り体験
cluster-0043-0002,知恵の輪,知恵の餅
cluster-0044,お菓子,菓子店,和菓子,季節の和菓子,糖芸菓子展示,生菓子,和菓子資料館,和菓子店,和菓子作り,菓子
cluster-0045-0000-0000-0000-0000,フルーツ
cluster-0045-0000-0000-0000-0001,ジュース
cluster-0045-0000-0001,スムージー
cluster-0045-0001-0000-0000-0000,レモン
cluster-0045-0001-0000-0000-0001,シャンパン
cluster-0046-0000-0000-0000-0000,あんこ
cluster-0046-0000-0000-0000-0001,餡
cluster-0046-0001-0000-0000-0000,小豆
cluster-0046-0001-0000-0000-0001,桃
cluster-0047-0000,イチゴ,苺スイーツ,苺デザート,イチゴデザート,いちご大福
cluster-0047-0001-0000-0000-0000,バスクチーズケーキ
cluster-0047-0001-0000-0000-0001,ケーキ
cluster-0047-0001-0001-0000-0000,ガレット
cluster-0047-0001-0001-0000-0001,パティシエ
cluster-0047-0002,ソフトクリーム,スイーツプレート,デザート,アイスクリーム,スイーツ
cluster-0048-0000,食事場所,食事,食べ物,飲食店,飲食,飲食施設,食事処,飲食場所,ご飯屋,ご飯,食べ歩き,食事施設,食事スペース
cluster-0048-0001-0000,レストラン,グルメ・レストラン
cluster-0048-0001-0001,メニュー,メイン料理,メイン
cluster-0048-0002,ランチ,お弁当,ランチョンマット,弁当,ランチバイキング
cluster-0048-0003-0000,ビュッフェ,ビュッフェ形式
cluster-0048-0003-0001-0000,ビアガーデン,バーベキュー
cluster-0048-0003-0001-0001,ピクニック
cluster-0049-0000,新鮮な海産物,新鮮な魚,新鮮,新鮮な魚介類
cluster-0049-0001-0000,貝殻拾い,貝類
cluster-0049-0001-0001,かっぱえびせん,えびせん
cluster-0049-0001-0002-0000,カニのオブジェクト,カニ
cluster-0049-0001-0002-0001-0000-0000-0000,ズワイガニ
cluster-0049-0001-0002-0001-0000-0000-0001,エビ
cluster-0049-0002,海産物,海鮮,海の幸
cluster-0049-0003-0000-0000-0000,海軍
cluster-0049-0003-0000-0000-0001,海軍カレー
cluster-0049-0004-0000,魚,お魚
cluster-0049-0004-0001,魚料理,魚介類
cluster-0049-0004-0002,魚のセラピー
cluster-0049-0004-0003-0000-0000-0000-0000,オオサンショウウオ
cluster-0049-0004-0003-0000-0000-0000-0001,牡蠣
cluster-0049-0004-0003-0001-0000-0000-0000,イカ
cluster-0049-0004-0003-0001-0000-0000-0001,鯉
cluster-0050,ステーキ,お肉,ローストビーフ,肉類
cluster-0051,料理,京料理,調理
cluster-0052,牛肉料理,肉料理,鍋料理,豚肉料理
cluster-0053,サーモン料理,ホタテ料理,タケノコ料理
