cluster-0000,お土産,お土産屋,お土産店
cluster-0001,雑貨,雑貨屋,雑貨とアクセサリー
cluster-0002,地下の食品売り場,地下,地下の食料品売り場
cluster-0003-0000,大丸,百貨店,デパ地下,デパート,阪急百貨店,阪神百貨店
cluster-0003-0001,買い物,ショッピングモール,商業施設,ショッピング,アーケード商店街,商店街,心斎橋商店街
cluster-0004,店員,店内,店,服屋
cluster-0005,お店,ショップ,店舗数,店舗
cluster-0006-0000,売店,売り場,食料品売り場
cluster-0006-0001-0000-0000-0000,ドラッグストア
cluster-0006-0001-0000-0000-0001,コンビニ
cluster-0006-0001-0001,パン屋
cluster-0007-0000,ブランド,ファッション,オシャレなお店,ファッションブランド,ファッション店舗
cluster-0007-0001,割引,お買い得
cluster-0007-0002-0000-0000-0000,セール
cluster-0007-0002-0000-0000-0001,アウトレット
cluster-0007-0003-0000,安い店,有名店
cluster-0007-0003-0001-0000-0000,無印良品
cluster-0007-0003-0001-0000-0001,免税店
cluster-0007-0003-0002,庶民的
cluster-0008,インスタントラーメン記念館,ラーメンの歴史,インスタントラーメンの歴史,限定カップ麺,カップヌードル,ラーメン,インスタントラーメン,オリジナルのカップヌードル,オリジナルラーメン,カップヌードル作り,マイカップヌードル,マイカップヌードル作り
cluster-0009,手作り体験,体験,生で体験する,ラーメン作り体験,チキンラーメン手作り体験
cluster-0010-0000-0000,たこ焼き,イカ焼き
cluster-0010-0000-0001,お好み焼き
cluster-0010-0000-0002,かに道楽
cluster-0010-0001-0000-0000-0000,バーベキュー
cluster-0010-0001-0000-0000-0001,ピクニック
cluster-0010-0002-0000-0000-0000,串カツ
cluster-0010-0002-0000-0000-0001,串揚げ
cluster-0010-0003-0000-0000-0000,トッピング
cluster-0010-0003-0000-0000-0001,ポップコーン
cluster-0011-0000,スイーツ,お菓子
cluster-0011-0001,ケーキ
cluster-0011-0002,チーズタルト
cluster-0012,味,美味しい,美味しいもの
cluster-0013-0000,飲食店,飲食,飲食施設
cluster-0013-0001,食べる,食べ歩き
cluster-0013-0002,飲み物,食べ物,食品
cluster-0013-0003,食事,ご飯,食事場所
cluster-0013-0004-0000,平日ランチ,弁当,お弁当を食べる場所,ランチ,お惣菜
cluster-0013-0004-0001-0000,平日,平日の午前中
cluster-0013-0004-0001-0001-0000-0000-0000,時間
cluster-0013-0004-0001-0001-0000-0000-0001,待ち時間
cluster-0014-0000,お城,城内,城
cluster-0014-0001,街並み,町並み,通り,下町,街,町
cluster-0015-0000,入場,入場料
cluster-0015-0001,入園,入園料
cluster-0015-0002-0000,公園内,園内
cluster-0015-0002-0001,施設内,館内
cluster-0015-0002-0002-0000-0000,大阪城公園駅周辺
cluster-0015-0002-0002-0000-0001,周辺
cluster-0016-0000,カフェ,ハードロックカフェ
cluster-0016-0001,レストラン,ホテル
cluster-0016-0002-0000-0000-0000,居酒屋
cluster-0016-0002-0000-0000-0001,ラウンジ
cluster-0017-0000-0000-0000-0000,トイレ
cluster-0017-0000-0000-0000-0001,水槽
cluster-0017-0000-0001,足湯
cluster-0017-0001-0000-0000-0000,空中庭園
cluster-0017-0001-0000-0000-0001,屋上
cluster-0017-0001-0001,芝生
cluster-0017-0001-0002,フロア
cluster-0017-0001-0003,北館
cluster-0018-0000,施設,建物,設備
cluster-0018-0001-0000-0000-0000,駅
cluster-0018-0001-0000-0000-0001,階段
cluster-0018-0002-0000-0000-0000,駐車場
cluster-0018-0002-0000-0000-0001,敷地
cluster-0018-0002-0001,立地
cluster-0019,パーク,遊具,遊び場,庭園,公園
cluster-0020-0000-0000,空港,空港内,伊丹空港,関西空港
cluster-0020-0000-0001,外国人,観光客,外国人観光客
cluster-0020-0000-0002-0000,年間パス,エクスプレスパス,年パス
cluster-0020-0000-0002-0001-0000-0000-0000,出入国手続き
cluster-0020-0000-0002-0001-0000-0000-0001,KIXカード
cluster-0020-0001,シティウォーク,散歩コース,散歩,ウォーキング
cluster-0020-0002-0000,ジョギング,ランニング
cluster-0020-0002-0001,アスレチック
cluster-0020-0003-0000,ジェットコースター,ジェットスター
cluster-0020-0003-0001-0000,飛行機,フライト
cluster-0020-0003-0001-0001,フライングダイナソー
cluster-0020-0004-0000-0000,バス,シャトルバス
cluster-0020-0004-0000-0001-0000-0000-0000,ボート
cluster-0020-0004-0000-0001-0000-0000-0001,靴
cluster-0020-0004-0000-0002,ベビーカー
cluster-0020-0004-0001-0000,エレベーター,エスカレーター
cluster-0020-0004-0001-0001-0000,乗り物,電車
cluster-0020-0004-0001-0001-0001,観覧車
cluster-0020-0004-0001-0001-0002,モノレール
cluster-0021,レゴ,レゴ教室
cluster-0022,レゴランド,レゴディスカバリーセンター,レゴテーマパーク
cluster-0023-0000,阪急電車,梅田,梅田スカイビル,阪急梅田,阪急,阪神電車
cluster-0023-0001-0000-0000,太陽の塔,タワー
cluster-0023-0001-0000-0001,天守閣,通天閣,スカイビル
cluster-0023-0001-0001,パナソニックショールーム,ショールーム
cluster-0023-0001-0002-0000-0000,阿倍野ハルカス
cluster-0023-0001-0002-0000-0001,あべのハルカス展望台
cluster-0023-0001-0003-0000-0000,天保山マーケットプレイス
cluster-0023-0001-0003-0000-0001,フリーマーケット
