cluster-0000-0000,城址公園,城址
cluster-0000-0001,お城,城跡
cluster-0000-0002,城,城下町,城内,城郭
cluster-0000-0003,烏城
cluster-0001-0000,都市エリア,都市
cluster-0001-0001,街,通り,街エリア,街中
cluster-0002-0000-0000,田舎の町,田舎,田舎町
cluster-0002-0000-0001,ビレッジ,ヴィレッジ
cluster-0002-0000-0002,村落,漁村
cluster-0002-0001-0000,美観地区,倉敷美観地区
cluster-0002-0001-0001,重要伝統的建造物群保存地区,重要文化財,町並み保存地区
cluster-0002-0002,町並み,古い町並み,街並み,レトロな町並み,弁柄色の街並み,町の雰囲気
cluster-0002-0003,出雲街道宿場町,宿場町
cluster-0002-0004,町,町家建築,町家,本町
cluster-0003,農園主,大地主
cluster-0004,オーナー,主人
cluster-0005-0000,豪商の屋敷,豪商の邸宅
cluster-0005-0001,邸宅,豪邸
cluster-0005-0002,屋敷,武家屋敷,お屋敷
cluster-0005-0003-0000-0000-0000-0000-0000,大橋家
cluster-0005-0003-0000-0000-0000-0000-0001,山陽ハウス
cluster-0005-0003-0000-0001-0000-0000-0000,古民家
cluster-0005-0003-0000-0001-0000-0000-0001,旧片山家
cluster-0005-0003-0000-0001-0001,生家
cluster-0005-0003-0001,ハウス,ハウス内
cluster-0005-0003-0002,住宅展示場,住宅,住宅地
cluster-0006,敷地,園内,館内,室内,施設内,園内施設,インドア,境内,屋内,敷地内
cluster-0007-0000,館長,館,本館
cluster-0007-0001-0000,入館情報,館内着
cluster-0007-0001-0001,分館
cluster-0008,脱衣所,着替え場所,更衣室
cluster-0009,部屋,猫の部屋,キッズルーム
cluster-0010-0000,宿泊施設,レストラン,ホテル,宿,宿泊,宿泊施設と飲食施設,旅館,レストハウス
cluster-0010-0001,建物・施設,施設,県立施設,複合施設,馬関連施設,農業施設
cluster-0010-0002,駐車場,駐車施設,駐車料金
cluster-0010-0003,倉庫,扇形車庫,車庫
cluster-0011,イギリス庭園,庭,中庭,庭園,お庭,日本庭園,ガーデン
cluster-0012,ファーム,牧場
cluster-0013,公園,農園,田園,園
cluster-0014,藤公園,藤棚,藤
cluster-0015,ガーデニング用品,園芸・ガーデニング
cluster-0016,ビニール,ビニールハウス
cluster-0017-0000-0000,芝生,芝生広場,草地,芝生エリア,草間台
cluster-0017-0000-0001,丘陵地形,丘陵地,丘陵地帯
cluster-0017-0000-0002,湿地,湿地帯,湿原
cluster-0017-0001-0000,緑,自然の緑,新緑,緑豊か,緑道
cluster-0017-0001-0001-0000,自然,自然史,自然環境,自然要素
cluster-0017-0001-0001-0001-0000,周辺環境,環境
cluster-0017-0001-0001-0001-0001,生態と進化
cluster-0018-0000-0000,石畳,舗装
cluster-0018-0000-0001-0000,階段,石段
cluster-0018-0000-0001-0001-0000-0000-0000,上層階
cluster-0018-0000-0001-0001-0000-0000-0001,勾配
cluster-0018-0001,坂道,坂,還暦坂
cluster-0018-0002-0000-0000-0000,すべり台
cluster-0018-0002-0000-0000-0001,転車台
cluster-0018-0003-0000,芝滑り,スケート
cluster-0018-0003-0001,スリル
cluster-0019,席,座敷,座席,観覧席
cluster-0020-0000,窓際,縁側
cluster-0020-0001,そば
cluster-0021,テラス,テラス席
cluster-0022-0000-0000,パビリオン
cluster-0022-0000-0001,磐座
cluster-0023-0000-0000,広場
cluster-0023-0000-0001,屋外スペース
cluster-0024-0000-0000-0000-0000,小屋
cluster-0024-0000-0000-0000-0001,コテージ
cluster-0024-0001,屋根,赤い屋根
cluster-0024-0002-0000,塔,櫓
cluster-0024-0002-0001,屋台
cluster-0025-0000,日陰,薄暗い場所
cluster-0025-0001-0000-0000-0000,紫庵
cluster-0025-0001-0000-0000-0001,奥の院
cluster-0026-0000,本堂,講堂
cluster-0026-0001-0000-0000-0000,路地裏
cluster-0026-0001-0000-0000-0001,回廊
cluster-0027-0000,伝統的な建築,建築様式,昔の建築,木造建築,木造校舎
cluster-0027-0001,建物,建築物,円筒形の建物,構造,建築,遺構
cluster-0028-0000-0000-0000-0000,鐘楼門
cluster-0028-0000-0000-0000-0001,鐘
cluster-0028-0001,門,竜宮門,朱色の門,赤い門,長屋門,山門
cluster-0029,白壁,白壁の街並み,白壁の建物
