aspect,aspect_vecs,cluster_main_vecs
朝食,"[-0.21   -0.0232  0.4779 -0.0108  0.4193 -0.0207 -0.1159 -0.0921  0.2798
  0.2413  0.1383 -0.0021 -0.401   0.008  -0.2545 -0.021  -0.2933 -0.316
 -0.2948 -0.2236 -0.0852  0.0507 -0.1748  0.082  -0.1519  0.113  -0.0229
  0.0457  0.2761 -0.0832  0.1317  0.2938 -0.0547  0.0502 -0.1262  0.1327
  0.0285  0.15   -0.1671 -0.2575 -0.2245  0.0467  0.2702  0.0119  0.1966
 -0.2497 -0.0837  0.1362 -0.2106  0.2088  0.0238  0.0183 -0.0722  0.0261
  0.3252  0.0139  0.0738 -0.2147 -0.0636  0.0567 -0.1539 -0.0031  0.0067
  0.129  -0.062   0.2078 -0.185   0.3181 -0.2001  0.2364  0.096  -0.1239
  0.3159 -0.4142 -0.1372 -0.3727 -0.1067  0.0467 -0.0551 -0.058   0.3205
  0.087   0.0723  0.1869  0.021   0.1137 -0.0551 -0.2471 -0.1829  0.054
  0.052   0.1568 -0.1473 -0.1508  0.3378 -0.2766 -0.264   0.1022 -0.2081
 -0.0885 -0.2318  0.3161  0.111   0.3291  0.1441  0.4537 -0.0342  0.142
  0.1681 -0.0628 -0.1929 -0.2059  0.1515  0.1482 -0.2216  0.1342 -0.0236
  0.254   0.3203  0.176  -0.0545 -0.1427 -0.0876  0.0357  0.0603  0.0685
 -0.2974 -0.2587 -0.022  -0.0167  0.2396  0.025  -0.076  -0.2109  0.3351
  0.6166  0.2089 -0.041  -0.193  -0.1238  0.083   0.4223  0.1291 -0.3676
  0.003   0.0053 -0.2895 -0.0768 -0.003  -0.1167 -0.1806  0.2808  0.1535
 -0.0747  0.3286  0.0929  0.2791  0.0756 -0.2731  0.2077 -0.0882 -0.1123
 -0.3006 -0.3566  0.1905 -0.0678 -0.3253  0.1311  0.0293 -0.2605 -0.0585
  0.1395 -0.0161 -0.195  -0.3769  0.2921 -0.0936  0.1075  0.0194  0.1815
  0.0932 -0.3262 -0.0746  0.2431  0.0091 -0.0747 -0.2272  0.1363  0.0592
 -0.0064  0.0298 -0.1108  0.3998  0.1683  0.0297 -0.2606 -0.0787 -0.3039
 -0.0613 -0.1003  0.2013  0.0504 -0.0529  0.0946  0.1795 -0.0965  0.1437
  0.0536 -0.0932 -0.151   0.0962 -0.1462 -0.0283 -0.129  -0.0468 -0.2598
  0.1135 -0.8707 -0.1061 -0.3245 -0.1113 -0.2747 -0.3737 -0.1152  0.0665
 -0.1853 -0.1147 -0.3356  0.0072 -0.2891 -0.0974  0.0537 -0.5195 -0.2413
 -0.1455 -0.3322 -0.3328  0.0966  0.2992  0.1508 -0.1237 -0.0702  0.4653
 -0.2166  0.078  -0.2054 -0.1203 -0.1652 -0.0936 -0.0192 -0.0073 -0.43
 -0.0046  0.1457  0.2309 -0.0281 -0.0778 -0.1061 -0.0677  0.2333 -0.0471
 -0.1865 -0.1733 -0.2169 -0.0769  0.1656  0.1824 -0.1966 -0.079  -0.2853
 -0.2344 -0.1861 -0.2603  0.5271  0.3224 -0.2771  0.2389  0.1899 -0.6068
  0.1114  0.0823 -0.3087 -0.1704 -0.0852 -0.0034 -0.0579 -0.1542  0.4723
  0.1951 -0.0964  0.2527 -0.155  -0.0796  0.1304 -0.2649 -0.394  -0.2266
  0.1522  0.0543 -0.3092]","[-3.17449994e-01  3.67500121e-03  4.33349997e-01  7.74750011e-02
  2.11324999e-01 -1.62499957e-03 -1.08550001e-01  1.48750003e-02
  9.07250005e-02  1.42500009e-02  1.41900001e-01  7.74000004e-02
 -2.65750000e-01 -1.23249984e-02 -3.72999992e-01  1.45199994e-01
 -2.51274999e-01 -2.10075006e-01 -2.43625004e-01 -6.60750014e-02
 -7.07499962e-03  1.84500044e-02 -1.18599999e-01  8.91500004e-02
  4.26750043e-02  5.51500004e-02 -1.24100000e-01  1.50249999e-01
  3.06349996e-01 -1.77499996e-02  3.10499966e-02 -4.68750019e-02
  3.92499999e-02  3.52499913e-03 -1.09675002e-01  5.26750013e-02
 -4.54750000e-02  4.20500031e-02 -3.68999992e-02 -2.49375001e-01
 -2.41999961e-02  4.33000010e-02  7.07000033e-02 -9.91999991e-02
  1.39850000e-01 -5.65999984e-02 -1.57500003e-02  5.78999993e-02
 -1.77800003e-01  8.65499983e-02 -8.39000000e-02 -1.15500004e-02
 -1.41275005e-01 -2.31800000e-01  1.08449999e-01 -4.42249991e-02
  5.69249988e-02 -2.49575000e-01 -1.32250018e-02  5.12749981e-02
 -1.28999986e-02  7.52999969e-02  2.30075003e-01  5.20749949e-02
  4.88999980e-02  1.27374998e-01 -9.97250006e-02  2.03750021e-02
  9.26499963e-02 -8.50750022e-02  7.23499991e-02  4.90749963e-02
  1.54325001e-01 -1.60200004e-01 -1.39475000e-01 -3.20500005e-02
 -5.33249974e-02 -7.87499920e-03  7.35499989e-02 -2.10499999e-02
  1.87549997e-01  1.95900002e-01 -1.31749995e-02 -1.14649998e-01
  2.48075001e-01  9.62500004e-02 -1.16249993e-02 -1.10374997e-01
 -7.11999983e-02  1.03925000e-01  6.21499997e-02  1.39350003e-01
 -2.64000009e-02  6.13249997e-02  8.83749975e-02 -2.16375003e-01
 -2.68150002e-01  9.92500200e-03 -5.70250005e-02 -1.20000055e-03
 -1.59750022e-02  2.86475005e-01  4.64750011e-02  1.69475008e-01
  1.67174995e-01  4.81824998e-01  2.82749990e-02  6.34500021e-02
  7.94750042e-02  3.14999931e-03 -7.26999994e-02 -2.80250013e-02
  1.20450000e-01  7.54000014e-02  6.71750009e-02  1.09275000e-01
 -1.89999957e-03  2.21025001e-01  1.96225001e-01 -7.19999894e-03
 -7.28250016e-02 -2.27974996e-01  8.08750023e-02 -1.33925002e-01
 -4.35499973e-02 -2.50750013e-02 -1.77375000e-01 -6.25500043e-02
  7.60749995e-02 -9.43499990e-02  4.72500012e-02 -6.44750004e-02
  1.54749997e-02 -1.89999957e-02  1.71499997e-01  3.00874993e-01
  1.40650004e-01  4.91249984e-02  3.62499524e-03 -3.06000005e-02
 -1.44275004e-01  1.35950004e-01  3.71000003e-02 -1.50249982e-02
  9.14249992e-02 -2.21475003e-01 -2.43199995e-01  3.34000029e-02
 -1.19249997e-02 -2.01749969e-02 -1.07574999e-01  1.06000006e-02
  2.13000043e-02 -7.06500001e-02  2.28049994e-01 -4.20749998e-02
  2.56024998e-01  1.05074998e-01 -3.78999971e-02 -7.81500032e-02
 -5.80000030e-02 -4.65499989e-02 -1.81074995e-01  6.05000071e-02
  1.19650002e-01  2.55999994e-02 -4.28350002e-01  1.55874997e-01
 -7.45250015e-02 -1.06150005e-01  1.47399997e-01 -8.87499750e-03
 -1.13275002e-01 -5.47499973e-02 -2.38549993e-01  2.60450004e-01
 -1.46274995e-01  5.29499985e-02  1.80000067e-03  1.61225002e-01
  5.37250005e-02 -7.91250020e-02 -2.94675002e-01  2.26799995e-01
 -1.86249989e-02 -1.32750012e-02 -1.93500005e-02  2.37425003e-01
  6.03750022e-02  1.64500020e-02 -4.39249957e-02  6.10999977e-02
  1.62700001e-01  1.77925000e-01  1.34575001e-01 -8.36999994e-02
  5.12250010e-02 -5.94250020e-02 -3.28000057e-02  3.51000018e-02
  1.42074998e-01  2.09000000e-01 -5.34500014e-02  1.32225008e-01
 -2.86250017e-02 -3.01250014e-02 -9.24999360e-04 -1.44799998e-01
  8.71750019e-02 -5.96249960e-02  8.94999970e-02 -1.77999999e-01
 -2.22449999e-01 -1.85999993e-01  9.60750040e-02 -2.27899998e-01
  1.94425000e-01 -8.58275011e-01 -1.39825001e-01 -1.44250000e-01
 -1.45475003e-01 -1.83374999e-01  6.22000033e-02 -3.53999985e-02
  1.00375004e-01 -8.36249981e-02 -8.46499996e-02 -1.96774994e-01
  1.43049999e-01 -3.67499981e-02 -7.35500003e-02 -1.13500003e-02
 -4.05800007e-01 -1.45375004e-01 -3.13750021e-02 -1.45450000e-01
 -2.88449999e-01  4.18750001e-02  2.13599997e-01  2.48849997e-01
  3.35750021e-02 -1.36475006e-01  2.00599995e-01 -1.69125000e-01
  1.04375003e-01 -1.68775000e-01 -1.36274999e-01 -1.18499994e-02
 -4.82249996e-02 -2.07675002e-01 -1.11525002e-01 -4.24550004e-01
  1.58150005e-01  1.01475000e-01  1.10575002e-01  3.65000002e-02
 -8.40499988e-02 -1.56600002e-01 -1.75249998e-01  1.52149999e-01
 -4.33999989e-02 -9.56499986e-02  5.45750000e-02 -5.20500029e-02
 -3.40250009e-02  4.24750005e-02  6.06500003e-02 -1.83049997e-01
  9.15750004e-02 -1.39049998e-01  8.77499906e-03 -6.27000012e-02
  2.74997205e-04  2.41650008e-01  1.31000006e-02 -2.21850000e-01
  1.84925004e-01  8.59249998e-02 -3.00450004e-01 -7.56499972e-02
  4.24150003e-01 -5.25749978e-02 -9.88249984e-02 -2.20499998e-02
 -8.47500000e-02 -2.51000007e-02  9.30250026e-02  1.60724999e-01
  6.07999992e-02 -4.70999992e-02  1.85125001e-01 -9.78250019e-02
 -9.63000003e-02  1.37675001e-01 -3.23424995e-01 -1.39549999e-01
 -1.10400001e-01  1.17999999e-01 -1.93500044e-02 -1.17149998e-01]"
海魚,"[-3.99999321e-03  2.35799998e-01  4.82900023e-01  6.69499993e-01
 -2.21900016e-01  1.86799988e-01 -9.39998031e-03 -2.29499996e-01
 -6.63699985e-01  5.83899975e-01  2.65900016e-01  2.58499980e-01
 -1.17000006e-01 -4.22299981e-01 -6.25599980e-01 -1.68500006e-01
  1.99999660e-04 -3.18500012e-01 -6.59500003e-01 -4.63900000e-01
 -1.21000009e-02  5.99000007e-02 -4.49699998e-01  0.00000000e+00
  3.57199997e-01  4.20000032e-02 -2.54100025e-01 -2.77999938e-02
 -5.87300003e-01  2.08000004e-01 -4.43000048e-02 -1.14000000e-01
  4.67999950e-02 -4.56300020e-01 -4.16000038e-02 -7.49999285e-03
  3.94100010e-01 -6.91000000e-02  1.58999994e-01 -4.59100008e-01
  1.31700009e-01  4.94399995e-01  1.95799991e-01 -1.59700006e-01
  5.77000007e-02  6.93599999e-01 -3.30400020e-01  7.09000006e-02
  2.58399993e-01  6.01000041e-02 -2.84600019e-01 -4.45000008e-02
 -1.34499997e-01 -3.94000001e-02  3.92399997e-01 -1.21700004e-01
 -9.09000039e-02 -5.18299997e-01  4.22600001e-01 -2.74399996e-01
 -1.03900000e-01 -2.72000015e-01 -3.41600001e-01 -1.25100002e-01
  2.45999992e-02  1.33099988e-01  2.02800006e-01 -1.89799994e-01
 -3.22000012e-02  3.34700018e-01  2.67499983e-01  4.64699984e-01
 -2.22400010e-01  2.94600010e-01  2.83100009e-01 -4.36800003e-01
 -2.02600002e-01  1.95800006e-01  1.31399989e-01  1.90899998e-01
  3.30100000e-01  2.01000005e-01  3.37999985e-02  4.91499990e-01
 -2.55499989e-01 -7.60999918e-02  1.53600007e-01 -2.39299998e-01
  3.15000005e-02 -4.80300009e-01 -1.38499990e-01  5.47000021e-02
 -5.70000038e-02  1.91100001e-01  6.21999986e-02 -5.56900024e-01
 -4.75699991e-01 -3.76000032e-02 -3.80600005e-01 -1.67799994e-01
 -2.13200003e-01  5.52599967e-01 -3.04899991e-01 -3.45099986e-01
  4.25200015e-01  8.40700030e-01  6.32999986e-02  1.54399991e-01
  5.15999943e-02  1.33400008e-01 -2.39199996e-01  6.12999946e-02
  3.81999984e-02  2.66900003e-01  3.65099996e-01  8.11800003e-01
 -4.53700006e-01  5.37899971e-01 -1.29999965e-03 -2.63000000e-02
  4.50700015e-01 -4.10500020e-01  3.88599992e-01 -2.61000022e-02
 -1.90800011e-01  1.85800001e-01 -1.36299998e-01 -4.58000004e-02
 -5.62600017e-01  2.41999924e-02 -5.48000000e-02 -9.35000032e-02
  1.66299999e-01  1.86399996e-01 -2.76800007e-01 -1.34999976e-02
  5.16000018e-02  1.33399993e-01 -5.33900023e-01  3.47099990e-01
  6.90400004e-01 -3.68999988e-01 -1.74000002e-02 -8.93000066e-02
  3.07099998e-01 -2.73600012e-01  2.27000006e-02 -1.57299995e-01
  2.61000007e-01 -2.15999931e-02  5.01699984e-01  3.29599977e-01
  3.32800001e-01  9.88999903e-02  2.03000009e-02 -4.07899976e-01
 -4.00000066e-02  1.28600001e-01  1.79399997e-01 -1.04499996e-01
  7.60999992e-02 -1.68099999e-01 -3.58999968e-02 -1.34000003e-01
 -4.02899981e-01 -2.05599993e-01 -4.89999950e-02  2.84900010e-01
  2.04499990e-01  2.25299999e-01  3.28500003e-01 -2.97699988e-01
  1.75800011e-01  2.23999992e-01  4.85000014e-01 -8.70000049e-02
  1.07999995e-01  1.66799992e-01  8.67999941e-02  2.66400009e-01
  4.96699989e-01 -2.88900018e-01  6.08900011e-01 -4.01899993e-01
 -1.05399996e-01 -2.61999965e-02 -7.79999942e-02 -4.34300005e-01
  4.74500000e-01  3.70999947e-02 -1.36399999e-01 -1.46500006e-01
  1.49399996e-01 -2.99990177e-04  1.27700001e-01 -3.23199987e-01
  5.33000007e-02  1.84000004e-02  1.38499990e-01 -4.01300013e-01
  2.41799995e-01 -3.27499986e-01  8.99000019e-02  1.32999986e-01
 -3.66599977e-01 -8.68000016e-02  4.15999964e-02  2.44800001e-01
 -7.28000030e-02  6.25000000e-02  3.06299984e-01 -3.19999978e-02
 -2.91999996e-01  2.08000004e-01  5.47500014e-01  1.50599986e-01
 -4.60000001e-02 -1.54460001e+00  2.42799997e-01 -3.38299990e-01
  1.95500001e-01 -1.78499997e-01 -3.33800018e-01  3.93999964e-02
 -9.70999971e-02 -6.10599995e-01  3.17000002e-01  1.17999995e-02
  9.65999961e-02 -5.13399959e-01 -2.29100004e-01 -2.93300003e-01
 -6.04300022e-01 -2.27599993e-01 -1.81099996e-01  3.17000002e-01
 -7.73699999e-01 -5.23800015e-01  1.14999972e-02 -1.80999994e-01
 -1.86199993e-01  4.83999997e-02  3.71000022e-01 -7.29499996e-01
  2.92000007e-02 -2.04499990e-01 -3.28000002e-02  3.76899987e-01
 -3.19900006e-01 -2.24700004e-01  1.35800004e-01 -1.01540005e+00
 -3.35700005e-01 -1.28700003e-01  1.41900003e-01  7.05899954e-01
  1.96500003e-01 -2.81100005e-01  3.69100004e-01  5.24299979e-01
  2.46500000e-01 -1.55200005e-01 -1.75999999e-01  4.56600010e-01
 -2.51800001e-01 -1.82999969e-02 -2.59299994e-01  2.34999955e-02
 -5.06799996e-01 -4.07999903e-02 -8.02000016e-02  5.21999970e-02
 -3.51599991e-01  1.52800009e-01 -2.50600010e-01  5.59399962e-01
 -1.99000016e-02  1.06199995e-01 -3.28099996e-01  2.44700015e-01
 -5.61500013e-01 -2.74199992e-01 -1.48699999e-01 -6.90000504e-03
 -1.70500010e-01 -3.08400005e-01  3.48500013e-01 -3.11999977e-01
 -2.84999996e-01  1.75099999e-01  8.74000043e-02 -3.10699999e-01
  1.86399996e-01 -1.37700006e-01 -4.01200026e-01 -2.25500003e-01
 -3.18599999e-01  5.68000004e-02 -1.90999992e-02 -3.08200002e-01]","[-5.13999959e-02  1.24433333e-01  1.86733335e-01  2.47399998e-01
 -1.82866670e-01  2.89666648e-02 -9.33333238e-02 -1.15333331e-01
 -1.92533339e-01  2.64033332e-01  1.31900003e-01  1.63333332e-01
 -6.66000023e-02 -1.14099999e-01 -2.95500000e-01 -5.49666663e-02
 -5.40000014e-03 -4.51333349e-02 -4.04566665e-01 -1.66166667e-01
 -4.41666657e-02  1.35066663e-01 -2.87066668e-01  1.46000000e-02
  9.71999988e-02  1.21866666e-01 -5.78333363e-02 -3.56333305e-02
 -2.72833332e-01  1.03599998e-01 -2.40000015e-02  4.06666845e-03
  1.04533327e-01 -1.10400001e-01 -1.61333346e-02 -4.86666430e-03
  1.65433335e-01  4.33333348e-02  1.03099997e-01 -1.93433337e-01
  8.24333330e-02  1.02799994e-01  1.71599998e-01 -8.82999996e-02
  3.68333335e-02  1.32866671e-01 -1.35900002e-01  6.95333350e-02
  2.10466667e-01 -1.43999979e-02 -1.01033337e-01 -3.32666673e-02
 -1.61033335e-01  4.03000005e-02  2.17433333e-01  3.20000015e-02
 -1.89333341e-02 -3.13900004e-01  1.34866667e-01 -1.01133332e-01
 -1.01066669e-01 -6.87333333e-02 -2.45499998e-01  1.26666824e-03
  1.08600001e-01  5.67999966e-02 -2.00000157e-03 -2.33266663e-01
 -1.28766663e-01  1.24200003e-01  1.90900002e-01  3.47700005e-01
 -3.66000012e-02  1.66733329e-01  1.04833333e-01 -2.19833331e-01
 -6.20000064e-03  1.31866666e-01  1.37299996e-01 -2.86666304e-03
  1.06700000e-01  1.00033333e-01  7.16666629e-03  2.71966666e-01
  6.53333310e-03 -1.05666642e-02  6.38000009e-02 -7.19666661e-02
  1.63666668e-02 -1.93833336e-01 -4.49999985e-02  9.47666659e-02
 -1.16300004e-01  3.91666666e-02  2.16999995e-02 -2.61533330e-01
 -1.95466662e-01  9.67666637e-02 -2.02800001e-01 -1.24066666e-01
 -6.27999982e-02  3.10066665e-01 -2.04633330e-01 -1.24333331e-01
  2.01800000e-01  3.90733331e-01  2.32333322e-02 -8.93333306e-03
  1.27666667e-01  1.09533334e-01 -1.51166666e-01  2.01999982e-02
  2.63333259e-03  1.86433333e-01  2.55966663e-01  4.29266671e-01
 -7.28666633e-02  1.92833329e-01 -1.79999989e-03  6.58666686e-02
  3.09633332e-01 -1.37500004e-01  1.44700002e-01  6.21000007e-02
 -1.03333334e-01  1.91333344e-02 -1.24333327e-02 -5.61333324e-02
 -2.85466666e-01  5.50333311e-02 -2.59666665e-02 -6.27333360e-02
  8.11333333e-02  5.27333332e-02 -1.35166670e-01  8.85666634e-02
  3.08666676e-02  1.39066668e-01 -2.76033337e-01  1.87966665e-01
  2.83366670e-01 -1.52599998e-01 -5.65333330e-02 -3.60000009e-02
  1.21266666e-01 -1.72100000e-01 -1.35333330e-02  5.08333358e-02
  1.95233333e-01  1.66666880e-03  1.00866665e-01  2.54199995e-01
  1.23500003e-01  3.17999967e-02  1.02766663e-01 -1.47166663e-01
 -1.07466673e-01  1.27300004e-01  6.11666657e-02  2.65666681e-02
 -5.05666666e-02 -7.39666671e-02 -1.45666669e-01 -8.22333340e-02
 -4.57333264e-02 -8.78333319e-02  4.11666681e-02  1.98866665e-01
  3.93999989e-02  2.27400000e-01  1.84933332e-01 -5.66665083e-04
  8.51333349e-02  1.49833330e-01  2.33633334e-01 -6.01999999e-02
  6.75333329e-02  3.09999995e-02  7.62666675e-02  9.33666673e-02
  3.11666672e-01 -2.45000025e-02  2.26466671e-01 -2.83433326e-01
 -1.24799997e-01  1.21333331e-01  1.20166664e-01 -1.44866668e-01
  1.66333333e-01 -6.90000132e-03 -8.07000001e-02 -1.75033335e-01
  8.85666665e-02 -2.16666345e-03  3.44000005e-02 -2.39466672e-01
  2.28666669e-02 -7.25333337e-02  1.40000119e-03 -2.03833332e-01
  1.13366668e-01 -1.95766663e-01  4.36333343e-02  1.14533330e-01
 -2.99733326e-01 -6.82333335e-02  1.40166663e-01  1.36000002e-01
 -6.03000000e-02  1.66666694e-03  1.86900005e-01 -4.33333324e-02
 -1.50066664e-01  8.83333261e-03  1.75933338e-01  2.97666652e-02
 -6.97333350e-02 -8.71166666e-01  1.57733331e-01 -8.09666688e-02
  9.61000000e-02 -2.39133339e-01 -1.31100003e-01 -1.15333342e-02
 -3.26666657e-02 -2.53299996e-01  7.64333333e-02  8.89999978e-03
  1.18233334e-01 -2.52066662e-01 -1.24433332e-01 -3.14000001e-02
 -3.52500002e-01 -1.10366665e-01 -8.20000016e-02  1.86800001e-01
 -4.02666668e-01 -1.00866670e-01  1.03166668e-01 -1.92999989e-02
 -5.52333320e-02 -4.12000020e-02  1.90533337e-01 -3.14466665e-01
  1.21000002e-02 -1.69933332e-01 -2.41000008e-02  1.27366665e-01
 -2.01933337e-01 -1.06433332e-01  3.61333340e-02 -4.37766671e-01
 -1.46966665e-01 -9.24333334e-02  1.20666660e-02  2.66866662e-01
  7.68999998e-02 -1.13866668e-01  1.42333336e-01  2.07566664e-01
  2.03466669e-01 -6.92999996e-02  1.02333346e-02  1.69433332e-01
 -5.65999995e-02 -2.31999991e-02  2.80666674e-02 -6.01666669e-02
 -2.42499997e-01  8.43333701e-03  1.53000001e-02 -8.54666699e-02
 -1.58033331e-01  6.53333360e-02 -5.92666666e-02  1.67699998e-01
 -9.40000049e-03  1.19400000e-01 -1.53633334e-01  2.07233337e-01
 -2.49133339e-01 -1.26766664e-01  1.35000000e-02 -1.43866666e-01
 -8.66000007e-02 -1.70633336e-01  1.52700004e-01 -1.89233327e-01
 -1.94899999e-01  1.11033335e-01  1.45233338e-01 -1.61966667e-01
  9.20333319e-02  2.09999986e-02 -1.06166672e-01 -2.65333367e-02
 -1.56033327e-01 -5.23333251e-03  1.38899996e-01 -2.02333331e-01]"
