cluster000,景園,動物園,植物園,果樹園,吉水園
cluster001,しき堂,霊堂,寺堂,開山堂
cluster002,明王院,明王,戒蔵院
cluster003,寺橋,寺門,寺電
cluster004,城巡り,城,城家,城国,城王
cluster005,城跡,城址,居館,城郭
cluster006,石垣,本丸
cluster007,天守,櫓
cluster008,平和,鐘,平和橋,時計,鐘音,時計塔,平和碑,階段塔,平和堂,時報塔
cluster009,坂雪,坂,人工雪,冬雪
cluster010,牛石,夫婦石,尊石,磨石,ベスブ石,猫石,尊
cluster011,谷,谷焼
cluster012,苔,苔玉
cluster013,岩,岩絵,岩台
cluster014,龍馬,龍,競走馬,龍船
cluster015,国産,国産車
cluster016,大型,大型犬
cluster017,冷製
cluster018,造人,造棟
cluster019,丸,丸船
cluster020,木造,木造船
cluster021,個箱,バラ売り,バラ,豚骨,経箱,段ボール箱
cluster022,館,館外,館地
cluster023,館門,脚門
cluster024,想定外,波山,見外
cluster025,歴史,民俗,祀社,自然,胸心,郷土,海運業,洋画,曲線美,支配力,建築史,神心,庭家,庭石,正統派,海心,農業系,芸術祭,彦神,自然美,洋画家,文芸誌,生命力,家風,生態系,真宗学,叢社,自然人,那神社,歴史人,本格派,設計家,中心力,歴史家,出版社
cluster026,養殖,養魚,養殖場,貯木
cluster027,渡船,釣れ,竿,釣
cluster028,餌,エサ
cluster029,稚魚,水槽
cluster030,オス,個体
cluster031,水域,干潮,塩量,浮力,海水,水量,水深,波浪,海面
cluster032,桟橋,海,島内,掃海,潜水,潜水艦,島,陸海軍,海軍,軍港,魚雷,軍艦,戦艦,海上,海船,港,島々,港街,船舶,艦船,船艦,船内,護衛艦,造船,灯台,島外,湖船,半島,海橋,湖畔,航路,水軍,港船,湖,製鉄,紡績,港町,島船,島草,漁船
cluster033,鯉池,鯉
cluster034,海池,川池,湖池
cluster035,林池,桜池,青池
cluster036,キス釣り,アユ釣り,川釣り,渓流釣り
cluster037,海魚,川魚,白身魚
cluster038,目的地,ロケ地,候補地,発祥地,発祥,景勝地,撮影地,出身地,水源地,名勝地,群生地
cluster039,丘陵,丘陵地
cluster040,遊園,遊園地
cluster041,爆心地,爆心
cluster042,被爆,被爆地,被爆者
cluster043,ミカン畑,花畑,ひまわり畑,苗畑
cluster044,地帯,自生,南限,群落
cluster045,品種,栽培,産地,球根,原料,植え,収穫
cluster046,農薬,農園,農場,牧場,農家,梨園,棚田,乗馬,厩舎
cluster047,直売店,直送,直売,産直
cluster048,巨樹,巨木,樹高,樹齢,巨木群,老木
cluster049,満開,開花,見頃
cluster050,桜,桜門,桜人
cluster051,紅葉,木々,山々,落葉,新緑,下草,草木
cluster052,湿原,緑化,草原,森林
cluster053,花,茶室,庭園,お花,芝生,菖蒲,庭,藤棚,草花,花人,石庭,花壇,中庭,生花
cluster054,路地裏,中央付近,入口付近
