aspect,aspect_vecs,cluster_main_vecs
全長,"[ 0.1017 -0.0491  0.7807 -0.2469 -0.2124  0.1508 -0.5603 -0.3038 -0.2326
  0.097  -0.1887  0.2311  0.3372  0.0086 -0.4041  0.3319  0.2501 -0.0085
 -0.3458 -0.0071  0.2236  0.1689  0.0627 -0.1439  0.0221  0.1311 -0.2359
 -0.1897  0.1956 -0.0442 -0.1293 -0.1732 -0.1277  0.1614 -0.1883 -0.2357
  0.2204  0.1036  0.1515 -0.0533  0.1338 -0.0158 -0.1108 -0.2469 -0.0062
  0.0059  0.1099 -0.1474  0.0524 -0.042   0.4076  0.2044  0.1374  0.3191
 -0.0767  0.0149 -0.0927  0.3603 -0.1006  0.2692 -0.1013 -0.3883  0.0117
 -0.3052 -0.2159  0.1027 -0.196  -0.2305 -0.5579 -0.2745 -0.1111  0.1348
  0.1197  0.0456  0.2361  0.1184 -0.131   0.1568 -0.2649  0.2538  0.117
 -0.3549 -0.0965 -0.0359 -0.0788 -0.0399  0.301   0.0352 -0.0882  0.0611
 -0.1434  0.1821  0.2813  0.415  -0.0906  0.2528  0.238   0.0466  0.0586
 -0.0344 -0.2167  0.4683  0.124  -0.2029 -0.1611  0.0407 -0.2874 -0.1175
 -0.1412  0.1909  0.0354 -0.089   0.1996  0.2839  0.4211 -0.1011  0.0709
  0.3673  0.1421 -0.3704  0.1114 -0.0619 -0.0653  0.0492 -0.3975  0.1287
  0.0089  0.3488  0.2623 -0.195   0.1644  0.1067  0.0047  0.0382  0.2507
 -0.1733 -0.095   0.0123 -0.2486 -0.124   0.0504 -0.4362  0.0567  0.0397
 -0.1657 -0.1326  0.1287  0.0417  0.031  -0.0112  0.1417 -0.4718  0.098
 -0.0017  0.0485  0.0877  0.0946 -0.0566 -0.2559  0.293   0.0539 -0.0502
 -0.3576  0.083   0.2168 -0.0688  0.0756  0.0035 -0.1706  0.0985 -0.0738
  0.1074 -0.1398 -0.0565 -0.0683  0.2805  0.0601  0.0724  0.0234  0.1848
 -0.0706 -0.2171 -0.4286 -0.0944  0.0749  0.3634  0.0529  0.8439  0.0471
 -0.0275  0.166   0.0048  0.0232  0.0566 -0.1088 -0.1343 -0.042  -0.0188
  0.085   0.0527 -0.1389  0.1435 -0.2468 -0.1401  0.036   0.204  -0.2349
  0.3457  0.198  -0.0812 -0.2489  0.0627 -0.5848 -0.0717  0.3674 -0.0251
 -0.3923 -1.073   0.2551 -0.0956  0.0469  0.0152 -0.0707  0.0824  0.2551
 -0.3658  0.0074 -0.1605  0.0838  0.0107 -0.2266 -0.278  -0.1165 -0.077
 -0.2247 -0.0568 -0.0889  0.0382 -0.0334  0.2191  0.0235 -0.1044  0.1034
 -0.6553  0.1378 -0.632   0.2368 -0.4391 -0.0368 -0.4565 -0.2347 -0.3951
 -0.0562  0.2186  0.1512  0.2136  0.0533  0.1491  0.0039  0.2081  0.0241
 -0.0282  0.2455 -0.2461 -0.0381  0.0089  0.4216 -0.0273 -0.1212  0.0789
 -0.2682 -0.2648 -0.2978  0.023  -0.127   0.1918 -0.4185 -0.236   0.1304
  0.243   0.3054 -0.0783  0.2007  0.3623  0.0196 -0.0083 -0.2508  0.1223
  0.1893 -0.0422 -0.1068 -0.3202  0.1073 -0.0462 -0.0321 -0.1337  0.4133
 -0.0283 -0.386   0.3155]","[ 3.81000005e-02 -4.65999991e-02  6.60733352e-01  1.59999995e-02
 -2.54800002e-01  3.74000017e-02 -1.06799995e-01 -2.74866665e-01
 -1.89133336e-01  1.06300001e-01  1.02733329e-01  7.04666649e-02
 -5.15333340e-02  2.17666663e-02 -5.21933332e-01  3.02533338e-01
  1.92866662e-01  2.70666648e-02 -2.54866670e-01 -5.02333303e-02
  2.95033338e-01  4.73333336e-02 -1.94766658e-01 -3.28333342e-02
  1.88199999e-01  1.10833332e-01 -1.09100003e-01 -2.32766670e-01
  1.75833334e-01 -3.33833326e-01 -1.67499994e-01 -1.02633329e-01
 -9.44666664e-02  7.47666719e-02 -1.75166669e-01 -1.71599999e-01
  1.58166668e-01 -2.48000007e-02  2.35133330e-01  8.91000008e-02
 -3.24000021e-02 -9.76666436e-03 -1.46499996e-01  4.47666673e-02
 -5.71999971e-02  5.80666640e-02 -4.85666680e-02 -1.11466670e-01
  1.73166670e-01  2.53499996e-01  3.10999925e-02  1.40133335e-01
 -8.03666686e-02  1.13099997e-01 -1.89199990e-01 -6.65000022e-02
  1.16933331e-01  1.00400002e-01 -8.64666651e-02  2.89900000e-01
  1.85333335e-02 -3.08499994e-01 -7.70999987e-02 -8.09666704e-02
 -6.46666686e-03  2.35666657e-02 -1.12866665e-01 -4.26666664e-02
 -2.71933337e-01  1.74333327e-01 -3.98000007e-02  2.00133329e-01
  1.50233331e-01 -1.35433330e-01  2.48333340e-02 -6.39666673e-02
 -2.83599995e-01 -5.12666653e-02 -1.49733329e-01  2.14466666e-01
  1.03866666e-01 -8.55000007e-02 -1.27966667e-01 -2.81433333e-01
 -1.76799997e-01 -1.40000135e-03  2.45333351e-02  7.19333350e-02
 -1.26533334e-01 -3.18333333e-02 -2.32333332e-01  1.07333332e-01
  1.55333338e-01  4.07366658e-01 -1.17533334e-01  2.22166657e-01
 -7.92999963e-02 -3.13333298e-03  1.30933332e-01  9.45000000e-02
  1.06333296e-02  5.05733341e-01  9.96999989e-02  7.27666666e-02
 -5.77000007e-02  4.09633337e-01 -7.44000028e-02  1.29600001e-01
 -9.43000012e-02  3.22633332e-01 -1.77033329e-01  1.09866669e-01
  1.78333329e-01  6.19999990e-02  2.95199996e-01  4.77333342e-02
  1.62000004e-02 -1.15666663e-02  1.39200002e-01 -1.12266672e-01
  4.18333337e-02 -1.45700001e-01 -2.64500007e-01  6.45666669e-02
 -1.30833338e-01 -1.26033336e-01  1.36666559e-03  1.66733338e-01
  2.05999985e-02  1.04133335e-01 -5.06666551e-03 -1.13633333e-01
 -9.71666691e-02 -1.58800002e-01  7.44333267e-02 -1.75800006e-01
 -8.67666670e-02 -3.69999930e-03 -1.77000003e-01 -1.42333334e-02
 -1.24233332e-01 -1.68266665e-01  8.20666676e-02 -1.32433334e-01
  2.73266658e-01  4.53000007e-02  2.18066663e-01  1.13666666e-02
  1.36333307e-02  1.72899997e-01  2.12233337e-01 -3.91366671e-01
  2.97799992e-01  5.99333305e-02  2.19966665e-01  6.05333348e-02
 -4.44999952e-02 -4.59999964e-03  3.65333383e-02 -1.91333344e-02
 -1.31333328e-01 -4.73666675e-02 -1.06399999e-01 -4.22333404e-02
  8.20000009e-02  2.14966662e-01  5.99333346e-02  1.74600003e-01
 -3.10633332e-01  2.17666626e-02  1.72266665e-01  2.38500003e-01
 -2.30233332e-01  1.12433333e-01 -1.32566670e-01 -5.35000016e-02
 -8.44333333e-02 -4.33333317e-02 -1.63633340e-01 -2.96666638e-02
 -3.83333353e-02 -1.46733330e-01 -2.27100005e-01  4.46666901e-03
 -9.89000040e-02  2.84000067e-02  1.19966667e-01  2.88233342e-01
 -9.54333295e-02 -7.57666671e-02 -5.59000007e-02  2.34066668e-01
  1.95666670e-01 -8.35666669e-02  5.24333304e-02 -1.69933330e-01
  6.16666662e-02  1.78500001e-01 -1.63733333e-01  2.43466670e-01
 -4.31500003e-01  2.87133339e-01 -2.01300001e-01 -5.53333387e-03
  1.58699995e-01  1.01999963e-02 -1.01199999e-01 -5.23666739e-02
  3.46599996e-01 -7.67333309e-02 -9.90999987e-02  1.32933335e-01
 -3.98833339e-01  8.68999933e-02  1.00133330e-01 -1.05199998e-01
 -1.19933336e-01 -1.18373333e+00  1.34033338e-01 -1.33533335e-01
  1.40433335e-01 -4.63666680e-02  5.89333375e-02 -1.68666641e-02
 -7.07666626e-02 -1.88433331e-01  3.47000030e-02  7.42666647e-02
  2.15366668e-01  1.99266662e-01 -2.51299998e-01 -2.87499999e-01
 -2.42033335e-01  7.39333356e-02 -1.43000030e-02 -4.76666658e-02
 -2.33566667e-01  8.38999984e-02 -8.09333349e-02  1.10000006e-02
  2.24000001e-02  4.18333299e-02 -1.07999990e-02 -4.93900011e-01
  1.85533333e-01 -4.77066681e-01  4.20666685e-02 -1.41533333e-01
 -1.33334349e-04 -3.87166663e-01  5.58333378e-02 -3.26466665e-01
 -1.05833337e-01  4.17666659e-02  1.45699999e-01  3.52466663e-01
 -2.69966659e-01  1.66566667e-01 -6.33333328e-02  8.16000023e-02
 -8.46666663e-02 -3.28333303e-02  2.42366666e-01 -3.57666637e-02
  1.07333325e-02  3.38333329e-02  1.54666727e-02 -1.17933330e-01
 -1.62333343e-02  1.43633333e-01 -8.83333478e-03 -1.41333337e-01
  3.39999981e-02 -6.29333289e-02 -1.20999962e-02  1.58600002e-01
 -9.24000014e-02 -1.21066667e-01  8.46666843e-03  2.93466667e-01
  2.20166673e-01 -1.33999996e-01  8.79333339e-02  2.24333332e-01
  6.56333342e-02 -4.29666679e-02 -3.60333376e-02  1.11033333e-01
  2.33366673e-01 -1.83000018e-02  4.12000008e-02 -9.34666656e-02
  1.24599998e-01  2.47900002e-01 -9.53333378e-02 -1.26466662e-01
  1.19000000e-01  1.72999999e-01 -4.86666672e-02 -4.25333331e-02]"
横穴,"[ 3.195e-01  3.531e-01  5.925e-01  2.550e-02  3.260e-02  2.040e-02
 -3.064e-01 -2.743e-01 -2.814e-01  3.773e-01  1.065e-01  1.238e-01
  2.116e-01  1.110e-02 -4.707e-01  3.973e-01  1.462e-01 -8.560e-02
 -3.032e-01  1.134e-01  1.459e-01  1.109e-01 -4.757e-01 -3.858e-01
  4.106e-01 -3.080e-02 -1.584e-01 -5.810e-02  5.952e-01 -2.238e-01
 -1.322e-01 -2.654e-01  1.932e-01  4.031e-01  1.200e-03 -7.500e-02
 -4.520e-02 -1.354e-01  2.607e-01 -9.130e-02 -2.207e-01 -1.227e-01
 -3.510e-02 -1.510e-02 -4.407e-01  1.755e-01 -9.210e-02 -9.520e-02
  1.533e-01  2.837e-01 -1.444e-01 -2.594e-01 -5.540e-02 -1.538e-01
  2.122e-01  8.550e-02  2.787e-01  1.302e-01  3.187e-01  4.836e-01
  1.223e-01 -3.756e-01  5.580e-02 -2.718e-01  1.891e-01 -1.053e-01
 -1.356e-01 -2.609e-01 -6.160e-02  1.966e-01 -4.929e-01 -1.682e-01
 -2.500e-03 -5.669e-01 -1.744e-01 -2.635e-01 -8.640e-02  3.836e-01
  6.270e-02  2.730e-02  3.357e-01 -2.620e-02 -1.418e-01 -3.816e-01
 -4.072e-01 -3.154e-01 -1.363e-01  1.567e-01 -2.662e-01 -2.817e-01
 -3.492e-01 -4.065e-01 -1.334e-01  2.852e-01  1.542e-01 -1.610e-02
  1.458e-01 -3.276e-01  1.310e-01 -1.589e-01 -1.071e-01  4.983e-01
  2.349e-01  4.133e-01 -1.397e-01  5.923e-01 -1.162e-01  7.809e-01
 -1.760e-01  3.301e-01 -2.960e-01 -1.342e-01 -2.431e-01 -1.150e-01
  1.777e-01 -5.633e-01 -3.983e-01  5.671e-01 -1.621e-01 -4.977e-01
  2.586e-01  9.820e-02  2.221e-01  4.210e-02 -2.437e-01 -3.260e-02
  3.035e-01  8.910e-02 -1.530e-01  1.283e-01 -3.682e-01  9.890e-02
  4.560e-02 -5.131e-01  1.160e-01  5.669e-01  6.180e-02  2.781e-01
  7.570e-02  2.362e-01 -2.518e-01 -5.508e-01  4.030e-02 -6.580e-02
  2.220e-01 -3.870e-01  2.396e-01  8.860e-02 -2.800e-02 -6.650e-02
  4.901e-01  5.785e-01  4.555e-01 -3.117e-01  1.351e-01  4.840e-01
  2.218e-01  2.924e-01  1.650e-01  2.203e-01  3.140e-01  2.291e-01
  7.110e-02 -1.455e-01 -1.616e-01 -8.950e-02  1.879e-01 -5.620e-02
  5.261e-01 -1.767e-01  1.645e-01  7.420e-02 -6.300e-02 -6.650e-02
  4.208e-01 -3.225e-01 -1.740e-02  9.260e-02  2.956e-01  2.651e-01
  2.265e-01 -5.409e-01  2.792e-01 -3.464e-01  5.900e-03  8.370e-02
 -3.364e-01  1.519e-01  4.670e-02 -1.248e-01 -4.940e-02  4.373e-01
 -9.030e-02  2.225e-01 -1.417e-01  9.900e-02 -2.214e-01 -1.417e-01
 -5.380e-02 -1.110e-02 -6.061e-01 -6.730e-02 -1.017e-01 -2.049e-01
  4.000e-03  1.168e-01 -2.082e-01 -1.310e-01 -5.537e-01 -3.842e-01
  3.500e-03 -1.613e-01 -3.083e-01  4.618e-01  1.250e-01  3.340e-01
 -1.520e-01 -1.355e+00  2.597e-01  4.596e-01  2.878e-01 -1.656e-01
  1.390e-02  2.105e-01 -3.390e-02 -1.987e-01  8.890e-02  7.800e-02
  2.290e-01  3.670e-02  6.700e-02 -3.516e-01  5.850e-02  2.249e-01
 -3.469e-01 -2.733e-01 -3.244e-01  2.297e-01  1.260e-01 -4.707e-01
  1.714e-01  1.255e-01  7.660e-02 -3.362e-01  3.270e-02 -1.356e-01
 -6.610e-02 -4.930e-02  4.948e-01 -3.966e-01  3.050e-01 -4.242e-01
  2.341e-01  6.040e-02  2.497e-01  3.079e-01 -1.204e-01 -9.820e-02
  1.346e-01 -1.240e-01  5.526e-01 -1.869e-01 -1.779e-01  3.420e-01
  1.400e-03  1.678e-01  2.672e-01  9.800e-02 -4.279e-01 -1.545e-01
 -4.621e-01 -2.144e-01 -2.910e-02 -1.140e-02  2.783e-01 -7.270e-02
  1.228e-01  2.918e-01  5.061e-01 -2.520e-01 -6.320e-02  2.780e-01
 -6.090e-02 -1.185e-01 -9.730e-02 -2.619e-01 -2.938e-01 -1.089e-01
  1.955e-01  1.070e-02 -5.273e-01 -4.156e-01  2.240e-01  5.913e-01
 -6.340e-02  1.434e-01 -2.983e-01 -3.610e-02  3.749e-01  2.216e-01]","[ 1.00610000e+00  6.17100004e-01  1.25649998e+00  5.06100014e-01
  2.71299988e-01  4.53799995e-01 -3.27200003e-01 -4.86500002e-01
 -3.82799998e-01  5.91800001e-01  2.95500003e-01  8.76000002e-02
  2.58300006e-01  2.85400011e-01 -1.06389997e+00  9.05300032e-01
  4.83599998e-01 -4.51000072e-02 -6.66300021e-01  4.42099996e-01
  8.04199994e-01 -9.85999946e-02 -1.02139996e+00 -4.97500001e-01
  5.38599998e-01 -3.77599999e-01 -4.05700006e-01 -2.51900000e-01
  7.26099998e-01 -1.77900001e-01 -5.57300001e-01 -4.26699989e-01
  3.31200011e-01  8.29100013e-01 -1.42499996e-01  3.79000008e-01
 -1.06799994e-01 -4.35299993e-01  2.07199991e-01  3.31000004e-01
 -4.68699999e-01 -2.39999816e-02 -4.06399988e-01  5.52300008e-01
 -1.41649997e+00  3.52000009e-01 -5.69799997e-01 -5.04000038e-02
 -2.08199993e-01  8.41099992e-01 -3.33000001e-01 -1.55500012e-01
  2.04000007e-02 -6.22299999e-01  7.31600009e-01  2.89999992e-02
  3.37599995e-01  1.80299997e-01  5.14099989e-01  8.64899993e-01
  4.07199986e-01 -3.71000007e-01  3.98199983e-01 -5.20600013e-01
 -3.94999981e-01 -6.37000001e-02 -1.52700000e-01 -2.49299996e-01
 -6.36000037e-02  1.44700006e-01 -9.20500010e-01 -4.60300002e-01
  6.99400020e-01 -1.10040002e+00 -2.94400007e-01 -7.00800002e-01
 -6.12000018e-01  3.74699995e-01  3.30600016e-01  2.32699998e-01
  6.81299992e-01 -3.66700005e-01 -4.70200002e-01 -6.34399988e-01
 -6.27100006e-01 -3.63100003e-01 -1.39200002e-01  5.35499992e-01
 -7.54499994e-01 -4.75099981e-01 -4.88400012e-01 -3.39900017e-01
 -3.25399991e-01  5.75600006e-01 -1.33200005e-01 -1.08999997e-01
 -2.55600020e-01 -2.52300002e-01  2.18299992e-01 -8.55000019e-02
 -1.92500005e-01  1.02549997e+00  1.24899994e-01  1.05790001e+00
 -3.90999988e-01  9.01400000e-01 -3.50800000e-01  1.11050000e+00
 -1.40099997e-01  6.50500003e-01 -7.85500005e-01 -3.43400020e-01
 -1.04460000e+00 -1.61399998e-01  9.96099964e-01 -7.29500009e-01
 -6.03299987e-01  1.26719999e+00 -1.46300003e-01 -8.13700017e-01
 -2.82800004e-01  1.48400001e-01  1.92400008e-01 -1.15699999e-01
 -1.72699995e-01 -3.17699999e-01  7.17199989e-01  6.94000027e-02
 -3.29599999e-01 -5.46100006e-01 -7.68999994e-01  2.35500005e-01
  4.67499998e-01 -4.40900020e-01  2.51999998e-01  6.59099996e-01
  1.61800001e-01  4.47900008e-01  5.90000004e-02  9.75200027e-01
 -1.69499993e-01 -7.58400038e-01  3.42699995e-01 -4.08800021e-01
  8.11599996e-01 -4.58599996e-01 -2.79999971e-01  2.94599995e-01
  4.02299996e-01 -5.89900009e-01  5.50899997e-01  1.40999965e-01
  5.38800007e-01  5.67000210e-02  4.58900008e-01  7.52799995e-01
  3.67700003e-01  2.03800000e-01  1.56800009e-01  5.07600008e-01
  4.01300014e-01  8.22600022e-01 -9.30000022e-02 -5.97700000e-01
 -3.61999944e-02  1.86599977e-01  3.51600014e-01  3.96399993e-01
  9.37699988e-01 -2.84999998e-01  3.75199996e-01  1.45599999e-01
  2.46999994e-01 -2.22999996e-01  5.03399998e-01 -3.94999996e-01
 -2.15299999e-01  1.83400005e-01  5.02400003e-01  5.06200004e-01
  3.56200010e-01 -7.84299992e-01  3.77499990e-01 -6.55400001e-01
 -1.76199998e-01 -1.08000040e-02 -7.17699997e-01 -2.95000076e-02
  7.30000064e-03 -2.45300002e-01 -2.64799997e-01  8.75700004e-01
  2.04199992e-01  1.48600005e-01  2.60600001e-01  4.70100008e-01
 -8.88999924e-02 -1.66800000e-01 -7.61000030e-02  3.96000016e-02
 -1.02860002e+00 -5.79699998e-01 -7.57799990e-01 -7.01500013e-01
  1.18600000e-01  2.07300002e-01 -2.74099991e-01 -3.97499996e-01
 -9.30899978e-01 -7.41600007e-01  3.39000043e-02 -5.29300001e-01
 -1.07109997e+00  1.16180003e+00  5.77700004e-01 -1.09200012e-01
 -2.11500004e-01 -3.30769998e+00  3.24800000e-01  9.43600014e-01
  1.62400018e-01 -6.10900000e-01  5.31700018e-01  2.84400009e-01
 -1.17999986e-02 -7.86699995e-01  4.32000002e-02 -1.12599995e-01
  7.57400022e-01  2.78599996e-01  3.01100008e-01 -3.01799990e-01
 -4.12299998e-01  4.03200015e-01 -5.88599980e-01 -7.47799993e-01
 -1.02520001e+00  7.61599992e-01  4.61999997e-01 -6.02800002e-01
  6.49000004e-01  2.54399985e-01  4.07299992e-01 -1.10789999e+00
  4.65300027e-01 -7.93099999e-01 -3.70999996e-01 -2.71400005e-01
  8.35600005e-01 -9.79700025e-01  1.49500007e-01 -1.19490001e+00
  6.27800010e-01  3.06200013e-01  5.30299999e-01  6.54000014e-01
 -3.91700000e-01 -1.30100001e-01  1.64200000e-01 -4.19099997e-01
  1.05710003e+00 -7.13100001e-01 -2.56800001e-01  1.05879998e+00
 -3.29399987e-01  4.23099989e-01  5.42699996e-01 -1.85199998e-01
 -4.32699978e-01 -1.87199987e-01 -1.14930001e+00 -3.35099995e-01
 -7.94000030e-02 -1.01699994e-01  4.22399994e-01 -1.85800001e-01
 -2.51000013e-01  5.60099997e-01  5.82699999e-01 -4.01800005e-01
 -2.16199994e-01  2.85599995e-01  1.40000321e-03 -1.76599998e-01
  5.75000010e-02 -3.50900009e-01 -2.16499995e-01  1.20299994e-01
  5.70500001e-01  9.33999997e-02 -1.31770000e+00 -7.50299990e-01
  7.90899992e-01  1.16520002e+00 -2.62999997e-01  4.71299991e-01
 -4.81899992e-01  2.70100009e-01  7.96300016e-01  4.61599998e-01]"
