aspect,aspect_vecs,cluster_main_vecs
名所,"[ 0.0336 -0.0467  0.6797  0.1509  0.2051 -0.7136 -0.1582  0.0824 -0.1177
  0.5605 -0.1119  0.2577  0.099  -0.3709 -0.2691  0.0158 -0.1926  0.0576
 -0.1361  0.0866 -0.125   0.3841 -0.1867 -0.0976  0.2238 -0.132   0.1654
  0.4522 -0.0688 -0.1351  0.0348 -0.3237  0.0573 -0.5156  0.0603 -0.0829
  0.0331  0.0573 -0.2044 -0.303  -0.0612 -0.3753  0.041  -0.0081 -0.1695
 -0.1936 -0.0439  0.0234  0.3432  0.0926  0.4294 -0.0787  0.2827 -0.0395
  0.1681  0.2602  0.0963 -0.1178  0.0863  0.3699 -0.0569 -0.033  -0.0283
  0.1523  0.0284 -0.2554 -0.216  -0.0244 -0.0507 -0.3495 -0.09   -0.2115
  0.0911 -0.0538 -0.0355  0.0192 -0.055  -0.4045 -0.1401 -0.2771  0.0494
 -0.1051  0.1613  0.2984  0.0833  0.0888  0.0761  0.0687 -0.0494  0.1211
 -0.4436  0.0876 -0.2612  0.073   0.1258 -0.1853  0.0482 -0.3372 -0.1073
  0.0115  0.2455  0.4931  0.06   -0.3425  0.1147 -0.1159 -0.3138  0.0335
 -0.0787  0.0055 -0.5744 -0.1329  0.1224 -0.1834 -0.1666  0.2785 -0.1493
  0.1239  0.488  -0.3211 -0.2358  0.0468  0.22    0.0946 -0.0688  0.0758
  0.0856  0.2209 -0.1469  0.0579 -0.1178  0.1334 -0.1755 -0.2324 -0.1913
  0.5772  0.0092  0.0473  0.1999 -0.3732  0.0382 -0.3363  0.0246 -0.4192
  0.1623  0.1367  0.1044 -0.1456 -0.2237 -0.1217  0.1455 -0.1339  0.0886
  0.2307  0.53   -0.184   0.1033  0.05   -0.0869  0.04   -0.2844  0.058
  0.3216 -0.0261 -0.0114 -0.1774 -0.269  -0.093   0.1613 -0.0203 -0.2098
 -0.3742 -0.1361  0.0702  0.1849 -0.1264 -0.2505  0.0306 -0.053  -0.2171
 -0.5086 -0.3491 -0.0675  0.4555 -0.0086  0.1994  0.031   0.121   0.4263
 -0.0844 -0.1877 -0.377   0.1453 -0.1568  0.5804  0.1984  0.4143 -0.034
  0.0418  0.5773 -0.1696  0.0591  0.3235  0.2668  0.1585 -0.0092  0.1731
  0.1393 -0.2447  0.0982 -0.2089  0.0261 -0.2376  0.2933 -0.0557 -0.0305
  0.3416 -0.9843  0.3242 -0.0722 -0.1523  0.0799 -0.1994 -0.1759  0.2807
  0.075   0.2308 -0.4674  0.2335 -0.0222  0.1037 -0.2514 -0.5049  0.1517
  0.0821  0.1333 -0.7014  0.2053 -0.1096 -0.0049  0.0383  0.116   0.331
 -0.2752  0.0917 -0.3183 -0.0114  0.4086 -0.0993 -0.7415  0.0144 -0.3996
 -0.1912 -0.1002  0.2595  0.2998 -0.0349  0.3128  0.2176  0.4841  0.0483
 -0.2743  0.2148  0.1711  0.0721 -0.4696  0.2633 -0.0189 -0.274   0.3607
  0.1227 -0.2669  0.1594 -0.0404  0.1056 -0.0346 -0.0832 -0.3107  0.0199
  0.2698  0.0906 -0.0272 -0.0906 -0.2646 -0.0791 -0.2204  0.3126  0.286
  0.1062  0.0442 -0.1983 -0.1826 -0.2815  0.0123 -0.1057  0.0353  0.0626
  0.1188 -0.3116  0.0436]","[-3.06000169e-03 -1.46320000e-01  9.76919994e-01  2.51839995e-01
  3.00919998e-01 -6.25059995e-01 -3.87399997e-02  2.16859996e-01
  1.16199991e-02  3.04459989e-01  3.27000006e-01  1.17879999e-01
 -1.69200040e-02 -4.85620006e-01 -4.05119993e-01  1.78279996e-01
 -1.61999995e-02 -9.37600030e-02 -4.06239999e-01  1.93620001e-01
  2.15920000e-01  2.42779990e-01 -1.73019995e-01 -2.73840002e-01
  3.72000006e-01  7.43199967e-02  3.65999751e-03  3.36539999e-01
 -9.75000031e-02  6.50199959e-02 -9.73999924e-03 -4.57059994e-01
 -1.08980001e-01 -7.60200001e-02  7.05600033e-02 -3.91600003e-02
 -6.45999778e-03  7.52000034e-02 -4.23679988e-01  1.28159997e-01
  1.50679998e-01  4.15600007e-02  1.22039999e-01 -2.51699998e-01
 -2.47220003e-01 -7.78000034e-02  9.83600003e-02 -4.86199956e-02
  5.39599977e-02  1.25320001e-01  1.59859997e-01  4.53399979e-02
  1.74260001e-01 -2.18839995e-01  8.26000020e-02  8.51600047e-02
  2.26180002e-01 -4.51719999e-01  1.15479998e-01  1.63519999e-01
 -2.22600011e-02 -8.68400007e-02 -2.83200000e-01 -2.69200021e-02
  1.46680003e-01 -1.28479999e-01  6.71999864e-03  3.53199996e-02
 -1.24200004e-01  5.33999987e-02 -2.69940000e-01 -2.17739996e-01
  7.25399949e-02 -1.48840001e-01 -4.18000039e-02 -2.32519993e-01
 -2.63220000e-01 -2.19360000e-01 -2.99520001e-01 -2.91079995e-01
  3.05759993e-01  1.00560000e-01  2.14000167e-03 -1.42159998e-01
 -4.15400036e-02  2.24639996e-01 -9.99947079e-05  2.30559994e-01
 -1.77460000e-01 -3.87340001e-01 -2.88480010e-01 -8.82200010e-02
 -7.72200019e-02  2.40659999e-01  2.84200002e-01 -2.88720005e-01
 -3.00479999e-01  1.17280005e-01 -1.22400005e-01 -7.02599980e-02
  5.68000190e-03  8.90499999e-01 -2.66200004e-02 -3.85000009e-02
  2.88679988e-01  4.13899994e-01  2.01399995e-02 -1.23160001e-01
  9.97599997e-02 -1.32600013e-02 -6.34240001e-01 -1.89300001e-01
  2.36219998e-01 -9.55000000e-02 -3.75439996e-01  2.50579997e-01
 -1.22039994e-01  2.89199998e-01  6.77120001e-01 -1.77439998e-01
 -1.48179998e-01 -1.12980007e-01  1.21040002e-01 -3.09399993e-01
  6.06000047e-02 -2.98020002e-01 -3.95999849e-03  1.89099997e-01
  3.51200011e-02 -2.73800028e-02  4.43000002e-02 -3.25800054e-02
 -5.98200012e-02 -2.65840005e-01 -2.06879997e-01  5.91720008e-01
 -9.49399998e-02  2.80739998e-01  1.12039998e-01 -2.34959997e-01
 -1.26820000e-01 -1.51999518e-03  1.44040002e-01  7.65799988e-02
  6.18879998e-01  2.30400002e-02  9.25200008e-02  9.17599976e-02
 -2.55320005e-01 -2.56799997e-01  9.57000021e-02  8.47999975e-03
  1.66019995e-01 -1.41400021e-02  1.24534002e+00 -5.20939993e-01
  4.29499999e-01 -8.33999995e-02 -2.60400016e-02 -3.68039998e-01
 -1.80439998e-01 -4.66799972e-02 -1.41119998e-01 -1.97160003e-01
  1.35420000e-01 -2.57539991e-01 -4.42540010e-01 -3.09400025e-02
 -5.81800006e-02 -1.63940006e-01 -5.15399996e-02 -3.79799971e-02
 -9.54000168e-03  1.91580000e-01  5.87599993e-02  1.51640000e-01
  9.49999958e-02 -1.28519999e-01 -1.83559996e-01  1.65060003e-01
 -1.33220004e-01 -3.48280002e-01 -1.38140005e-01  2.04020006e-01
 -5.88000050e-02  1.46120006e-01  8.65799971e-02  3.54100000e-01
 -7.54200005e-02 -1.91080000e-01 -1.68059997e-01 -1.72019998e-01
  7.36460010e-01  1.62320000e-01  4.23360018e-01 -8.77999719e-03
  2.53459994e-01 -7.89799992e-02  3.44460005e-01  5.35860007e-01
 -6.71599989e-02 -1.05279998e-01  2.04979999e-01  1.69159994e-01
 -9.76400033e-02 -6.92600006e-02  2.64860002e-01  2.63999961e-03
 -1.19960004e-01 -4.80599940e-02 -4.10500006e-01  5.93599990e-02
 -5.37200007e-02  8.88799947e-02 -2.75799999e-01 -2.96460004e-01
  2.84939993e-01 -1.76320000e+00  1.09800000e-01  3.87199992e-02
 -7.68399989e-02 -1.73120000e-01  1.43540003e-01  6.55999398e-03
  1.39679994e-01 -5.02400007e-01  1.77920000e-01 -4.22339995e-01
  1.49660000e-01  2.30960000e-01  2.64720004e-01  2.39900003e-01
 -7.49119992e-01  6.88199976e-02  9.28200025e-02  1.68079996e-01
 -9.77640009e-01 -1.09400011e-02  3.02360002e-01  6.05400018e-02
  1.08780002e-01 -2.85200024e-02  3.85080005e-01 -7.13279994e-01
  4.22080001e-01 -5.37660000e-01 -1.05839999e-01  1.27940008e-01
 -4.53220023e-01 -3.90160000e-01 -3.50600004e-02 -8.91119997e-01
 -2.24400003e-01 -8.52000043e-03 -5.02000032e-03  1.41459998e-01
  1.06339999e-01  8.76600008e-02  4.17160004e-01  5.94800025e-02
 -1.45600021e-02 -1.94439992e-01  8.81599998e-02  1.48759997e-01
  1.88200004e-02 -2.21779996e-01  1.09819999e-01  1.48700001e-01
 -1.38420000e-01  9.72600009e-02 -2.87399992e-02 -1.58100004e-01
  8.00199999e-02  4.84000012e-02  2.04200044e-02 -1.05800018e-02
 -1.80440003e-01 -9.17400019e-02  3.80599998e-02  3.16999979e-02
  5.43799996e-01 -4.40001755e-04 -2.74939997e-01 -6.80399964e-02
 -5.23000032e-02 -1.64299999e-01 -1.52180003e-01  1.17759993e-01
 -7.57800013e-02  6.25400030e-02 -4.85399984e-02  1.02220002e-01
 -3.70159999e-01  5.40059999e-01 -2.15899997e-01 -2.05120001e-01
 -6.07600041e-02  3.14420002e-01 -1.89839997e-01 -1.57300003e-01]"
展示,"[ 0.1783  0.0593  0.5218  0.0042  0.1033 -0.2158 -0.1181 -0.2083 -0.1176
 -0.0468  0.1871  0.0735  0.0397 -0.1239  0.0523 -0.2019  0.0668  0.0013
 -0.0219 -0.0464 -0.1055  0.0032  0.0459  0.043  -0.0885  0.0586 -0.171
  0.1777 -0.2741 -0.1231 -0.2639 -0.1974 -0.1525  0.2101  0.0197 -0.1108
 -0.1661 -0.4291  0.0619  0.3634  0.0963 -0.0119  0.1109 -0.2321 -0.0928
  0.0087  0.3742  0.1869  0.0362  0.1085  0.0597  0.1215 -0.1621  0.1054
  0.1884  0.0857  0.1151 -0.2498  0.1979  0.1148  0.0043 -0.0103 -0.1573
 -0.2164 -0.0596 -0.085  -0.0744  0.3578 -0.0484 -0.1211 -0.2287 -0.5091
 -0.1489  0.2353 -0.0283 -0.1188 -0.0989  0.0284 -0.2768 -0.0193 -0.0144
 -0.104  -0.2177 -0.113   0.2161  0.1007 -0.0585  0.0349 -0.0557 -0.0714
 -0.2786  0.0704 -0.2965  0.325  -0.1314 -0.1048 -0.1396  0.2645 -0.1124
  0.0404  0.0822  0.4327 -0.2145 -0.0781  0.0142  0.1002  0.1179 -0.1777
 -0.0387 -0.0432 -0.2914 -0.1666  0.2069  0.0227  0.2332  0.2013  0.1482
  0.4531  0.1062 -0.3392  0.0719  0.1547  0.2035 -0.0456  0.1     0.1905
 -0.1274 -0.205   0.1815  0.0884  0.1797 -0.1827 -0.2265  0.005   0.1059
  0.4886 -0.05    0.0666 -0.0017  0.2079  0.1562 -0.184   0.0654  0.1932
  0.1958  0.0643 -0.3944  0.0822 -0.0319 -0.0538  0.1853  0.1972 -0.1482
 -0.1029  0.6276 -0.2398  0.0898  0.3086  0.2638  0.0755 -0.1656 -0.017
 -0.0946 -0.321   0.4239  0.008   0.0127 -0.4732  0.0963  0.0053 -0.2214
  0.1084  0.0459  0.0273 -0.128   0.1622  0.3352 -0.0659 -0.1116  0.1008
 -0.01   -0.1628 -0.2515  0.0514  0.1631  0.4103  0.1112  0.3052  0.1124
 -0.1813  0.3562 -0.1429  0.3067  0.0037  0.056   0.0557  0.1141  0.2006
 -0.0446  0.0934 -0.2295  0.0366  0.     -0.1274 -0.1253  0.057  -0.0311
  0.1988 -0.0426 -0.2145 -0.2855 -0.1393 -0.1109 -0.0931 -0.2766 -0.3932
 -0.1995 -0.7385  0.1942  0.0935 -0.0924  0.0294  0.0735  0.1961  0.0161
 -0.3368  0.1366 -0.0012  0.0943 -0.094   0.2081  0.0549 -0.2486 -0.2709
 -0.104  -0.0073 -0.327   0.0302  0.0803  0.1134  0.2372 -0.2657  0.176
 -0.369   0.0532 -0.4307  0.0221 -0.3049  0.1414  0.3116 -0.0806 -0.349
 -0.0076  0.0085  0.0082  0.1023 -0.0587 -0.0212  0.3892 -0.2967  0.0011
 -0.1218 -0.0363 -0.0635 -0.1394 -0.1276  0.1119 -0.0875 -0.2491  0.0312
 -0.1689  0.1081 -0.025  -0.0496 -0.1703  0.0244  0.064   0.2001  0.0059
 -0.2764  0.5554 -0.2188 -0.2018 -0.0173  0.2134  0.0888 -0.2561 -0.1678
  0.2407  0.124  -0.3379 -0.0325 -0.1808  0.3229 -0.0128 -0.0426 -0.127
  0.1088  0.2265 -0.0075]","[ 0.1975     -0.15259999  0.47825     0.01595     0.1348     -0.16875
 -0.15135    -0.0485     -0.1094      0.03335     0.12855     0.1504
  0.09175    -0.17839999 -0.06555    -0.147       0.09255     0.0401
 -0.0782     -0.0211     -0.10885     0.0883     -0.01515    -0.0537
 -0.05995    -0.02415    -0.11975     0.06925    -0.04165    -0.001
 -0.15250001 -0.1345     -0.12055     0.0161      0.06935    -0.07215
 -0.03195    -0.13105001 -0.01525     0.05400001  0.00165     0.0689
  0.03095    -0.16565    -0.24925     0.0933      0.26664999  0.019
 -0.00105     0.102      -0.0187      0.13345    -0.0483      0.10765
  0.1068      0.0177      0.2228     -0.31219999  0.2597      0.15795
  0.05055    -0.11635    -0.14205    -0.04845     0.02255    -0.0089
 -0.04505     0.2309     -0.0413      0.13515    -0.22395    -0.41165002
 -0.08455     0.0401     -0.0025     -0.1422     -0.1095     -0.04935
 -0.248       0.0341     -0.0043     -0.05565    -0.07095     0.12085
 -0.11534999  0.03865    -0.16165001  0.0436     -0.1119     -0.1067
 -0.2483      0.11715    -0.10045     0.24689999  0.13019999 -0.1289
 -0.14235     0.1252     -0.01005     0.04755     0.0253      0.37425001
 -0.12615    -0.0123      0.0099      0.0521     -0.0259     -0.0915
  0.0304     -0.01035    -0.42849998 -0.1774      0.1518     -0.10195
  0.0977      0.119       0.04315     0.42555     0.2184     -0.27145
  0.06385     0.22709999  0.0282     -0.09775    -0.028       0.11715
  0.028      -0.26115     0.04645    -0.00635     0.1705     -0.1339
 -0.2022     -0.11955     0.07725     0.26794999  0.0366      0.08435
 -0.01305    -0.00695     0.1021     -0.07135     0.0314      0.03860001
  0.27055     0.1187     -0.26375    -0.004      -0.07235     0.0184
  0.16485     0.1585     -0.21090001 -0.09725     0.6002     -0.19905
  0.0742      0.22610001  0.14905     0.00895    -0.053      -0.04515
 -0.03215    -0.16955001  0.28095     0.00455    -0.13575001 -0.36675
  0.15205    -0.064      -0.07009999  0.17725     0.07975    -0.0339
 -0.11475     0.1409      0.19675001 -0.0824     -0.11825    -0.00885
 -0.0779     -0.07585    -0.16410001 -0.0109      0.1568      0.20799999
 -0.10670001  0.2269      0.0906     -0.0968      0.1367     -0.05925
  0.3002      0.1004      0.07825     0.06295     0.1426      0.02265
  0.05365    -0.0049     -0.2098      0.0165     -0.011      -0.1005
 -0.04905     0.0049      0.0861      0.26955    -0.0409     -0.14295
 -0.14445    -0.1164     -0.0394     -0.0671     -0.28825    -0.24905001
 -0.0119     -0.77654999  0.1007     -0.0277      0.0061      0.0559
  0.06325     0.04295     0.1582     -0.26415     0.08045    -0.1126
  0.10655     0.0251      0.1946      0.12945    -0.2299     -0.16230001
  0.00245     0.03735    -0.3514      0.07395     0.03465     0.0263
  0.0992     -0.13175001  0.23535    -0.37979999 -0.0263     -0.27025
 -0.00975    -0.21955    -0.00300001 -0.16375001  0.01545    -0.298
 -0.00525    -0.0137      0.0836      0.13845    -0.13105    -0.15715
  0.1494     -0.06435     0.0359      0.0324     -0.05345     0.0239
 -0.11625    -0.0902      0.198      -0.0546     -0.1078      0.10405
  0.0667      0.051      -0.0686     -0.13565    -0.1391     -0.0051
 -0.0157      0.12475    -0.02555    -0.3476      0.25695001 -0.01755
 -0.11825    -0.04195     0.10685    -0.0282     -0.0886     -0.0426
  0.159       0.1755     -0.19555001 -0.07665    -0.40694999  0.3249
 -0.03045    -0.00525    -0.05025     0.10675     0.12415    -0.02495   ]"
