aspect,aspect_vecs,cluster_main_vecs
海風,"[-3.19799989e-01  4.53500003e-01  9.71499979e-01  4.38499987e-01
  4.96999919e-02  5.88999912e-02  5.48200011e-01  9.64000076e-02
 -3.70900005e-01  1.35199994e-01  5.16499996e-01  1.42199993e-01
  2.15799987e-01 -3.62899989e-01 -6.86200023e-01  7.25999996e-02
 -6.79000020e-02 -6.76999986e-02 -4.23500001e-01 -4.71399993e-01
  5.10999970e-02 -1.64000019e-02 -3.07099998e-01 -5.10000028e-02
  7.93999955e-02  1.10099994e-01 -3.36000025e-02  1.41299993e-01
  1.67999864e-02  2.65799999e-01  1.90899998e-01  3.32999974e-02
  7.09998608e-03 -7.58000016e-02 -1.13499999e-01  1.85100004e-01
  4.58900005e-01 -2.77599990e-01  2.07000002e-01 -7.40000010e-02
  4.56000008e-02  5.17300010e-01  1.23800009e-01  1.43500000e-01
  4.77099985e-01  4.70600009e-01 -2.98299998e-01 -9.58999991e-02
  1.10800005e-01 -1.58699989e-01 -4.99100029e-01  1.01799995e-01
 -2.05899999e-01 -4.55700010e-01  2.08999991e-01 -1.43999994e-01
  1.69300005e-01 -1.82300001e-01  2.63500005e-01 -1.07199997e-01
  1.78499997e-01 -3.14200014e-01 -1.31700009e-01 -2.33999997e-01
 -2.16999993e-01  3.35799992e-01 -1.72999948e-02 -2.64000036e-02
  1.30099997e-01  4.30299997e-01  3.53100002e-01  1.11299999e-01
 -2.16299996e-01  1.30799994e-01  1.71100006e-01 -1.64199993e-01
 -3.79000008e-01  2.05700010e-01 -2.50000004e-02  1.90800011e-01
  1.48600012e-01  2.31099993e-01 -7.97000006e-02  4.77099985e-01
 -2.99999956e-04  1.42300010e-01  1.76100001e-01 -3.26499999e-01
 -2.64200002e-01 -9.33000147e-02 -4.87999991e-02 -4.54000011e-02
 -3.22000012e-02  1.99800000e-01  5.79999983e-02 -2.57299989e-01
 -4.30599988e-01  9.60000046e-03 -1.23099998e-01  3.04600000e-01
  2.82000080e-02  6.03599966e-01 -2.23600000e-01 -2.64699996e-01
  5.37000000e-02  9.27299976e-01  4.02300000e-01  1.04099996e-01
 -6.60000026e-01 -3.59000005e-02 -3.28199983e-01  4.08999920e-02
  5.85999973e-02  1.06100000e-01 -7.59999454e-03  5.80799997e-01
 -4.53999996e-01  2.45299995e-01 -1.29400000e-01  1.80900007e-01
  9.98999998e-02 -5.88000007e-02  4.98899996e-01 -1.07199997e-01
 -1.07600003e-01  2.15000004e-01 -4.33999971e-02  2.52799988e-01
 -5.32299995e-01 -3.27800006e-01 -1.27599999e-01 -6.07000031e-02
  1.46600008e-01 -9.72999930e-02 -1.32300004e-01 -4.17300016e-01
  1.69600010e-01 -2.58500010e-01 -1.20999962e-02  1.09299995e-01
  1.90599993e-01 -3.67199987e-01  6.55999929e-02 -2.38000005e-01
  2.51199991e-01 -3.64899993e-01  5.55000007e-02 -2.23699987e-01
  1.03200004e-01  2.38099992e-01  2.75299996e-01  6.61999881e-02
 -2.21999958e-02  5.00400007e-01 -1.00999996e-02 -1.82099998e-01
 -1.85400009e-01  4.11500007e-01  2.86999978e-02 -1.57900006e-01
 -2.89900005e-01  1.09000057e-02 -6.69999421e-03  3.88000011e-02
  2.17899993e-01  7.99999945e-03 -2.74999976e-01  2.57800013e-01
  7.14000016e-02  2.18500003e-01  1.36000007e-01  1.86499998e-01
  5.07999994e-02  2.87999988e-01  4.17900026e-01 -2.39300013e-01
 -1.34199992e-01 -3.02999973e-01  6.01000004e-02 -8.60000402e-03
  1.69200003e-01 -4.92300004e-01  4.27500010e-01 -2.49999985e-01
 -9.08999965e-02 -4.20300007e-01 -3.22999954e-02 -4.12900001e-01
  1.79800004e-01  1.82200000e-01  9.26000029e-02 -1.36800006e-01
  8.92999992e-02 -4.18999940e-02  1.15600005e-01 -2.49000013e-01
  2.30399996e-01 -4.54000011e-02  1.70699999e-01 -6.59999996e-02
  1.43999998e-02 -4.13900018e-01  3.53999995e-02 -1.10000372e-03
 -2.90800005e-01 -1.47799999e-01  6.66999966e-02  1.21799998e-01
 -2.20600009e-01 -1.20399997e-01  2.45800003e-01  8.34800005e-01
 -1.65600002e-01  6.37000054e-02  1.15280008e+00 -1.74000002e-02
  1.07900001e-01 -1.27069998e+00  2.23600000e-01 -1.81700006e-01
 -1.04200006e-01 -2.26199999e-01  6.02999926e-02  4.49000001e-02
 -2.56099999e-01 -2.26499990e-01  2.04899997e-01  2.50100017e-01
  9.03000012e-02 -2.59599984e-01 -1.18799999e-01 -3.55800003e-01
 -6.52699947e-01 -1.81299999e-01  2.02600002e-01  3.82700026e-01
 -6.77800000e-01  7.16999918e-02  8.30999985e-02 -2.77300000e-01
  8.92000049e-02 -3.30001116e-03  2.19300017e-01 -5.62799990e-01
  8.74000043e-02 -1.85200006e-01 -1.04000000e-02  3.17600012e-01
 -1.89900011e-01 -6.68199956e-01 -9.64999944e-02 -8.78100038e-01
 -3.44699979e-01 -3.73099983e-01  1.77199990e-01  6.87500000e-01
 -8.25000033e-02 -2.98500001e-01  5.73599994e-01  3.22600007e-01
  6.79000020e-02 -2.63099998e-01 -8.50000046e-03  3.52699995e-01
 -2.22400010e-01  1.90000013e-02 -4.66600001e-01 -6.48000017e-02
 -1.03299998e-01 -3.59699994e-01 -2.69999981e-01  7.53000006e-02
  3.31999995e-02  2.56399989e-01 -2.98999995e-02  4.35900003e-01
  9.71999988e-02 -2.98200011e-01 -1.24200001e-01  7.52000064e-02
  1.84699982e-01 -1.70499995e-01 -2.86900014e-01  2.17099994e-01
 -1.43999994e-01 -1.52400002e-01  8.62000063e-02 -1.16500005e-01
 -2.76899993e-01  4.79499996e-01 -2.59100020e-01  3.46000046e-02
  2.93599993e-01 -8.35000053e-02 -5.39600015e-01 -5.49000055e-02
 -3.06999981e-01 -6.99999928e-02  1.02699995e-01 -5.10399997e-01]","[-0.10693333  0.23216667  0.43503333  0.2024     -0.01316667  0.06126666
  0.22943334  0.10253334 -0.1919      0.1273      0.2575      0.12013333
  0.0125     -0.216      -0.29053333  0.09333333 -0.11226667 -0.09323333
 -0.22413333 -0.23463333 -0.04903333  0.03553333 -0.1286      0.01076667
  0.04193333 -0.05396667  0.07353334  0.00216667 -0.02513334  0.04773333
  0.07046667  0.05403333 -0.0437     -0.0414     -0.01943333  0.05976667
  0.16126667 -0.15856667  0.04466667  0.00783333  0.00123333  0.17516666
  0.0783      0.05903334  0.06553333  0.11303333 -0.19346667  0.02146667
 -0.0216      0.04050001 -0.1179      0.06536667 -0.0923     -0.15046667
  0.1216      0.08906666  0.06433333 -0.14656667  0.07023334  0.06553333
  0.076      -0.14433333 -0.03596667 -0.0377     -0.11053333  0.14936666
  0.01173333  0.00463333  0.03466666  0.32693333  0.24123332  0.01156667
 -0.03306667  0.07603333  0.15646667 -0.0682     -0.20603333  0.14983333
 -0.10466667  0.09683333  0.0774      0.13843333 -0.0425      0.20233333
  0.02476667  0.14630001  0.0683     -0.1041     -0.17266667 -0.11993334
 -0.16376667  0.02826667  0.00626667  0.14133333 -0.0088     -0.1533
 -0.1414     -0.10913334 -0.07416667  0.11943333 -0.04843333  0.38463333
 -0.08336667 -0.0916      0.0141      0.35879999  0.14756667  0.19996666
 -0.24563334  0.0287     -0.27780001 -0.00083334 -0.0741      0.03113333
  0.00616667  0.3659     -0.16083333  0.09996666  0.06003334  0.04933333
  0.0062     -0.00313333  0.21693333 -0.06443333 -0.0627     -0.0054
 -0.0634      0.14273334 -0.1876      0.03843333 -0.04096667 -0.06896667
  0.08186667 -0.0583     -0.0939      0.0099      0.0573     -0.0515
 -0.02743333  0.04656667  0.0602     -0.1458      0.00686666 -0.10273334
  0.10553333 -0.1592      0.0314     -0.14446667 -0.00726667 -0.03233333
  0.11063333  0.00516666  0.01103334  0.1889      0.04773333 -0.1083
 -0.1048      0.124       0.01716667 -0.0234     -0.0889     -0.01983333
 -0.04666667 -0.0019      0.14453333  0.0116     -0.23473333  0.13013334
 -0.0342      0.0943      0.0504      0.08363333 -0.0091      0.0819
  0.05766667 -0.1269     -0.123      -0.0647      0.09183333 -0.11076667
 -0.02163333 -0.263       0.13003334 -0.02903333 -0.1227     -0.18336667
 -0.09463333 -0.07423333  0.18193333 -0.03346666  0.007      -0.06963333
  0.1786     -0.01896666  0.0696     -0.0535      0.1227     -0.01463333
  0.15743334  0.0586     -0.00953333 -0.1202      0.0181      0.07076667
 -0.1389     -0.0845      0.0985      0.07713333 -0.0552     -0.05523333
  0.05126667  0.4224     -0.04346667 -0.03516667  0.38170001 -0.11273334
  0.09286667 -0.74543333  0.10273333 -0.23699999 -0.08673334 -0.10586666
 -0.08323334  0.05603333 -0.04596667 -0.05816666  0.0635      0.01063333
  0.1144     -0.13603333 -0.07626667 -0.1756     -0.36739999 -0.08173333
  0.1415      0.14413334 -0.4         0.03246666  0.12356667 -0.03033333
  0.03263333  0.0228      0.18243334 -0.27526667  0.12353333 -0.1598
 -0.05363333  0.15686667  0.0289     -0.37013333 -0.01323333 -0.46180001
 -0.2302     -0.1872      0.03556666  0.23346667 -0.04816667 -0.03833333
  0.21226667  0.1099      0.0643     -0.1077      0.06826667  0.1701
 -0.11236667 -0.06753333 -0.1389     -0.0402     -0.0205     -0.13016666
 -0.16186666 -0.0216      0.12336667  0.14283333 -0.08196667  0.24953333
  0.16053334 -0.17413334 -0.13243333  0.03186667  0.1069     -0.0701
 -0.07766667 -0.01396667 -0.1078     -0.1095      0.08683334  0.02416666
 -0.08346667  0.20743333 -0.1228      0.0471      0.16623333  0.02263333
 -0.2382     -0.06436667 -0.1244      0.03473333  0.03116667 -0.21103333]"
指導,"[ 0.2401 -0.0625  0.6141  0.2112  0.1469  0.0987  0.0688  0.2346  0.0799
  0.152   0.1618 -0.1265  0.0872 -0.2266  0.002  -0.0336  0.1786  0.0223
 -0.1029  0.0023  0.1863 -0.372   0.0338 -0.1017 -0.0731  0.0833 -0.0255
  0.158  -0.1853 -0.0036 -0.0126  0.0778 -0.1012  0.0922  0.1838 -0.1916
 -0.0391  0.1667  0.0878 -0.2468 -0.0202 -0.0204 -0.0755  0.0019 -0.0478
  0.101   0.1032 -0.0573 -0.032   0.0663  0.2842  0.0333  0.1446  0.0423
  0.0218 -0.1404  0.0357 -0.3664 -0.0775 -0.1841  0.2707 -0.0453 -0.1343
  0.0811  0.3671  0.1077  0.1438  0.0381 -0.227   0.2204  0.2301  0.0779
  0.0889 -0.2891  0.2398 -0.1092  0.0748 -0.2317 -0.1387 -0.1952 -0.0856
 -0.0269 -0.1215 -0.1142 -0.4741 -0.0036 -0.0603 -0.1685  0.0596  0.0848
 -0.1901 -0.0838 -0.0463 -0.0071  0.0278 -0.0812  0.0026 -0.0976 -0.1487
  0.0139 -0.0427  0.528   0.1183  0.2039 -0.301  -0.0548  0.1466  0.2111
 -0.0688 -0.2659 -0.4194 -0.3929  0.1658 -0.0077 -0.6416 -0.3531  0.0698
  0.2138  0.0738  0.1108 -0.3043 -0.1124 -0.2798  0.0143  0.2209  0.237
 -0.1367  0.2003 -0.0709 -0.311  -0.0267  0.1713  0.1046  0.1446 -0.4037
  0.2885  0.1435 -0.2726 -0.0849  0.1826 -0.1138  0.2698  0.0671 -0.0615
  0.1327  0.1515 -0.1017  0.2125 -0.001   0.2453  0.1078 -0.1026 -0.1122
 -0.1167  0.4772 -0.0176  0.0743  0.0559  0.0865  0.1529 -0.1012 -0.0698
  0.2133  0.0406  0.0889  0.017  -0.2368  0.2298 -0.2273  0.0245 -0.0756
 -0.0151 -0.01    0.0724  0.3223 -0.0478  0.0232 -0.0591 -0.1566  0.127
 -0.0137  0.2685 -0.0633  0.0357  0.2354 -0.3242  0.1603  0.1977  0.0261
 -0.1913 -0.0444  0.0944  0.3831 -0.1589  0.0517  0.0299 -0.1242 -0.0086
 -0.0809 -0.2236 -0.2406  0.0613 -0.2867 -0.0123  0.0243 -0.1293 -0.0055
 -0.0707 -0.0588  0.0092 -0.1252  0.0307 -0.0517 -0.11   -0.5914  0.2136
 -0.0682 -0.7015  0.0335 -0.0651  0.0026 -0.1049  0.1105  0.0263  0.2808
 -0.435   0.1366  0.1695  0.0555 -0.057   0.1164  0.1694 -0.2888  0.1643
 -0.0133  0.1467 -0.421   0.1665  0.0332 -0.1575  0.2488  0.0866  0.1503
 -0.3141 -0.2831 -0.4598  0.0506 -0.1971 -0.0967 -0.1245  0.1187 -0.1626
 -0.2795 -0.1942 -0.1112 -0.158   0.1049  0.0105  0.1282  0.1333 -0.0856
  0.015  -0.1267 -0.0701  0.1525  0.1523  0.2459 -0.1236 -0.0258  0.0937
  0.3867 -0.0687 -0.0699  0.0501 -0.0646 -0.1456  0.0602  0.0506 -0.0804
  0.0157  0.6389 -0.0436  0.322   0.1158  0.0276  0.0525  0.1216 -0.0903
  0.2322 -0.1641  0.0856  0.0014 -0.2275  0.2682  0.1385  0.2069 -0.0275
  0.1713  0.1179 -0.3066]","[ 1.20000000e-01  3.72500012e-02  5.39499991e-01  1.65875001e-01
  6.72999993e-02 -4.97249998e-02  8.08000024e-02  1.25800000e-01
 -9.92249995e-02  1.55975001e-01  8.59499986e-02  3.79999913e-03
  8.24749991e-02 -1.24625002e-01 -8.70000031e-02  5.92500056e-03
 -6.13749977e-02 -3.68250008e-02 -1.22450000e-01 -8.17500030e-02
 -1.00250021e-02 -7.99500048e-02 -2.02000000e-01 -2.05999999e-02
 -3.67500156e-03 -3.58250020e-02 -1.22625001e-01  1.18050006e-01
 -1.46549994e-01  3.06500014e-02  4.42749995e-02  1.39675001e-01
 -1.00124999e-01  1.81475004e-01 -6.94750026e-02 -7.26250000e-02
 -1.51824996e-01  3.54250036e-02  6.51000026e-02 -6.26750020e-02
  7.38500007e-02  1.87624995e-01 -4.74999994e-02 -5.53249993e-02
 -8.73250007e-02  8.55999989e-02  5.16500013e-02 -1.43075000e-01
  4.02000016e-02 -1.86500013e-02  7.66000024e-02 -2.59499960e-02
  7.78750004e-02 -1.22500025e-03  2.45499993e-02 -2.51250034e-02
  1.43350002e-01 -3.66399996e-01  1.50499992e-02  4.94250003e-02
  1.01100001e-01 -1.43825002e-01 -1.18849998e-01  9.63500002e-02
  2.02924998e-01 -9.69249983e-02 -4.90999966e-02  4.90750009e-02
 -1.28624998e-01  9.61000016e-02  6.27750024e-02 -7.25749955e-02
  2.43749972e-02 -3.91249973e-02  1.03725002e-01 -1.76799998e-01
  4.28000027e-02  6.31000008e-02 -5.92249986e-02 -1.34050000e-01
  2.90000001e-02  7.27249999e-02 -1.80824995e-01 -9.48500019e-02
 -2.10575001e-01  8.76999985e-02 -2.51499994e-02 -2.83750016e-02
 -1.38249998e-02  1.18549999e-01 -1.22749999e-01 -5.20000025e-02
 -1.03800001e-01 -2.08749988e-02 -1.02750002e-02 -5.96250002e-02
 -3.90249983e-02  7.50000030e-03 -1.22024999e-01 -2.27500056e-03
 -4.52499995e-02  4.57424991e-01 -1.05124997e-01  1.93550002e-01
 -1.17374999e-01 -7.50000030e-03  7.94999860e-03  7.45499991e-02
 -1.47574998e-01 -1.81424995e-01 -4.35424991e-01 -2.49749996e-01
  7.18750004e-02  4.09250027e-02 -7.43500027e-02 -7.90999979e-02
 -1.96249997e-02  1.61999990e-02  3.27999997e-02  4.60499991e-02
 -1.97150001e-01 -1.15850000e-01  3.54999863e-03 -3.74749993e-02
  2.40499936e-02  1.64475003e-01 -8.61250039e-02  4.77499991e-02
 -1.34199999e-01 -1.75749997e-01  1.57750002e-02  1.63499946e-02
  2.35499982e-02  3.29999980e-02 -1.33899998e-01  1.36150001e-01
  3.58000000e-02 -1.39474998e-01 -1.23550000e-01  4.67000026e-02
 -7.74499997e-02  1.44000001e-01  4.90750000e-02 -3.99000002e-02
  3.34424993e-01  6.43500002e-02 -1.89200001e-01  1.01350001e-01
 -1.78724998e-01  2.00250000e-01 -2.18000007e-02  5.82499988e-02
 -1.27599999e-01 -1.16999999e-01  1.67375003e-01  9.55499969e-02
 -1.34999910e-03  1.35075001e-01  1.11124998e-01 -1.49249984e-02
 -1.11999996e-02  3.58750005e-02  6.74500056e-02 -1.89225000e-01
 -8.57500022e-03  4.12749983e-02  4.35999995e-02 -1.94499990e-02
  1.16749999e-01  7.39249983e-02 -9.69999991e-02 -1.44024997e-01
  2.07999996e-02  9.43250004e-02  8.46999995e-02  1.14324997e-01
 -9.62749976e-02 -1.48649995e-01 -3.08999997e-02 -4.85999994e-02
 -1.46750002e-02  6.10250002e-02  5.40000084e-03  1.61999979e-02
 -3.11749973e-02 -1.37400001e-01  9.68500027e-02  8.33499972e-02
  6.34750021e-02 -1.22100000e-01  7.11249998e-02  8.54000002e-02
  2.60474999e-01 -3.96749983e-02  4.87499917e-03  1.89249986e-02
 -3.97500023e-03 -3.66500006e-02 -3.54999769e-03 -3.94749997e-02
 -5.02750012e-02  1.87900004e-01 -1.77525006e-01  4.50000004e-02
 -8.85500000e-02 -7.00250007e-02 -4.45749974e-02 -1.18799999e-01
 -1.53400003e-01  9.10749997e-02 -1.73950003e-01 -8.44749981e-02
  4.12500007e-02 -1.18850000e-01 -1.23250009e-01  3.37499799e-03
 -1.84274999e-01 -6.56800002e-01  8.68500024e-02  2.89000034e-02
 -5.39250009e-02 -1.15574997e-01  6.76500010e-02 -3.55999987e-02
  1.53350005e-01 -2.19299998e-01  7.23250024e-02 -3.06749996e-02
  9.50000039e-03 -7.67999999e-02  1.92225002e-01  1.02975002e-01
 -3.38175006e-01  4.05000020e-02 -1.19500000e-02  1.56974997e-01
 -4.11975004e-01  1.08749999e-01  1.09924999e-01  8.97499919e-03
  1.79775001e-01 -1.02500059e-03  1.19574997e-01 -1.46749999e-01
 -1.76025004e-01 -3.08775000e-01 -7.21499994e-02 -6.68249996e-02
 -1.42149999e-01 -2.20275002e-01 -5.81500009e-02 -3.21525004e-01
 -2.53625009e-01  2.95000058e-02 -9.07999985e-02 -8.54250020e-02
 -1.36750000e-01  2.07749999e-02  1.05774995e-01  9.45500014e-02
 -1.06875004e-01 -3.31000017e-02 -3.23999992e-02  1.25750000e-02
  3.85750022e-02  6.78750016e-02  1.52100005e-01 -1.25525000e-01
 -2.05249982e-02  5.84999990e-02  1.31200001e-01  3.62249981e-02
 -5.85000124e-03  3.26500004e-02 -9.18000024e-02 -6.60250018e-02
  9.10000000e-02  5.05500012e-02  9.30000097e-03 -1.28874997e-01
  3.43374996e-01 -2.77749998e-02  8.22500000e-02  9.21750003e-02
  4.27250005e-02  5.35749989e-02  2.48750001e-02 -9.00749993e-02
  5.93249993e-02 -7.49750030e-02 -5.33249993e-02 -5.96749991e-02
 -6.04250012e-02  1.54375004e-01  2.20249998e-02  1.08000000e-01
 -6.50000758e-04  1.68349996e-01  1.08200000e-01 -2.49850001e-01]"
