aspect,aspect_vecs,cluster_main_vecs
人気店,"[ 1.84200004e-01 -2.56200016e-01  1.01569998e+00  2.01799989e-01
  3.35500002e-01  1.90399989e-01  3.10000032e-03 -2.88299978e-01
 -2.23999992e-02  3.40200007e-01  2.08299994e-01  1.35399997e-01
 -1.19199999e-01 -2.72000134e-02 -7.43799984e-01  3.80999967e-02
 -1.51000004e-02  1.01999998e-01 -1.12900004e-01 -1.11900002e-01
 -2.98000053e-02 -1.40399992e-01 -2.13499993e-01 -1.06700003e-01
  8.42999965e-02 -1.98800012e-01  1.12599999e-01  4.40200001e-01
 -1.75699994e-01  4.64200020e-01 -8.91000032e-02 -6.65999949e-02
  2.41300017e-01 -4.23000008e-01  1.02100000e-01 -2.58700013e-01
  1.34999990e-01 -2.05700010e-01  6.15000017e-02 -1.55300006e-01
  3.44999999e-01 -6.54000044e-02 -1.10899992e-01  2.23700002e-01
 -3.40300024e-01 -2.63300002e-01  2.53899992e-01 -7.01000020e-02
  1.76699996e-01  1.05499998e-01 -1.37999952e-02  1.82999998e-01
 -3.37999910e-02 -3.05100024e-01  6.79000020e-02  2.50100017e-01
  1.40200004e-01 -2.33699992e-01  2.75500000e-01 -1.05499998e-01
 -1.06799997e-01 -3.09199989e-01  1.93000004e-01  8.59999657e-03
  1.60700008e-01 -2.87999995e-02 -2.61299998e-01 -1.10299997e-01
 -4.74900007e-01  4.85199988e-01 -2.72300005e-01  3.36600006e-01
  1.96000040e-02 -1.94400012e-01 -1.04000010e-02 -1.53699994e-01
  1.78599998e-01  5.27000055e-02 -1.69200003e-01 -6.96300030e-01
 -1.76599994e-01  2.77000010e-01 -2.30700001e-01  1.40300006e-01
  2.47500002e-01 -1.30000003e-02 -2.36499995e-01  2.98399985e-01
  1.90800011e-01  2.31299996e-01  1.59000009e-01 -4.78000045e-02
  2.63999999e-02  1.18000001e-01  3.95999998e-01 -1.80600002e-01
 -1.57999992e-01 -2.92000026e-02 -1.28100008e-01 -2.14599997e-01
 -2.53799975e-01  7.54199982e-01  1.67999998e-01 -2.40999997e-01
  3.38799983e-01  5.50099969e-01 -2.68000007e-01 -3.44799995e-01
  5.16999997e-02  9.62000042e-02 -5.75399995e-01 -5.74000001e-01
  2.50400007e-01 -1.27399996e-01  2.55699992e-01  1.05399996e-01
  2.13900015e-01 -4.12200004e-01  2.02099994e-01  8.28000009e-02
  2.73299992e-01 -1.88000008e-01  3.51000011e-01  9.13000032e-02
 -1.85200006e-01 -1.83200002e-01 -1.47200003e-01  2.36999989e-02
  2.26600006e-01 -1.19600005e-01  1.89999998e-01  1.56900004e-01
  5.57999909e-02  2.51300007e-01  3.56000029e-02  2.19899982e-01
  1.63199991e-01  1.00000203e-03 -1.45999998e-01 -1.91499993e-01
 -1.70900002e-01 -1.55900002e-01  4.04900014e-01 -1.65799990e-01
  6.15700006e-01  2.51100004e-01 -3.23999971e-02 -2.14000009e-02
 -8.47000033e-02 -1.92200005e-01 -1.06600001e-01 -8.68000016e-02
  3.62599999e-01 -1.48000002e-01  6.39699996e-01 -7.55999982e-02
 -2.53800005e-01 -3.58999968e-02 -3.36999968e-02 -1.57600001e-01
 -3.13800007e-01 -4.58999984e-02 -1.63299993e-01  2.58699983e-01
  2.21999995e-02 -1.06100008e-01 -5.28999977e-02 -3.76299977e-01
  2.01299995e-01  2.39000022e-02  2.10099995e-01 -6.37999997e-02
  5.78099966e-01  2.19999999e-02 -5.86000010e-02 -2.71200001e-01
  1.07200004e-01 -5.02000004e-02  2.78200001e-01 -1.92799985e-01
  1.41000003e-02 -7.82899976e-01 -3.57299984e-01  1.20700002e-01
 -2.72100002e-01  4.96999994e-02  2.53699988e-01  5.98000050e-01
  1.43999979e-02 -3.99999991e-02  8.19999948e-02  1.25999972e-02
  3.67300034e-01 -1.12000003e-01  1.94499999e-01  9.45000052e-02
  2.52999961e-02 -1.41499996e-01  4.23999995e-01  2.66299993e-01
 -2.51899987e-01 -1.12499997e-01  4.41000015e-02  7.06999972e-02
  1.91999972e-02 -2.18199998e-01  7.80000165e-03  4.13500011e-01
 -2.92400002e-01  7.99000040e-02  1.87099993e-01  2.65100002e-01
 -6.82999939e-02 -1.57700002e-01 -2.67899990e-01 -2.96999991e-01
  1.75500005e-01 -1.30449998e+00  6.69999793e-03  3.30699980e-01
 -1.71200007e-01  7.00000674e-04 -3.84999990e-01 -2.43400007e-01
 -8.49999487e-03 -1.58800006e-01 -5.93999997e-02 -3.59599978e-01
 -7.27999955e-02 -2.82700002e-01  2.14900002e-01 -1.84399992e-01
 -6.71200037e-01  4.97999936e-02 -4.04999927e-02 -2.62400001e-01
 -9.82800007e-01  1.05900005e-01 -2.73699999e-01  5.42699993e-01
  2.49200001e-01  8.50999951e-02  1.66699991e-01 -2.97600001e-01
 -2.16800004e-01 -2.80000001e-01 -3.23399991e-01  1.46300003e-01
 -3.40600014e-01 -9.35700059e-01  9.43000019e-02 -5.49300015e-01
  1.46600008e-01  2.30499998e-01  2.63000011e-01  2.87999988e-01
  5.38000017e-02  2.72500008e-01  1.81899995e-01  3.79999995e-01
 -1.38899997e-01 -1.85900003e-01 -1.77800000e-01 -5.24000004e-02
 -1.56299993e-01 -2.98000015e-02  3.08699995e-01 -4.98000011e-02
 -2.86700010e-01  3.91900003e-01  1.91200003e-01  2.30499998e-01
 -8.08999985e-02 -5.35600007e-01  2.90899992e-01  4.99999970e-02
  6.10000007e-02  2.94099987e-01  1.32799998e-01  2.63799995e-01
  6.63400054e-01  1.62299991e-01 -3.90500009e-01 -4.95999977e-02
  1.19099997e-01 -2.00000033e-03 -5.01999974e-01 -8.79999995e-02
  8.39999989e-02  2.93900013e-01  4.98999991e-02 -1.07000008e-01
 -6.17100000e-01  3.56599987e-01 -1.59299999e-01  1.38999999e-01
 -4.16000009e-01  1.73099995e-01  1.57899976e-01  2.32999995e-02]","[ 1.80650003e-01 -1.99050002e-01  8.03150013e-01  1.63349997e-01
  3.22300002e-01  6.81999959e-02  4.28999998e-02 -2.20999993e-01
  1.15000084e-03  2.80200001e-01  2.05699996e-01  1.54749997e-01
 -8.35999995e-02  1.03049994e-01 -5.85049987e-01 -3.31500024e-02
 -1.37500004e-02  5.38999983e-02 -8.74499995e-02 -5.79000013e-02
 -7.75500052e-02 -1.74150001e-01 -9.35499966e-02 -1.04700003e-01
  1.41449995e-01 -9.82500033e-02  2.01749995e-01  3.27050000e-01
 -1.07949998e-01  4.00150008e-01 -1.80500038e-02 -2.44999677e-03
  1.74650006e-01 -3.68300002e-01  1.05650001e-01 -1.99000005e-01
  2.26599991e-01 -2.15300007e-01  8.53500012e-02 -1.30350003e-01
  2.06450000e-01 -1.06300004e-01 -1.45949993e-01  1.71450000e-01
 -3.76550015e-01 -2.29800001e-01  1.98549993e-01 -4.05999999e-02
  8.07999987e-02  1.08549997e-01  5.25000021e-02  7.36500025e-02
 -8.05499926e-02 -3.01650011e-01  8.65499992e-02  1.82800002e-01
  7.28500001e-02 -1.21049999e-01  1.72649994e-01 -6.12500012e-02
 -5.51499990e-02 -1.89750001e-01  1.52700003e-01  1.11649998e-01
  1.60650007e-01 -4.53500003e-02 -1.79899998e-01 -7.88999982e-02
 -4.17199992e-01  4.06349987e-01 -1.81299999e-01  2.50350006e-01
  9.07000005e-02 -1.65150005e-01  1.44499987e-02 -6.40999973e-02
  1.33350000e-01 -1.65499970e-02 -9.27499980e-02 -4.67000008e-01
 -3.99499983e-02  1.83899999e-01 -1.69050001e-01  1.32850007e-01
  2.18299998e-01  1.55500006e-02 -2.69699987e-01  1.34199994e-01
  7.09500015e-02  2.10149996e-01  1.13500003e-01  1.87999979e-02
  1.74999982e-03  4.44000009e-02  2.72349998e-01 -1.03400003e-01
 -9.38999970e-02  2.16499977e-02 -6.66000019e-02 -1.57599997e-01
 -3.08499932e-02  5.47350004e-01  1.48499994e-01 -2.48799993e-01
  1.51599996e-01  5.03999989e-01 -2.04950005e-01 -2.43949994e-01
  2.76000001e-02  1.78500004e-02 -3.29850003e-01 -3.68100002e-01
  2.17999998e-01 -1.19200001e-01  1.13800002e-01  9.46999993e-02
  2.40250012e-01 -3.59600011e-01  1.09399997e-01 -6.49999827e-03
  2.00699992e-01 -1.21450003e-01  3.17899995e-01  5.25000012e-02
 -2.19299998e-01 -8.83500036e-02 -7.97500014e-02  3.12999990e-02
  2.98950009e-01 -4.37500030e-02  8.42000023e-02  1.40300000e-01
 -5.27500063e-02  2.16850001e-01  3.00001353e-04 -2.54000127e-02
  8.04999992e-02 -4.80499975e-02 -8.23499970e-02 -2.14099998e-01
 -1.16300002e-01 -1.65049998e-01  3.25900011e-01 -1.84449995e-01
  3.89599994e-01  2.28499999e-01 -5.50999977e-02 -3.69000006e-02
 -5.27999997e-02 -1.25849999e-01 -6.43999986e-02 -8.40000035e-02
  2.43000001e-01 -1.12050001e-01  4.36550006e-01 -6.61000004e-02
 -1.78000003e-01 -1.03799999e-01 -6.71499968e-02 -1.40349997e-01
 -2.86150010e-01 -9.39999893e-03 -1.62549997e-01  2.90149990e-01
 -1.45500004e-02 -3.34000029e-02 -8.06999970e-02 -1.90999993e-01
  1.33550003e-01  7.80000072e-03  1.43349998e-01 -7.82499975e-02
  3.07849992e-01  8.22999999e-02 -9.94000025e-02 -2.30450008e-01
  4.06500008e-02  6.85000047e-03  1.48250002e-01 -1.29149996e-01
  8.40000017e-03 -6.17449999e-01 -2.72199996e-01  9.05000009e-02
 -2.39900000e-01  1.84999993e-02  2.46799993e-01  5.09350017e-01
  7.61499964e-02 -2.43500005e-02  1.23699997e-01 -2.47500017e-02
  1.05400011e-01 -1.07750001e-01  1.44899998e-01  6.80500008e-02
 -2.20000036e-02 -1.47400002e-01  2.98400000e-01  1.87899999e-01
 -2.05449995e-01 -7.90999979e-02  2.58499999e-02  8.40999968e-02
  5.33999987e-02 -2.04200001e-01  2.96500009e-02  4.03050000e-01
 -1.32299999e-01  4.37500011e-02  1.01049996e-01  2.49750004e-01
 -7.12499968e-02 -1.51600004e-01 -2.19000004e-01 -2.00250000e-01
  1.24199998e-01 -9.56699997e-01  2.89499983e-02  2.36899994e-01
 -1.55250004e-01  3.11000012e-02 -3.22949991e-01 -3.00749999e-01
  5.13000041e-02 -1.21250000e-01 -4.71499981e-02 -3.43099985e-01
 -7.52499965e-02 -2.22350001e-01  1.18950000e-01 -1.63299993e-01
 -5.25450006e-01 -1.47000030e-02 -1.01049993e-01 -1.70700006e-01
 -7.31100023e-01  1.87500007e-01 -2.17500005e-01  4.17049989e-01
  2.23949997e-01  6.88499995e-02  6.73499964e-02 -1.69350002e-01
 -1.89450001e-01 -1.67949997e-01 -2.95499999e-01  1.58600003e-01
 -3.42200008e-01 -6.21350020e-01  1.23699998e-01 -3.48200008e-01
  1.53900002e-01  1.18799998e-01  2.24950004e-01  2.36249994e-01
  8.79999995e-03  2.67000001e-01  1.95649998e-01  3.33150003e-01
 -6.18000012e-02 -1.20600004e-01 -1.08500004e-01 -8.39500017e-02
 -1.62899993e-01 -3.77000012e-02  2.55600002e-01 -5.72500001e-02
 -1.84450001e-01  3.17249991e-01  1.82500007e-01  1.47299998e-01
 -1.25299998e-01 -3.91250014e-01  2.74099989e-01  5.42499991e-02
  3.00500005e-02  2.24550001e-01  4.74499986e-02  1.78000003e-01
  6.46250024e-01  2.01099992e-01 -3.71300016e-01 -3.89999999e-02
  1.71199996e-01  1.22999996e-02 -4.76500005e-01 -7.98499994e-02
  4.59499992e-02  2.38650005e-01  4.44999989e-02 -1.55800007e-01
 -3.97500008e-01  1.65699998e-01 -1.16499960e-02  1.49899995e-01
 -2.98449993e-01  1.43949999e-01  3.28499898e-02  6.26499988e-02]"
外客,"[ 3.3100e-02  1.2530e-01 -1.8600e-01  2.2950e-01 -1.5600e-02 -6.3530e-01
  2.3000e-02  2.3910e-01 -2.6000e-03  3.0020e-01 -1.0970e-01  7.1000e-02
  4.2300e-02  1.9500e-02 -3.6080e-01  4.7440e-01 -4.8500e-02 -2.5950e-01
 -3.5910e-01 -1.7240e-01  2.7800e-01  3.2090e-01 -1.0680e-01 -2.1240e-01
  5.5550e-01 -1.2800e-02 -5.5900e-02  3.9500e-01  8.4300e-02  3.6750e-01
 -2.7700e-02 -2.4840e-01  7.2300e-02  1.4840e-01  4.7600e-02 -3.1660e-01
  1.6710e-01  1.0440e-01 -3.0400e-01  2.2350e-01  5.7800e-02 -4.0600e-02
  3.2810e-01  1.5800e-01  2.1000e-02 -7.2700e-02 -2.1020e-01 -2.7200e-02
  4.6900e-02  8.9400e-02 -3.0500e-02  2.1850e-01 -2.4380e-01 -8.1900e-02
 -1.4900e-01  1.9620e-01  1.3870e-01 -1.5850e-01  3.8600e-02 -5.0450e-01
  1.7190e-01  3.0050e-01 -6.8800e-02 -3.8050e-01 -2.0180e-01  4.1900e-02
 -1.1340e-01 -3.5500e-02 -5.3400e-02 -5.8400e-02  7.9500e-02 -1.3730e-01
 -7.0100e-02  2.3450e-01 -1.1900e-01 -3.0430e-01 -5.5500e-02 -5.5000e-03
  3.1500e-02 -7.1500e-01  1.0850e-01 -2.4310e-01 -1.7650e-01  1.0950e-01
  8.4500e-02  3.2890e-01 -5.0500e-02  3.6000e-01 -1.0170e-01 -1.9060e-01
 -1.9270e-01 -1.8630e-01  1.2020e-01  3.7800e-01  5.3080e-01 -7.1190e-01
 -2.5220e-01 -1.3230e-01 -1.0700e-01  2.8440e-01 -2.8310e-01  2.1060e-01
  1.3910e-01 -1.3020e-01  3.0350e-01  8.8000e-02 -1.0490e-01 -2.8700e-01
  1.0900e-02  1.1700e-02  6.9000e-03 -1.1900e-02 -2.9910e-01 -2.3870e-01
 -2.5950e-01  3.7940e-01 -1.3200e-02  1.1100e-01  4.9170e-01 -4.0700e-02
  2.1000e-03 -7.6100e-02  5.8400e-02 -3.3180e-01  3.9000e-02 -2.1630e-01
  2.7260e-01 -2.7200e-02  2.8570e-01 -1.3220e-01 -3.1580e-01 -1.3770e-01
  1.0620e-01 -2.0140e-01  1.5330e-01  6.9300e-02  1.8430e-01 -1.1600e-01
 -8.8000e-02 -1.4200e-01 -3.0100e-02  9.8800e-02  1.7640e-01  1.4010e-01
  1.3560e-01  3.4920e-01  5.5800e-02 -2.2400e-02  6.0600e-02 -1.1850e-01
  2.5310e-01  8.8000e-03  4.7800e-02  2.3130e-01  3.5590e-01  6.8600e-02
  1.6490e-01 -2.5060e-01 -2.3200e-02 -1.5500e-01  6.1000e-02 -4.5300e-02
 -1.3230e-01  4.6000e-01 -3.9190e-01 -3.9160e-01 -5.3760e-01 -1.4440e-01
  4.8600e-02  4.3830e-01 -1.9190e-01 -2.2670e-01 -3.5200e-02 -1.3400e-02
 -4.2810e-01 -5.4100e-02  1.5690e-01  3.6750e-01 -4.0280e-01  3.7020e-01
 -1.0360e-01  1.7620e-01  1.5690e-01 -3.0250e-01  1.0980e-01  7.0300e-02
  3.3130e-01 -1.7440e-01 -7.0800e-02 -1.3810e-01  1.0260e-01  7.5600e-02
 -2.5600e-02  2.2340e-01  2.3600e-01 -1.5710e-01  3.5000e-02 -4.7500e-01
  3.2130e-01  2.1060e-01 -9.1700e-02 -3.4560e-01  3.0070e-01 -2.9030e-01
 -1.7670e-01 -4.3600e-02 -3.2760e-01  9.8300e-02  2.9000e-02 -3.4520e-01
 -3.2830e-01  1.2580e-01 -4.2740e-01 -4.5950e-01 -5.9760e-01 -2.6380e-01
  4.7280e-01 -1.5573e+00  1.3230e-01  2.1450e-01  1.3880e-01  1.0280e-01
  3.9620e-01  1.2250e-01 -6.3500e-02 -2.7060e-01 -2.9480e-01 -1.9010e-01
  2.0520e-01  1.5900e-01  1.5200e-02  2.0460e-01 -4.2790e-01 -2.6110e-01
  1.4470e-01 -1.6500e-01 -3.4260e-01 -1.8190e-01  3.3570e-01  8.2300e-02
 -2.8100e-02 -3.3460e-01 -1.8600e-02 -1.9350e-01 -1.7450e-01 -4.4740e-01
  8.1400e-02  1.4140e-01 -7.8300e-02 -1.7510e-01 -1.9200e-02 -1.0340e-01
 -2.8220e-01 -1.7620e-01  1.2920e-01  4.2100e-02  1.6200e-01  2.1820e-01
 -1.8000e-01  1.1500e-01 -2.5500e-02 -5.4500e-02  2.6400e-01 -8.2200e-02
  7.8000e-02 -7.8000e-03 -4.8100e-02  2.2510e-01  1.7520e-01 -1.0980e-01
 -1.3250e-01 -8.0000e-04 -2.2240e-01 -2.2050e-01 -8.3400e-02  2.8800e-01
 -4.5400e-02  1.1440e-01 -3.8000e-03  2.0150e-01 -3.9160e-01 -1.9850e-01
 -5.5000e-02 -9.6300e-02  3.2320e-01  1.4800e-01 -1.2480e-01  1.1890e-01
  2.9840e-01 -1.1670e-01 -1.3100e-01  2.7510e-01 -2.1680e-01 -4.3340e-01
 -2.5720e-01 -1.9620e-01 -1.7810e-01 -4.1000e-03  1.9860e-01 -1.8140e-01]","[-1.13900002e-01 -1.96000021e-02  5.04999995e-01  2.98699990e-01
  2.37800002e-01 -9.83899981e-01  8.06000005e-02  5.51999956e-02
 -2.29300000e-01  4.60299991e-01  1.34700004e-01 -3.88999954e-02
  3.78999999e-02 -2.54900001e-01 -9.13500011e-01  7.07899988e-01
 -1.97000019e-02 -1.32399999e-01 -6.33199990e-01  1.04200002e-01
  3.51999998e-02  5.41199982e-01 -2.93499995e-01 -3.39299999e-01
  7.54600018e-01  3.38500015e-01  2.57699996e-01  5.63800007e-01
 -2.28000000e-01  3.06999996e-01 -7.01000001e-02 -7.04200000e-01
  3.22299995e-01 -1.71700001e-01  3.56100000e-01 -4.15100008e-01
  5.96000003e-02  1.17100004e-01 -5.09799987e-01  1.59000009e-02
  2.18699999e-01 -3.11999992e-01  3.43600005e-01  1.61099995e-01
 -5.47600001e-01 -2.26000026e-02 -2.13899996e-01 -2.24599995e-01
  2.26599999e-01  1.50000118e-03  7.16999993e-02  2.73999989e-01
  1.64099999e-01 -1.61999993e-01 -2.93399990e-01  2.38400012e-01
  5.09000011e-02 -4.17199984e-01  1.64000019e-02 -1.51600003e-01
 -3.72000001e-02  1.52900003e-01  7.06000030e-02 -1.28000002e-01
 -2.67200001e-01  1.69800006e-01 -2.76599986e-01 -1.09500002e-01
  2.31999978e-02 -1.78500000e-01  8.01999982e-02 -5.48999980e-02
  2.30999887e-02 -4.08999994e-02 -1.71300000e-01 -3.98499995e-01
 -4.77799997e-01 -1.93600002e-01 -4.69899997e-01 -6.26899987e-01
  2.28799991e-01 -8.40000063e-03  8.97000041e-02  2.29400001e-01
  1.08899999e-01  3.17899995e-01  2.40699999e-01  3.32099989e-01
  1.42899998e-01 -6.48999959e-02 -3.14000012e-01 -4.38000001e-02
  1.09199997e-01  3.35699990e-01  7.22599983e-01 -6.07300013e-01
 -3.22200000e-01  1.80700004e-01 -5.18299997e-01 -2.76999995e-02
 -1.24199994e-01  9.73599970e-01  6.66999929e-02 -4.15799994e-01
  4.80699986e-01  7.64699996e-01 -2.01200005e-01 -2.23600000e-01
 -1.89299993e-01  4.45000008e-02 -4.03700002e-01 -2.94399992e-01
  1.85999997e-01  3.91999988e-02 -8.36199999e-01  5.81299990e-01
 -2.14699998e-01  6.92000017e-02  8.17299992e-01 -1.84299996e-01
  8.50000009e-02 -2.56500006e-01 -3.48000024e-02 -4.67299983e-01
  2.55400000e-01 -4.92100000e-01  4.87000011e-02 -4.40000013e-01
 -3.78800005e-01 -2.04000026e-02  2.03800000e-01  1.13200001e-01
  1.63000004e-01 -2.22500008e-01  3.11000049e-02  8.69600013e-01
 -3.09000015e-02 -1.42399999e-01  3.70900005e-01 -3.37799996e-01
 -8.91999975e-02  1.59699999e-01  3.08000006e-01 -2.01999955e-02
  5.89600012e-01  6.50000200e-03 -3.83000039e-02 -1.69000030e-02
 -3.92600000e-01 -2.11299997e-01  2.05799993e-01 -1.05999999e-01
  1.37400001e-01 -5.93999997e-02  1.05980001e+00 -4.43299990e-01
  6.53299987e-01 -2.93000001e-01 -1.42000001e-01 -8.07300001e-01
  5.90000302e-03 -1.16500001e-01 -2.76599996e-01  5.06500006e-01
  6.68999976e-02 -5.23099989e-01 -6.09700009e-01 -4.23300008e-01
  6.19999971e-03 -1.18100002e-01 -1.09699998e-01 -2.12599996e-01
  2.23799998e-01  1.52000040e-02 -5.71000017e-02  2.10999995e-02
  7.77000003e-02 -2.36000004e-02 -3.19899991e-01  2.40899995e-01
 -3.38900007e-01 -2.02099999e-01  2.32799999e-01 -6.36000007e-02
  2.41799995e-01  1.37500007e-01  1.94599997e-01 -2.95999993e-02
 -3.50000006e-02  6.78000017e-02 -1.75000019e-02  3.21999937e-02
  6.20800003e-01  2.34900000e-01  9.48700041e-01  1.40500002e-01
  3.42399992e-01 -2.66099997e-01  7.65400022e-01  6.82999998e-01
 -6.31000011e-02 -2.18300000e-01  3.00399996e-01  3.02599996e-01
 -5.09300008e-01 -1.31699999e-01  7.49000013e-02 -2.05600003e-01
  4.52899992e-01  1.97500005e-01 -4.27800007e-01 -2.90000010e-02
 -1.21499993e-01 -3.48000079e-02 -1.01629999e+00 -3.24600004e-01
  6.96799994e-01 -1.74349999e+00  1.28299996e-01  2.44199999e-01
 -2.18300000e-01 -6.05999997e-02  1.09700009e-01 -2.76899997e-01
  2.03899994e-01 -7.47099996e-01  1.44500002e-01 -3.47899992e-01
  2.07800001e-01  5.50899997e-01 -6.40000030e-03  8.53000134e-02
 -7.88999975e-01  1.86700001e-01 -1.26999997e-01  1.52699992e-01
 -8.92900020e-01 -1.08800001e-01  2.96499997e-01  3.18700001e-01
  3.33000004e-01 -1.32499998e-01  5.37600011e-01 -8.41099977e-01
  1.04800002e-01 -4.63300005e-01 -4.64800011e-01  4.91200000e-01
 -5.30000016e-01 -3.91399994e-01  1.09899997e-01 -7.07899988e-01
 -7.75200009e-01 -8.38000029e-02  3.32700007e-01  3.26199993e-01
  3.69300000e-01  2.45200008e-01  3.89200002e-01  5.47900006e-01
  8.24999996e-02 -2.07099997e-01  1.03700005e-01 -6.24000020e-02
 -2.00399999e-01 -2.05099998e-01  5.59599996e-01  1.70699999e-01
  2.14399995e-01  1.94100000e-01  1.46000013e-02 -1.86000019e-02
  1.00800000e-01  1.49000026e-02 -5.39000006e-02 -3.20000201e-03
 -3.08000006e-01 -5.00999987e-02 -8.31999965e-02  1.97600000e-01
 -8.81999992e-02  1.13600001e-01 -8.54999982e-02  1.49200000e-01
 -3.00000608e-03  1.28000006e-02 -5.12999985e-02  3.93299989e-01
  1.44000016e-02 -1.63999997e-01 -2.08099999e-01 -8.50999951e-02
 -7.58999996e-02 -3.56000010e-01 -4.06299993e-01 -4.31299999e-01
 -6.03000000e-02  2.26500005e-01 -1.11799993e-01 -4.05199986e-01]"
