aspect,aspect_vecs,cluster_main_vecs
利用,"[ 9.000e-04 -4.650e-02  4.347e-01  7.090e-02 -1.536e-01 -1.128e-01
  1.040e-02 -6.000e-04 -4.470e-02 -7.280e-02  2.971e-01  7.000e-04
  1.427e-01 -1.109e-01  3.263e-01 -2.420e-02 -5.450e-02 -2.700e-03
 -8.590e-02 -1.027e-01  3.460e-02  9.360e-02  6.200e-02  1.430e-02
 -1.208e-01  2.267e-01 -9.730e-02  2.210e-02  1.138e-01 -3.880e-02
 -3.212e-01 -1.014e-01  1.217e-01  6.010e-02  1.124e-01  2.330e-02
 -1.180e-02  6.250e-02 -3.087e-01 -2.127e-01 -9.100e-03 -2.820e-02
 -2.296e-01  6.840e-02 -2.836e-01  4.050e-02 -8.600e-02  8.920e-02
 -1.524e-01  2.800e-03 -1.429e-01 -4.620e-02 -8.050e-02  1.241e-01
 -8.060e-02  4.810e-02  3.100e-02 -1.528e-01  2.900e-03 -2.010e-02
 -1.420e-02  7.300e-02 -1.082e-01  2.237e-01  4.130e-02  7.370e-02
 -1.132e-01  1.041e-01 -4.693e-01 -6.420e-02  3.620e-02 -1.740e-02
 -1.059e-01  1.830e-02 -2.590e-02 -9.950e-02  6.720e-02 -1.272e-01
  1.317e-01  1.700e-03  8.730e-02 -7.110e-02 -4.150e-02  3.780e-02
 -9.010e-02  4.100e-02 -1.584e-01  2.838e-01 -8.230e-02  1.741e-01
  3.380e-02  3.510e-02  3.860e-02  9.460e-02  1.346e-01 -8.670e-02
 -9.700e-02  3.500e-03  9.530e-02 -1.300e-03 -4.630e-02  3.478e-01
 -5.220e-02  1.562e-01  4.470e-02 -6.210e-02  5.006e-01 -6.240e-02
 -8.030e-02  1.108e-01 -8.210e-02 -1.798e-01  1.183e-01 -1.268e-01
 -2.230e-02 -7.750e-02  2.552e-01 -1.542e-01  4.624e-01 -1.518e-01
  4.090e-02  2.406e-01 -2.433e-01 -4.110e-02  9.710e-02 -1.789e-01
  4.500e-02 -1.610e-01  1.615e-01  2.440e-02 -3.140e-02 -7.430e-02
 -4.380e-02 -1.907e-01  8.400e-03 -7.770e-02  9.150e-02  2.350e-02
  6.260e-02  1.600e-03 -1.910e-02  1.685e-01  9.250e-02  9.470e-02
  3.000e-01  8.520e-02  3.200e-03  1.140e-02 -6.800e-02 -1.350e-02
  2.231e-01 -9.940e-02  6.810e-02 -1.360e-02  2.776e-01 -1.249e-01
  1.287e-01 -1.220e-02  8.200e-02  6.550e-02  7.020e-02 -1.955e-01
 -1.015e-01 -1.475e-01 -8.510e-02 -7.900e-02  1.550e-02  8.330e-02
  6.880e-02  2.300e-02  1.003e-01  9.630e-02 -2.294e-01 -3.130e-02
 -1.281e-01 -3.200e-02  2.970e-02 -2.654e-01 -1.045e-01  9.300e-02
  2.390e-02 -4.990e-02 -3.467e-01  1.287e-01 -1.590e-02 -1.225e-01
 -3.426e-01  4.595e-01 -4.410e-02  1.460e-02  5.870e-02 -1.042e-01
  2.853e-01  4.940e-02  1.311e-01 -2.630e-02 -1.148e-01 -1.338e-01
  9.230e-02  1.939e-01 -4.590e-02  2.670e-02  1.232e-01 -3.380e-02
  2.430e-02 -2.104e-01  6.870e-02  2.287e-01 -1.542e-01 -1.022e-01
  1.530e-02 -8.420e-02 -7.770e-02  1.908e-01 -3.255e-01 -8.080e-02
 -9.420e-02 -6.423e-01  3.210e-02 -1.809e-01  2.370e-01 -1.034e-01
  1.636e-01 -3.521e-01 -4.100e-03  3.260e-02 -6.620e-02  7.780e-02
  1.411e-01  2.220e-02  7.790e-02 -5.120e-02 -3.778e-01  2.446e-01
  2.493e-01 -7.130e-02 -2.363e-01  8.850e-02  1.869e-01  4.590e-02
 -2.528e-01 -1.334e-01  5.410e-02 -2.381e-01 -6.340e-02 -4.949e-01
 -1.184e-01 -9.110e-02  2.400e-02  4.903e-01 -2.141e-01 -3.280e-02
 -2.123e-01 -3.830e-02  4.360e-02 -2.288e-01 -1.505e-01 -9.440e-02
 -1.950e-02  1.426e-01 -4.020e-02  1.257e-01 -1.450e-02  1.016e-01
 -2.546e-01  4.095e-01  3.790e-02  7.950e-02  1.930e-02  1.800e-02
 -1.798e-01 -1.635e-01  1.448e-01 -5.500e-03 -1.512e-01 -7.290e-02
 -9.710e-02 -4.280e-02 -3.040e-02 -1.259e-01  7.494e-01  9.180e-02
 -1.757e-01  2.729e-01  3.970e-02  1.103e-01 -1.009e-01 -1.143e-01
 -5.060e-02  8.560e-02 -5.880e-02  1.310e-01 -4.507e-01  5.780e-02
  1.616e-01 -1.530e-02  4.600e-02  1.190e-01 -9.780e-02 -2.390e-01]","[-5.71800022e-02 -6.31600000e-02  5.39099991e-01  1.31920001e-01
  9.79199953e-02 -6.66400004e-02 -1.16660002e-01 -6.89999845e-03
 -3.58800001e-02 -6.15000024e-02  2.49179998e-01  6.46200007e-02
 -4.76400018e-02 -5.90599999e-02  1.12520003e-01  8.68000090e-03
 -6.40200004e-02 -5.74599994e-02 -1.21340001e-01  3.38200000e-02
  7.45000027e-02  8.59999806e-03  7.23600000e-02 -4.89999998e-02
 -6.88400008e-02  2.47999988e-03 -1.37160002e-01  1.10980004e-01
 -7.45600030e-02  1.10899999e-01 -1.12900002e-01 -1.03279996e-01
 -1.62599999e-02  1.28960001e-01 -7.98200011e-02 -9.60400000e-02
 -1.56580001e-01  6.83800012e-02 -6.35199990e-02 -2.76599996e-02
  4.61400004e-02  5.98999977e-02  5.20000085e-03 -7.19000019e-02
 -1.15940002e-01 -5.18199991e-02 -4.00399998e-02  1.00019999e-01
  2.17800021e-02  2.14199989e-02 -1.09000001e-02 -2.25639997e-01
 -1.21800011e-02  4.32200000e-02 -5.23999855e-03 -5.88599995e-02
  8.40000011e-02 -2.10719997e-01  4.04199987e-02  4.87800008e-02
  1.39200006e-02 -4.19600006e-02  9.56000090e-03  7.08000006e-02
  3.24000120e-03 -1.06439997e-01 -5.48600012e-02  7.09199980e-02
 -2.09920001e-01 -2.61200003e-02  5.60200036e-02 -4.50799964e-02
 -1.35260001e-01  5.80800001e-02 -4.61000022e-02 -1.65700001e-01
  2.78599996e-02 -2.54999995e-02 -7.51200013e-02 -9.82599990e-02
  1.22560000e-01  1.49320003e-01 -1.22419999e-01 -8.32399994e-02
  2.82000009e-02  8.57600009e-02 -1.30999998e-01  1.28700003e-01
 -2.39999965e-04  2.02499998e-01  6.02999985e-02 -3.63999989e-02
  3.21600012e-02  7.93199984e-02  1.33039998e-01 -1.04559998e-01
 -9.33399998e-02  1.11880000e-01  2.21599974e-02 -4.55599987e-02
 -1.18680002e-01  4.40539992e-01 -9.04000022e-02  1.38200004e-01
  1.23559999e-01 -1.24199990e-02  2.75999996e-01 -1.17960002e-01
  9.91999954e-03 -3.71799976e-02 -2.43399997e-01 -1.97699997e-01
  6.26199991e-02 -9.32799965e-02  7.76599996e-02 -3.52799982e-02
  1.70579999e-01  1.28799986e-02  2.62619996e-01 -1.56600021e-02
 -3.16400006e-02  2.54800014e-02 -1.94800034e-02 -9.61799989e-02
  2.17399977e-02  5.12199998e-02  3.32199991e-02 -1.42739999e-01
  1.93979998e-01 -4.07199992e-02 -1.25599999e-02 -2.62000039e-02
 -5.48400020e-02 -1.04300001e-01 -1.29020000e-01  7.76000006e-02
 -2.04000040e-03  7.35999886e-03  1.81200024e-02  9.74600022e-02
 -7.24999987e-02  1.26279999e-01  4.99200001e-02 -5.09400005e-02
  2.21900005e-01  1.21280000e-01 -9.14999996e-02  1.91600025e-02
 -1.72999997e-01  1.40600013e-02 -8.46599981e-02 -4.84600008e-02
 -4.74000182e-03  4.27999994e-02  3.29379997e-01 -3.75200003e-02
 -2.02400010e-02  8.29000011e-02 -4.02999990e-02 -7.90800035e-02
  7.16000050e-03 -9.37600002e-02 -4.14599981e-02 -3.93560001e-01
  5.04999992e-02 -1.98799998e-02 -7.97600024e-02 -8.11199993e-02
  7.47799993e-02  9.48800011e-02 -2.50000000e-02 -5.35599984e-02
 -1.33139998e-01 -6.77999996e-02 -4.26799968e-02  2.55200000e-02
 -2.02199982e-02 -1.39060000e-01 -9.01199996e-02  1.96159999e-01
 -1.51800003e-02  4.36600007e-02 -2.50220002e-01  1.59000002e-02
 -1.10079999e-01 -5.02000377e-03 -1.35519998e-01  3.80200005e-01
  1.70800000e-02  8.14000051e-03  2.12999992e-02  9.24000125e-03
  2.78979991e-01 -4.12799988e-02  9.03199993e-02 -1.75999999e-03
 -1.54860000e-01 -9.52599995e-02  1.20500001e-01  1.90660003e-01
  3.28000002e-03  8.73400036e-02 -3.63200016e-02 -6.00999985e-02
 -9.56200004e-02 -1.40540002e-01  6.92000166e-03  1.21580001e-01
 -1.13500003e-01  3.29800010e-02 -4.99999996e-02 -2.62840001e-01
 -1.14739997e-01  4.78199990e-02 -1.43580002e-01 -1.50199998e-02
 -1.11440001e-01 -6.90219998e-01  1.47639999e-01 -5.55800006e-02
 -8.09199981e-02 -1.41000001e-02  1.29399997e-01 -1.40000023e-02
  1.01800030e-02 -6.60999984e-02 -2.60599959e-02 -3.25599983e-02
  1.33600026e-02 -2.04020000e-01  1.31119999e-01  6.03200020e-02
 -4.01539999e-01 -6.66999970e-02  9.06200001e-02 -5.11999995e-02
 -3.19740000e-01 -2.60000527e-03  1.14180003e-01  9.66600001e-02
 -3.31999980e-02  2.60000154e-03  1.29660000e-01 -2.18680000e-01
  1.36399988e-02 -4.70079994e-01 -1.10980003e-01 -1.16419998e-01
 -1.55199990e-02  2.89199999e-01 -1.05120000e-01 -3.02399998e-01
 -6.21800035e-02 -2.23999927e-03 -2.60200009e-02 -1.36960000e-01
 -7.79199998e-02 -1.57999806e-03  2.28660003e-01  1.27640001e-01
 -1.51420001e-01  3.70200001e-02  7.30000194e-03 -1.25600018e-02
  2.60200040e-02  3.43440002e-01  8.35000023e-02  2.36600034e-02
  4.88800004e-02  2.11160000e-01 -6.37600020e-02  7.89600015e-02
  8.67600016e-02 -7.98000004e-02  3.48400027e-02 -1.22959997e-01
  4.28599998e-02  4.30600006e-02  2.12000012e-02 -5.82799993e-02
  6.92079997e-01  6.45199984e-02  6.36000186e-03  1.24959996e-01
  9.91999991e-02  6.39799975e-02 -5.88399991e-02  6.34000152e-03
  7.29000013e-02 -4.06000011e-02 -1.04640003e-01 -1.91600010e-02
 -1.94100001e-01  1.28360004e-01 -1.00000016e-02  2.69400008e-02
 -1.38400007e-02  1.30140001e-01  1.46800011e-02 -2.26660002e-01]"
銃弾,"[ 0.3277     -0.4111      0.6835      0.0746      0.6355     -0.2184
  0.4573     -0.5995      0.08049999  0.15779999  0.1929      0.4341
  0.2861      0.5354     -0.3263     -0.3006      0.1603      0.1592
 -0.3722     -0.18270001 -0.4689      0.0521     -0.1074     -0.0681
  0.2836     -0.4919      0.5344      0.17109999  0.0204      0.027
  0.0552     -0.4382      0.0102      0.1966      0.396       0.1194
  0.0326     -0.2157      0.11400001 -0.4296      0.3892      0.2816
 -0.37559998 -0.6387      0.2959      0.53330004 -0.2513      0.2022
 -0.124      -0.6316      0.3035     -0.18919998  0.1192     -0.48479998
  0.21579999  0.3172      0.4177     -0.0236      0.21190001  0.4985
 -0.0669     -0.0337     -0.2335      0.22760001 -0.1672     -0.6667
  0.0147      0.4979     -0.1869      0.3094      0.139       0.0178
 -0.2218      0.16669999 -0.11149999 -0.48119998  0.1699      0.0324
 -0.1688      0.4136      0.1299     -0.2764      0.09820001 -0.0342
  0.2618     -0.2935     -0.3152     -0.10130002  0.02150001  0.0487
  0.5694      0.0053      0.1537      0.4677      0.3195      0.2594
 -0.3121      0.71229994  0.2642      0.2705     -0.2069      0.5931
  0.1403     -0.21720001 -0.2216      0.33630002 -0.1215     -0.0337
  0.0174     -0.0695     -0.88049996 -0.0966      0.1471     -0.1821
  0.3093     -0.2643     -0.27109998  0.3262      0.1751      0.39609998
  0.55950004 -0.1408     -0.2413     -0.5783     -0.14330001  0.10529999
  0.06159998  0.2151      0.0113     -0.19609998  0.2024     -0.24309999
  0.4847     -0.36290002  0.20880002 -0.1011      0.1555     -0.276
 -0.0466     -0.1583      0.12360001 -0.3798     -0.2259     -0.2341
  0.5359      0.08430001  0.3753      0.41070002  0.12259999  0.0562
  0.379      -0.13460001 -0.0611     -0.4017      0.3064      0.6969
 -0.0786      0.4056      0.08829999  0.20840001  0.0621     -0.1006
  0.3586     -0.7492      0.39020002 -0.0802      0.1032      0.13260001
 -0.1645     -0.02770001  0.1409     -0.37019998 -0.0165      0.5525
  0.34570003 -0.2767      0.2593     -0.24219999  0.1669      0.3887
  0.0092      0.2728      0.02819999  0.2462     -0.413       0.0836
  0.35119998  0.12830001 -0.5203     -0.11830001 -0.1072      0.1615
  0.57089996  0.125      -0.29430002 -0.05590001 -0.1254      0.73759997
 -0.0774     -0.1328     -0.17070001  0.42549998 -0.2027      0.01549999
 -0.1968      0.2374     -0.0145     -0.3556      0.1135      0.2026
 -0.11240001 -0.14909999 -0.0256      0.04370001 -0.0072     -0.3617
 -0.0648     -1.5478001   0.29590002  0.18599999 -0.0568      0.0871
 -0.01539999 -0.3148      0.23910001 -0.7691     -0.2518      0.1001
 -0.0155      0.2286      0.1305     -0.2031     -0.5358     -0.0509
 -0.15169999  0.4258     -0.5625      0.5309      0.22170001  0.0281
 -0.15769999  0.0174     -0.36589998 -0.72080004  0.83720005 -0.55270004
 -0.1606     -0.0054      0.3594     -0.7659     -0.0428     -0.7364
  0.0298     -0.34890002 -0.3023      1.0271     -0.1327     -0.0291
  0.1282     -0.21370001 -0.12799999 -0.1058      0.031       0.3273
  0.67219996 -0.036       0.4275     -0.0774      0.1681      0.6534
 -0.48299998  0.26700002 -0.4785     -0.07660002  0.504      -0.5559
  0.0492     -0.2328      0.0086     -0.0426      0.06019999  0.1209
 -0.37280002 -0.4374      0.1999     -0.3059     -0.49989998  0.1364
  0.3037     -0.38169998 -0.2044     -0.3781     -0.34420002 -0.23140001
 -0.18110001  0.4227     -0.63310003  0.2405      0.295      -0.0613    ]","[-3.82499676e-03 -2.33725006e-01  8.72599984e-01  2.32950001e-01
  1.61750003e-01 -2.58500034e-02  2.38250001e-01 -4.05525001e-01
  1.25250011e-02  1.12624994e-01  1.12050002e-01  1.38575000e-01
  1.48625000e-01  2.60025008e-01 -5.31674997e-01 -6.65000034e-02
 -6.25999985e-02  4.39750021e-02 -4.56774997e-01 -2.87075000e-01
 -5.85999987e-02  1.20999997e-01 -5.23499995e-01 -1.50774999e-01
  2.90150006e-01 -1.45324997e-01  1.75750005e-01  8.11499991e-02
 -1.02650000e-01 -1.09999976e-02  8.60749986e-02 -1.28700004e-01
  1.94500001e-01  8.97500016e-02  2.03250002e-01 -1.51999998e-01
  1.34125000e-01 -9.87500027e-02  1.32400001e-01  7.26249991e-02
  8.43750052e-02  1.04099998e-01 -2.27599998e-01 -3.87750000e-01
  2.06349998e-01  5.79749942e-02 -1.30575001e-01 -5.27250039e-02
 -2.23050006e-01 -1.15849997e-01  1.52824999e-01  1.16500047e-02
  9.14500030e-02 -2.59324995e-01  1.70949996e-01 -1.23374999e-01
 -6.17500069e-03  6.62500411e-03  1.27375002e-01  1.68275002e-01
 -1.98425001e-01 -1.25225003e-01  7.36749981e-02  2.00799999e-01
  1.94024994e-01 -3.05750081e-02  1.88050002e-01  2.46950002e-01
  7.42499940e-02  2.43000045e-02  2.05000015e-02  1.37700000e-01
 -1.40975003e-01  2.47299998e-01 -9.18999998e-02 -1.28875002e-01
 -1.25500005e-01  3.30550000e-01  1.66499999e-02 -1.74574998e-01
  2.81750025e-02 -2.15275003e-01 -7.95249990e-02  7.81750018e-02
  1.12050003e-01 -3.01625003e-01 -2.41175001e-01  2.08850001e-01
  4.72250003e-02  4.15275002e-01  2.00600004e-01 -7.39499974e-02
 -1.49649998e-01  2.96425000e-01  2.07524994e-01  8.47999984e-02
 -4.99550004e-01  2.34874993e-01 -1.49650001e-01  2.03625002e-01
  7.99749945e-02  4.49425005e-01  5.53249978e-02 -1.67775000e-01
 -3.46999962e-02  6.79224996e-01 -3.85749983e-02 -2.33999956e-02
 -3.96900011e-01  3.42999976e-02 -4.52974999e-01  9.15250015e-02
  4.16699996e-01 -1.66300001e-01 -1.51500003e-01  2.10000295e-03
 -2.41874998e-01  1.75049993e-01 -8.15999958e-02  1.48525001e-01
  1.89050001e-01 -3.72950009e-01 -9.95999986e-02 -1.01124998e-01
  1.49474996e-01 -6.50750007e-02 -7.98250053e-02  8.92499788e-03
 -3.27775010e-01 -2.09549999e-01  1.45000219e-03 -8.79250038e-02
  4.55749976e-02 -2.22299997e-01 -1.48474998e-01 -4.43574999e-01
  2.71499986e-02 -1.35874999e-01 -1.55199998e-01 -1.69250034e-02
  3.32500297e-03 -1.14974998e-01 -7.28500006e-02 -1.52424998e-01
  4.99400003e-01  1.87075006e-01  9.61749926e-02  3.17400003e-01
 -8.86500013e-02 -7.40249999e-02  1.70575001e-01 -2.76000029e-02
  5.28049991e-01 -2.55474994e-01  9.17499948e-02  1.90549995e-01
  1.31825002e-01  9.39500015e-02  7.26749937e-02 -9.62499436e-03
 -7.80749982e-02  8.21500020e-02  6.49499996e-02 -2.53649986e-01
  1.05875001e-01 -8.78249991e-02 -1.99999928e-03 -7.82749988e-02
  2.50750012e-02 -5.71750030e-02  2.48399998e-01 -1.69749934e-02
 -1.87775003e-01  3.51524998e-01  1.32025003e-01  1.09749963e-02
  1.14099995e-01 -1.56575000e-01  1.83074995e-01  1.40000018e-02
 -8.58999984e-02 -2.23150003e-01  6.43249969e-02  2.69924997e-01
 -1.74549997e-01  1.53200000e-01  3.31999976e-02 -3.24999727e-03
 -1.88174991e-01  1.10749977e-02 -9.18499978e-02  4.79499972e-02
  3.39224994e-01 -3.26749976e-02 -1.97524998e-01  4.21749949e-02
 -1.34150005e-01  1.33975000e-01 -8.56999964e-02  6.17999998e-02
 -1.23875003e-01 -2.48250035e-02 -4.33000005e-02  2.27549996e-01
 -8.66999980e-02 -1.40075000e-01  2.95000030e-02 -2.81149999e-01
 -5.48999995e-02 -3.27499979e-03 -1.15050002e-01  6.05000006e-02
 -2.70750015e-02 -1.59374996e-01  1.39500002e-01 -2.39050001e-01
 -4.11000017e-02 -1.77092499e+00  7.72000039e-02  2.43500000e-01
  1.54699999e-01 -3.77500020e-02  1.65775002e-01 -1.72350000e-01
  2.13024998e-01 -3.17575004e-01 -1.57350001e-01 -2.75000036e-02
  3.04999854e-03  1.36750002e-01  3.23325003e-01 -3.24999448e-04
 -5.70875000e-01 -2.36150007e-01 -1.79449998e-01  1.43299998e-01
 -6.17524995e-01  2.77499976e-02 -3.03999931e-02 -4.51750034e-02
 -1.83749998e-01 -1.19999998e-02  1.30999966e-02 -5.16449995e-01
  1.39450000e-01 -3.82250013e-01 -4.88699997e-01  1.93349999e-01
 -3.25825003e-01 -4.24524994e-01  7.82499993e-02 -8.10800005e-01
 -1.01249999e-01  3.71999977e-02 -4.15750041e-02  2.36999998e-01
  8.71499958e-02  8.59999936e-02 -2.94749957e-02  1.59999996e-01
 -2.10300002e-01 -1.69649999e-01  2.22300002e-01 -3.14950008e-01
  9.80750006e-02 -1.31300003e-01  4.76325002e-01  1.36650003e-01
 -2.41249982e-02  2.15724996e-01  2.04000003e-02  2.00225001e-01
 -1.54974996e-01 -9.90250083e-02  1.69724997e-01 -2.55675003e-01
 -1.08900004e-01 -1.97625002e-01  1.13900002e-01 -2.75500040e-02
  4.04399997e-01 -1.18500027e-02  1.71999992e-02 -2.18200001e-01
  8.77749956e-02 -1.52674996e-01 -1.06325000e-01 -1.70049998e-01
  6.74499954e-02 -2.58999963e-02 -9.52499965e-02 -8.08999995e-02
 -5.18424999e-01 -5.54999998e-01  7.82250026e-02  2.41675004e-01
 -2.16875001e-01  1.31625000e-01  2.89574998e-01 -4.63350000e-01]"
